year,ayons_VERB assez_ADV,ayons_VERB lassé_VERB
1800,4.4018303668735825e-08,0.0
1801,2.6193008650921e-08,1.904946067554647e-08
1802,1.5664880947952042e-08,0.0
1803,4.095712347051972e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,1.9900143755080535e-08,0.0
1806,3.7461699520235925e-08,0.0
1807,2.8469550716891945e-08,0.0
1808,2.039466551195801e-08,0.0
1809,6.7770917766551975e-09,0.0
1810,3.978215445954447e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,5.601137331723294e-08,0.0
1813,2.5881675469463516e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,1.6183340889597275e-08,0.0
1816,2.5493642752394408e-08,0.0
1817,2.6466848268569265e-08,0.0
1818,4.530047448270125e-08,0.0
1819,2.173720581311045e-08,0.0
1820,3.20394981656591e-08,0.0
1821,4.7335142028259725e-08,0.0
1822,2.7069162911175226e-08,0.0
1823,1.087095569118901e-08,0.0
1824,1.3473780313688621e-08,0.0
1825,1.0566531649658373e-08,0.0
1826,1.145037931138404e-08,0.0
1827,3.502563927781921e-08,0.0
1828,5.5033806956039655e-09,0.0
1829,3.257806824308318e-08,0.0
1830,2.6092090266160994e-08,0.0
1831,3.1182412207897414e-09,0.0
1832,2.0294954161670375e-08,0.0
1833,3.243416024645285e-08,0.0
1834,1.6802156110884425e-08,0.0
1835,4.0084366048631637e-08,0.0
1836,2.2178475944656384e-08,0.0
1837,1.461157150828285e-08,0.0
1838,1.5780404538645598e-08,0.0
1839,2.0974425751774106e-08,0.0
1840,3.694419481448108e-08,0.0
1841,1.8619590314017387e-08,0.0
1842,2.884554017867913e-08,0.0
1843,2.8943864194275193e-08,0.0
1844,1.920996384185969e-08,0.0
1845,1.5624638138866942e-08,0.0
1846,1.9905304959877412e-08,0.0
1847,2.3190860787281053e-08,0.0
1848,1.769948759777762e-08,0.0
1849,1.0893239421605472e-08,0.0
1850,6.1100964288129944e-09,4.073397619208663e-09
1851,2.192809134271556e-08,0.0
1852,1.1718981784980542e-08,0.0
1853,2.20961471342207e-08,0.0
1854,3.3771819119010615e-08,0.0
1855,3.92713346286655e-08,0.0
1856,3.468716780474779e-08,0.0
1857,1.7085282633111376e-08,0.0
1858,2.0553438895287712e-08,0.0
1859,1.7313389832906978e-08,0.0
1860,1.2358396528355797e-08,0.0
1861,2.1221837620544193e-08,5.187560159214399e-09
1862,5.2860440025170874e-08,0.0
1863,6.992469103739296e-09,0.0
1864,1.4863656194741282e-08,0.0
1865,1.647395531101381e-08,0.0
1866,2.4328065451051373e-08,9.731225825149181e-10
1867,1.067618526917613e-08,0.0
1868,2.0747470519388855e-08,0.0
1869,2.0022429048083268e-08,0.0
1870,1.4335122422437507e-08,0.0
1871,2.0180236148803488e-08,0.0
1872,3.0236695813812275e-08,0.0
1873,1.915521447015678e-08,0.0
1874,1.6131444624534197e-08,0.0
1875,2.4030413214859436e-08,0.0
1876,3.929909553335165e-08,0.0
1877,1.3606595627990714e-08,0.0
1878,3.6234532041490297e-09,0.0
1879,5.498392741110081e-09,0.0
1880,1.4119262203848848e-08,0.0
1881,1.743126809561346e-08,6.972507571312292e-10
1882,7.986462158271479e-09,0.0
1883,8.847074184359371e-09,0.0
