year,serais_VERB à_ADP,serais_VERB a_ADP,serais_VERB las_ADJ
1800,9.118077315406481e-08,0.0,0.0
1801,8.810375362600098e-08,0.0,0.0
1802,6.937304419807333e-08,0.0,2.2378401354217203e-09
1803,6.241085515057421e-08,0.0,1.950339223455444e-09
1804,1.087614407424553e-07,0.0,0.0
1805,7.391481915419718e-08,0.0,0.0
1806,3.7461699520235925e-08,0.0,0.0
1807,9.679647661187119e-08,0.0,0.0
1808,5.891792298484688e-08,0.0,0.0
1809,1.219876537561504e-07,0.0,0.0
1810,1.1700633706368535e-07,0.0,0.0
1811,9.27618373225414e-08,2.5070767684098882e-09,0.0
1812,7.20146218213813e-08,0.0,0.0
1813,1.1790540810352468e-07,0.0,0.0
1814,9.125363931161701e-08,0.0,0.0
1815,5.933891955578474e-08,0.0,0.0
1816,4.1716869958463576e-08,0.0,0.0
1817,1.3389110620209976e-07,1.556873407970727e-09,0.0
1818,1.5735953695639182e-07,0.0,0.0
1819,8.69488232524418e-08,0.0,0.0
1820,1.4477106446975085e-07,1.1866481131050932e-09,0.0
1821,2.919000507972669e-07,0.0,0.0
1822,2.1254305693219067e-07,0.0,1.0025615893027862e-09
1823,1.4824030358795426e-07,0.0,0.0
1824,1.212640228231976e-07,8.421112696055388e-10,0.0
1825,1.3032055790063168e-07,0.0,8.805443041381977e-10
1826,1.6294771398861485e-07,8.807984341885344e-10,0.0
1827,1.4102427314810484e-07,0.0,0.0
1828,1.467568182533796e-07,0.0,0.0
1829,9.773420828196322e-08,2.571952872898464e-09,0.0
1830,2.410909019090468e-07,0.0,8.349468672008697e-09
1831,1.4811645598911127e-07,0.0,0.0
1832,2.0971452840967686e-07,1.3529969367098715e-09,0.0
1833,1.9460496503143077e-07,1.1583628500844156e-09,4.6334514003376626e-09
1834,1.521528503189984e-07,9.334530925997342e-10,0.0
1835,1.5277437626082246e-07,7.563087933704082e-10,4.5378527602224494e-09
1836,1.1089237261785456e-07,2.0162250202737653e-09,0.0
1837,1.669893805456013e-07,0.0,0.0
1838,1.230871617963203e-07,6.312161904276081e-10,0.0
1839,1.4052865537905745e-07,2.09744255297295e-09,6.9914749545318955e-09
1840,1.229349919640299e-07,0.0,0.0
1841,1.1749603601174385e-07,0.0,0.0
1842,8.117000760421433e-08,0.0,0.0
1843,1.1577545677710077e-07,0.0,0.0
1844,1.0373381087447342e-07,0.0,0.0
1845,1.1774280750387334e-07,1.1160455892778032e-09,0.0
1846,1.3875168747290445e-07,5.854501328173001e-10,1.1709002656346001e-09
1847,8.143767615820252e-08,0.0,0.0
1848,1.1102405750307298e-07,1.6090443422100975e-09,0.0
1849,8.295620546050486e-08,0.0,0.0
1850,9.097254860535031e-08,0.0,2.0366988096043315e-09
1851,1.1737978411474614e-07,0.0,1.2898877521649865e-09
1852,1.1133032984389502e-07,0.0,0.0
1853,1.1107793085329831e-07,1.1943863675867306e-09,7.763511611358354e-09
1854,1.3404813614670275e-07,1.0391328908454511e-09,0.0
1855,1.178140038859965e-07,0.0,1.0613874223963649e-09
1856,7.455152228885709e-08,0.0,0.0
1857,1.2789553238690132e-07,9.763018171682347e-10,0.0
1858,1.370229227859454e-07,9.787352039936081e-10,0.0
1859,1.583665891757846e-07,0.0,7.129042689513199e-09
1860,1.3777324170405336e-07,4.577183909670879e-10,0.0
