year,formalités_NOUN égales_ADJ,formalités_NOUN légales_ADJ
1800,0.0,4.087413785214267e-08
1801,0.0,5.714838380299625e-08
1802,0.0,4.4756802708434407e-08
1803,0.0,2.5354410126965377e-08
1804,0.0,5.9324420931261557e-08
1805,0.0,3.4114531644036106e-08
1806,0.0,4.8988376022407465e-08
1807,0.0,1.4804166426074516e-07
1808,0.0,4.758755522971114e-08
1809,0.0,4.743964154840796e-08
1810,0.0,4.680253340438867e-08
1811,0.0,2.5070767684098882e-09
1812,0.0,2.1337665856435706e-08
1813,0.0,1.4378708002027452e-08
1814,0.0,7.552024783308298e-08
1815,0.0,3.236668177919455e-08
1816,0.0,1.0197456923322079e-07
1817,0.0,7.161617787687646e-08
1818,0.0,3.099506074022429e-08
1819,0.0,3.622867339458935e-08
1820,0.0,5.577246042776096e-08
1821,0.0,4.339054981983281e-08
1822,0.0,7.118187284049782e-08
1823,0.0,3.755420863171821e-08
1824,0.0,1.237903521911221e-07
1825,0.0,5.547429182684027e-08
1826,0.0,4.932471142637951e-08
1827,0.0,9.309445658800541e-08
1828,0.0,1.0548146178734896e-07
1829,0.0,5.915491385621863e-08
1830,0.0,9.288783786587373e-08
1831,0.0,1.091384405071949e-07
1832,0.0,1.2176973029909277e-07
1833,0.0,5.79181431703546e-08
1834,0.0,1.3068343207578437e-07
1835,0.0,1.2252202452600613e-07
1836,0.0,8.602560086501398e-08
1837,0.0,1.1828414869796688e-07
1838,0.0,1.1425012758081721e-07
1839,0.0,1.7688432762952289e-07
1840,0.0,1.6497493504630256e-07
1841,0.0,1.9775289095136372e-07
1842,0.0,2.0996868954625825e-07
1843,0.0,2.2269055055534892e-07
1844,0.0,1.8606222790262805e-07
1845,0.0,2.0200424960536978e-07
1846,0.0,2.084202463947804e-07
1847,1.0786447290911383e-09,1.779763749709673e-07
1848,8.045221711050488e-10,1.9308532728246064e-07
1849,0.0,2.580859757017606e-07
1850,0.0,2.2878916183799447e-07
1851,0.0,2.9280451485647063e-07
1852,6.510545436100301e-10,2.760471318197233e-07
1853,0.0,2.1021199358983722e-07
1854,5.195664454227256e-10,2.2393314225155336e-07
1855,0.0,2.2660621112891022e-07
1856,1.0354378465748937e-09,2.500582354514336e-07
1857,0.0,1.8159214221213915e-07
1858,0.0,2.7257775059297273e-07
1859,0.0,2.138712738020132e-07
1860,0.0,2.0460012706280395e-07
1861,0.0,2.1174677411472942e-07
1862,0.0,2.941208947504492e-07
1863,0.0,2.6871060243571776e-07
1864,0.0,1.769254680539234e-07
1865,0.0,2.2075100503116118e-07
1866,9.731225825149181e-10,2.5641781198348923e-07
1867,0.0,2.931098155301015e-07
1868,9.87974813071446e-10,2.983684029844724e-07
1869,0.0,3.6919406065649696e-07
1870,5.734048791339319e-10,3.159460897350641e-07
1871,0.0,4.036047285271849e-07
1872,1.8142017887967654e-09,3.4832674300488975e-07
1873,0.0,3.627518845306099e-07
1874,0.0,2.6288280918773665e-07
1875,0.0,3.364257850080321e-07
1876,0.0,3.7182990819673023e-07
1877,6.184815992682502e-10,3.593378007371584e-07
1878,1.8117265465633636e-09,4.474964567791062e-07
1879,0.0,3.262379616453259e-07
1880,0.0,4.3063749743943447e-07
1881,0.0,3.277078510777187e-07
1882,0.0,3.407557092049984e-07
1883,1.2638677882037541e-09,3.5325103819872083e-07
1884,0.0,3.7761706295214026e-07
1885,6.445635691854079e-10,3.4806432269718357e-07
1886,6.453463874400711e-10,3.730102154930748e-07
1887,6.528924623161458e-10,5.020743066852518e-07
1888,1.9021844099853524e-09,3.6331721431359654e-07
1889,0.0,3.965831467667158e-07
1890,3.2771931834929546e-09,3.9916213223634145e-07
1891,0.0,3.7289186272104757e-07
1892,6.268512375839919e-10,3.823792658064207e-07
1893,3.079208221734575e-09,4.163089500908157e-07
1894,6.301539290376468e-10,4.1023021601915843e-07
1895,1.2037228991346183e-09,4.6523890051552996e-07
1896,0.0,3.927421412530663e-07
