year,associations_NOUN légales_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,2.8469551160981155e-09
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,2.8757416448144113e-09
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,5.503380862137419e-09
1829,1.714635211591542e-09
1830,8.349468672008697e-09
1831,1.4032085715598441e-08
1832,9.470978667991403e-09
1833,5.791814139399776e-09
1834,4.667265685043276e-09
1835,0.0
1836,1.8146025126952736e-08
1837,6.957890930081589e-10
1838,0.0
1839,0.0
1840,1.2102408852854296e-08
1841,1.0272877659645019e-08
1842,9.391571076378114e-09
1843,6.497602011990011e-09
1844,1.0428266250528395e-08
1845,3.348136878855712e-09
1846,1.7563503984519002e-09
1847,1.240441438454809e-08
1848,6.43617736884039e-09
1849,3.3517659758786067e-09
1850,5.431196825611551e-09
1851,5.8044946626978344e-09
1852,6.510545436100301e-10
1853,0.0
1854,1.0391328908454511e-09
1855,1.0613874223963649e-09
1856,5.694908100650764e-09
1857,1.4644527812635033e-09
1858,2.936205500958522e-09
1859,0.0
1860,3.661747127736703e-09
1861,4.715963730639317e-10
1862,4.517986262886353e-10
1863,0.0
1864,6.712618905169165e-09
1865,9.88437331983505e-09
1866,0.0
1867,5.82337378318698e-09
1868,9.87974813071446e-10
1869,2.9301114867763545e-09
1870,1.7202146374017957e-09
1871,8.496941816815706e-09
1872,6.047339295989218e-10
1873,1.7958012854535355e-09
1874,2.3898436563030145e-09
1875,3.432916173551348e-09
1876,9.069021977836655e-09
1877,1.8554447978047506e-09
1878,6.039088673581716e-10
1879,1.2829582729523281e-08
1880,1.2835692508872398e-09
1881,6.972507571312292e-10
1882,1.3310770263785798e-09
1883,5.687405213450347e-09
1884,1.1883054540362536e-08
1885,4.511945039809007e-09
1886,6.4534639854230136e-09
1887,0.0
1888,1.014498351992188e-08
1889,1.1277245803853475e-08
1890,3.9326319978272295e-09
1891,2.5496880162734215e-09
1892,7.522214851007902e-09
1893,1.2316832942449452e-08
1894,0.0
1895,1.2037228991346183e-09
1896,0.0
1897,4.078699600285063e-09
1898,1.2448380992680086e-08
1899,7.185851913504848e-09
1900,6.748368974740515e-09
1901,4.470991132876634e-09
1902,8.347482705062248e-09
1903,7.560307935250421e-09
1904,5.374625189347171e-09
1905,9.28936660926638e-09
1906,4.938417264011008e-08
1907,3.188562719413923e-08
1908,1.3751889627044989e-08
1909,2.310413166339842e-08
1910,8.016225794271747e-09
1911,8.51259862599818e-09
1912,3.646594803896619e-09
1913,1.007568034561146e-08
1914,6.696743604095445e-09
1915,2.3561523843085297e-09
1916,1.648119329900055e-08
1917,0.0
1918,2.2972752589112133e-09
1919,4.6960025201769895e-08
1920,2.7260033785836413e-08
