year,quelles_DET lois_NOUN
1800,2.4524483421828336e-07
1801,2.1192524712887462e-07
1802,1.991677720525331e-07
1803,2.0478562134940148e-07
1804,3.757213562494144e-07
1805,1.7625841719492996e-07
1806,2.4782353857943917e-07
1807,3.245528894524341e-07
1808,1.7222161829977267e-07
1809,1.8072243612721195e-07
1810,1.7082926007105925e-07
1811,1.42903374467096e-07
1812,3.0939616380010193e-07
1813,1.8979895344273245e-07
1814,2.2970743085437562e-07
1815,3.9379463601108e-07
1816,3.105589208018955e-07
1817,3.4406903637318464e-07
1818,4.828076889396016e-07
1819,4.4198983317755847e-07
1820,3.80914038089486e-07
1821,3.145814808647174e-07
1822,3.178120238089832e-07
1823,2.6287948173830955e-07
1824,3.267391690542354e-07
1825,2.518356687630785e-07
1826,3.8755130304934937e-07
1827,4.193859197698657e-07
1828,2.8617579417300476e-07
1829,3.720758314784689e-07
1830,4.007744962564175e-07
1831,4.1940344175372957e-07
1832,3.233662759782874e-07
1833,2.5368145983861723e-07
1834,2.6603413516568253e-07
1835,2.6773332706397923e-07
1836,2.553884996814304e-07
1837,2.3308935048760304e-07
1838,2.2408174693566707e-07
1839,2.614811656087568e-07
1840,2.29945758434269e-07
1841,2.812200392554587e-07
1842,2.824179645699587e-07
1843,3.2133597471784014e-07
1844,2.656463671257825e-07
1845,3.1472485773065273e-07
1846,3.0794677385870273e-07
1847,3.0255984029281535e-07
1848,2.6710137213115104e-07
1849,2.714930467107024e-07
1850,2.3286256478627365e-07
1851,2.2250563525005873e-07
1852,2.597707613460898e-07
1853,2.3230814782948528e-07
1854,2.5406799153415704e-07
1855,2.128081852958985e-07
1856,1.8896740172635873e-07
1857,2.4407545318183566e-07
1858,2.1042806430671135e-07
1859,2.357676311959267e-07
1860,2.682229798267599e-07
1861,2.5230405853449156e-07
1862,2.3403169002733648e-07
1863,1.9828644504116255e-07
1864,2.3925692183013325e-07
1865,2.0992525939789175e-07
1866,2.418209561483309e-07
1867,1.785834662371144e-07
1868,2.6477724546225545e-07
1869,3.823795466928459e-07
1870,2.591790089212509e-07
1871,2.29417435271273e-07
1872,2.31008355555673e-07
1873,2.220807671093894e-07
1874,1.7684842568144177e-07
1875,2.797826734735054e-07
1876,2.4002678244983144e-07
1877,2.4615567895125423e-07
1878,1.932508411073286e-07
1879,2.7430871440969895e-07
1880,2.84952371032432e-07
1881,2.175422402217464e-07
1882,2.1630001434402857e-07
1883,1.9147596219681873e-07
1884,2.0927380006696694e-07
1885,1.727430403164476e-07
1886,1.7166213917008122e-07
1887,1.7432229171276958e-07
1888,1.661241064709884e-07
1889,1.63520073925838e-07
1890,1.9532071782180083e-07
1891,1.797530000402503e-07
1892,1.8429426162924756e-07
1893,2.315564575638973e-07
1894,1.7014156483696752e-07
1895,1.8416961111711316e-07
1896,1.6865502594498594e-07
1897,1.6489599019564594e-07
1898,1.5220974258767228e-07
1899,1.7356595627404658e-07
1900,1.801295397285685e-07
1901,1.503370778976887e-07
1902,1.6302142391566576e-07
1903,1.8198742779418353e-07
1904,1.7145055153378053e-07
1905,1.5688706778149708e-07
1906,1.4660925629073063e-07
1907,1.265139442097052e-07
1908,1.6207583364291622e-07
1909,1.243222271796185e-07
1910,1.9078617441437018e-07
1911,1.8461697770533192e-07
1912,2.042093107945675e-07
1913,1.1878697048217646e-07
1914,1.4197097009116533e-07
1915,9.778032561413852e-08
1916,1.8788560218752082e-07
1917,1.2282395545071267e-07
1918,9.418828650353817e-08
1919,1.243059557509696e-07
1920,9.01095553729192e-08
1921,1.5221223037542586e-07
1922,1.6526575485897865e-07
1923,1.9214866497918592e-07
1924,1.559886531055099e-07
1925,1.5177485579442873e-07
1926,1.6719207884818843e-07
1927,1.4605484288665593e-07
1928,1.22258641432893e-07
1929,1.6042185269071751e-07
1930,1.5650369178388246e-07
1931,9.922660648697956e-08
1932,1.0740345679494112e-07
1933,7.341223562384869e-08
1934,8.866369149984621e-08
1935,8.736847245671697e-08
1936,1.1760972906671441e-07
1937,1.0954272644525531e-07
1938,1.192799761184915e-07
1939,1.1317597614635133e-07
1940,1.0650287918245738e-07
1941,1.4167212469828883e-07
1942,1.153000468434584e-07
1943,1.1903264329760077e-07
1944,7.069009733129406e-08
1945,9.803267975172503e-08
1946,1.113688359311027e-07
1947,1.4543462789617934e-07
1948,8.914947802196593e-08
1949,1.0700538854990782e-07
1950,1.1911604502756745e-07
1951,1.492596215513231e-07
1952,8.224947301016527e-08
1953,8.942276874535082e-08
1954,1.2802022553159986e-07
1955,1.0605736555646672e-07
1956,8.982775945298727e-08
1957,9.806892098396247e-08
1958,9.595802641371165e-08
1959,8.138285423342495e-08
1960,8.581833199627908e-08
1961,8.685198693569873e-08
1962,9.132417266854986e-08
1963,9.117134913694258e-08
1964,1.0829463725769983e-07
1965,1.1491291296295003e-07
1966,9.139473000630005e-08
1967,1.1191862014925391e-07
1968,1.2980191854694567e-07
1969,1.1717735137750651e-07
1970,8.231717529838534e-08
1971,1.1407242705985254e-07
1972,8.772550863511697e-08
1973,8.876258394963088e-08
1974,9.732238748227928e-08
1975,8.62433480186553e-08
1976,8.227478698330515e-08
1977,7.522280665028802e-08
1978,8.613857715999984e-08
1979,7.080887776123035e-08
1980,7.902359611122733e-08
1981,7.843681348873588e-08
1982,8.007677898547172e-08
1983,6.567928689804603e-08
1984,6.842830302389302e-08
1985,7.51944742027888e-08
1986,8.931783135324167e-08
1987,7.271872082270647e-08
1988,7.375760979755341e-08
1989,6.530865359621885e-08
1990,6.102489269466105e-08
1991,7.268216783984371e-08
1992,6.667032126372874e-08
1993,8.08724278655859e-08
1994,8.439882659416753e-08
1995,7.103410570863389e-08
1996,6.992900658531198e-08
1997,6.808749875020226e-08
1998,7.199875362573493e-08
1999,9.55172065886245e-08
2000,6.627047355323157e-08
2001,6.484193626477008e-08
2002,8.149072350249753e-08
2003,6.375391947699427e-08
2004,6.651234851773324e-08
2005,6.575474209569165e-08
2006,6.423908338604178e-08
2007,6.950394126903348e-08
2008,6.939626473467797e-08
2009,6.627787740853819e-08
2010,6.566072219271746e-08
2011,6.806670072023735e-08
2012,6.263824925412109e-08
2013,6.275531472255125e-08
2014,8.813361773718498e-08
2015,8.578146726279101e-08
2016,8.761768288678695e-08
2017,5.811062298022307e-08
2018,5.5501534035329314e-08
2019,8.239690707512182e-08
