year,ces_DET ans_NOUN,ces_DET lents_ADJ
1800,6.288328968651058e-09,0.0
1801,2.3811825844433088e-09,0.0
1802,2.2378401354217203e-08,0.0
1803,7.801356893821776e-09,0.0
1804,4.943701892301533e-09,4.943701892301533e-09
1805,1.1371510844071508e-08,1.7057265822018053e-08
1806,2.0171682990621775e-08,0.0
1807,5.693910232196231e-09,0.0
1808,2.7192887053217873e-08,0.0
1809,1.581321384946932e-08,0.0
1810,4.680253518074551e-09,0.0
1811,2.2563691359778204e-08,0.0
1812,1.0668832928217853e-08,1.0668832928217853e-08
1813,1.1502966579257645e-08,0.0
1814,6.293354282149721e-09,0.0
1815,3.776112933451259e-08,0.0
1816,4.6352077731626196e-09,2.3176038865813098e-09
1817,1.71256075987003e-08,0.0
1818,1.1921177378582115e-09,0.0
1819,1.0351050350188018e-08,1.035105001712111e-09
1820,1.0679833017945839e-08,0.0
1821,2.1695273910715684e-08,9.86148829262845e-10
1822,5.413832582235045e-08,1.0025615893027862e-09
1823,7.510842370272997e-08,9.882686891060644e-10
1824,1.2631669044083083e-08,1.6842225392110777e-09
1825,4.402721520690989e-09,8.805443041381977e-10
1826,1.7615968683770689e-09,2.642395191543301e-09
1827,6.452091305675367e-09,1.8434546111834038e-09
1828,1.0089531543577834e-08,2.7516904310687096e-09
1829,8.57317605795771e-10,1.714635211591542e-09
1830,3.7572609246083744e-08,2.0873671680021744e-09
1831,1.5591206103948707e-09,0.0
1832,2.3000947813045514e-08,0.0
1833,1.50587169400751e-08,0.0
1834,1.1201437333241415e-08,3.733812370398937e-09
1835,3.2521278114927554e-08,4.5378527602224494e-09
1836,1.6801875613037254e-08,0.0
1837,1.1132625044041333e-08,6.957891152126194e-09
1838,6.122797135965641e-08,8.837027110075724e-09
1839,3.845311480343838e-08,7.690622361167243e-09
1840,1.5287252685958208e-08,1.4013314952876499e-08
1841,1.8619591202195807e-08,2.5682194149112547e-09
1842,4.293289501688946e-08,4.695785538189057e-09
1843,5.316220019757623e-09,1.1223130869097986e-08
1844,1.152597861597826e-08,2.7442805805577564e-09
1845,1.0044410192477926e-08,3.348136878855712e-09
1846,1.3465352610708692e-08,7.610851504580296e-09
1847,1.1325769655456952e-08,6.47186837454683e-09
1848,7.401603796530765e-08,1.6090443422100975e-09
1849,9.217356433666168e-09,7.541473445726865e-09
1850,1.0862393651223101e-08,8.82569484161877e-09
1851,1.6768540778144825e-08,6.449438760824933e-09
1852,2.864639925270751e-08,5.208436348880241e-09
1853,1.7915795735845563e-08,2.388772735173461e-09
1854,1.7665259477439577e-08,6.234797567117312e-09
1855,2.0697054736729115e-08,7.429711956774554e-09
1856,1.5013848608802505e-08,2.0708756931497874e-09
1857,2.0990488958094744e-08,1.4156376515472857e-08
1858,1.6638498356869036e-08,1.468102750479261e-09
1859,1.680417249794175e-08,1.5276520048956854e-09
1860,1.1900678331677739e-08,1.2358396972445007e-08
1861,1.1789909160064838e-08,9.903524222920623e-09
1862,2.2589932147099034e-08,5.421583626485926e-09
1863,1.1487627959994029e-08,4.495158911765884e-09
1864,1.5343129544653777e-08,4.315255153208852e-09
1865,8.943004337069738e-09,7.530951195988678e-09
1866,3.1139921974343565e-08,1.119090975443271e-08
1867,1.4073153309368536e-08,1.5043715606566366e-08
1868,3.210918098073279e-08,5.433861360870651e-09
1869,2.8324410261681976e-08,1.4162206074530559e-08
1870,1.1468097138589428e-08,7.454263428741115e-09
1871,7.434823867669138e-09,5.3105884134652115e-09
1872,7.861540973763681e-09,7.256807266209364e-09
1873,6.824045062359119e-08,8.979006871356887e-09
1874,7.766991494406739e-09,5.974609251779839e-09
1875,1.77367336373635e-08,3.4329163400848017e-09
1876,4.111290130559553e-08,7.859819239897092e-09
1877,2.72131899237138e-08,9.895705588292003e-09
1878,1.2078177291652281e-08,1.3285995359435532e-08
1879,1.8938908663557186e-08,9.16398767980553e-09
1880,1.8611754359909582e-08,4.492492600149944e-09
1881,1.812851979643426e-08,4.880755244407453e-09
1882,1.4641846846075168e-08,1.0648616211028639e-08
1883,1.2638677882037541e-08,1.8958017378167824e-09
1884,1.1222884843675729e-08,1.5183903023796574e-08
1885,1.2246707925545053e-08,1.8047779715146817e-08
1886,1.6133659463957173e-08,7.744156427236248e-09
1887,1.697520390919749e-08,5.223139698529167e-09
1888,1.7119659467823567e-08,1.2047167707862627e-08
1889,7.518164202302557e-09,1.253027342995594e-08
1890,1.9007721174801873e-08,7.209825181320184e-09
1891,3.505821055682645e-08,2.103492668936724e-08
1892,2.1312941633766513e-08,1.002961980134387e-08
1893,1.3548516419881196e-08,1.046930819814662e-08
1894,1.5123694296903523e-08,1.449354058991048e-08
1895,1.2037228547256973e-08,5.416753268150387e-09
1896,9.435246306477296e-09,4.7176231254830725e-09
1897,7.574727733938857e-09,2.3306854779470143e-08
1898,1.018503881233812e-08,5.6583548957434004e-09
1899,1.1055156790007459e-08,1.0502398950507086e-08
1900,1.7130475371551768e-08,1.9206897405865675e-08
1901,5.588739082629246e-09,9.500856157362847e-09
1902,1.2766738111125164e-08,1.964113471863982e-08
