year,taxes_NOUN égales_ADJ,taxes_NOUN légales_ADJ
1800,8.489244152087849e-08,0.0
1801,1.904946067554647e-08,1.904946067554647e-08
1802,1.5664880947952042e-08,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,5.693910232196231e-09
1808,0.0,0.0
1809,6.7770917766551975e-09,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,1.0668832928217853e-08
1813,0.0,5.751483289628823e-09
1814,0.0,0.0
1815,1.0788894222457657e-08,2.697223555614414e-09
1816,0.0,0.0
1817,7.784366928831332e-09,0.0
1818,0.0,1.3113295338484932e-08
1819,0.0,1.1386155129855524e-08
1820,4.746592452420373e-09,2.3732962262101864e-09
1821,2.465372084259343e-08,0.0
1822,0.0,0.0
1823,2.9648061783404955e-09,6.917880934764753e-09
1824,0.0,1.6842225392110777e-09
1825,1.7610886082763955e-09,2.553578504205234e-08
1826,0.0,1.7615968683770689e-09
1827,0.0,8.295545583791863e-09
1828,1.559291185060374e-08,1.0089530988466322e-08
1829,0.0,1.1145129263923081e-08
1830,5.218417697960831e-09,2.1917355041978226e-08
1831,1.870944643656003e-08,0.0
1832,1.3529969367098715e-09,4.058990921151917e-09
1833,4.6334514003376626e-09,3.4750886612755494e-09
1834,1.0267983796552471e-08,2.6136685704614138e-08
1835,0.0,3.025235173481633e-09
1836,0.0,0.0
1837,6.957891152126194e-09,1.7394727436226276e-08
1838,3.787297142565649e-09,1.8936485712828244e-09
1839,0.0,1.11863602825224e-08
1840,3.1848443882154243e-09,3.821813088222825e-09
1841,0.0,8.988767952189392e-09
1842,6.708265054555795e-10,6.037438549100216e-09
1843,4.134837805480629e-09,6.497602011990011e-09
1844,1.3172547497219966e-08,8.781698035420504e-09
1845,2.5669049108500985e-08,2.2320911785556063e-09
1846,7.610851504580296e-09,4.6836010625384006e-09
1847,2.6966118227278457e-09,1.0786447290911383e-09
1848,8.04522137798358e-09,1.6090443422100975e-09
1849,8.379414939696517e-10,0.0
1850,1.3577992064028876e-09,2.7155984128057753e-09
1851,8.384270167027807e-09,2.902247508984601e-08
1852,0.0,2.539112742283578e-08
1853,1.4332636411040767e-08,1.0749477752369785e-08
1854,5.195664343204953e-09,4.1565315633818045e-09
1855,0.0,1.2736649068756378e-08
1856,0.0,2.5885946719483854e-09
1857,0.0,1.4644527812635033e-09
1858,0.0,2.4468380654951716e-09
1859,2.036869339860914e-09,1.2221216039165483e-08
1860,9.154367819341758e-10,1.6935580049448618e-08
1861,1.8863854922557266e-09,1.0846716413936974e-08
1862,4.517986429419807e-09,1.355395884417021e-08
1863,4.994620828036034e-10,7.491931519609807e-09
1864,0.0,1.5343129433631475e-08
1865,7.530950973944073e-09,4.706844247692743e-09
1866,1.1677471434268227e-08,1.9462451650298362e-09
1867,1.455843445796745e-09,9.7056229719783e-09
1868,1.0373735648272486e-08,2.667531973088444e-08
1869,8.790334682373668e-09,1.4650557211837167e-08
1870,1.7202146374017957e-09,2.6376625328339287e-08
1871,6.37270636261178e-09,2.1242354542039266e-09
1872,3.507456725060365e-08,2.4189357183956872e-09
1873,5.9860045809045914e-09,7.183205141814142e-09
1874,5.377148060148329e-09,1.6131444624534197e-08
1875,7.437985338754061e-09,1.7736734747586524e-08
1876,1.4510435519810017e-08,5.441413541973361e-09
1877,5.566334504436554e-09,1.6699003069220453e-08
1878,2.2344627481629686e-08,1.5701630218245555e-08
1879,4.887460214320072e-09,1.4662380642960215e-08
1880,3.401458670282409e-08,2.2462462112571302e-08
1881,1.1853263259808955e-08,8.367009307619355e-09
1882,3.9932310791357395e-09,5.989846840748214e-09
1883,6.951272890631799e-09,2.5909288936531993e-08
1884,4.621187876807653e-09,2.1125430293977843e-08
1885,7.7347630522695e-09,1.2246707647989297e-08
1886,2.0651084398082276e-08,9.680196200179125e-09
