year,aux_ADP livres_NOUN
1800,6.822836917663722e-07
1801,7.381666002892473e-07
1802,1.5015907592896838e-06
1803,7.274765394527094e-07
1804,1.1568262259231687e-06
1805,7.874771368321376e-07
1806,1.2247094280937176e-06
1807,7.174326785985841e-07
1808,1.0967797976491056e-06
1809,9.487928416263003e-07
1810,9.430710914415386e-07
1811,9.326325862701879e-07
1812,1.1148930978421845e-06
1813,6.757992601080787e-07
1814,9.754699377140241e-07
1815,6.689114249169847e-07
1816,7.138219970670434e-07
1817,1.1552001266679213e-06
1818,1.1682753282560299e-06
1819,1.1417208267694434e-06
1820,9.113457437592842e-07
1821,1.0512346140245654e-06
1822,8.772413906399379e-07
1823,9.70479873574348e-07
1824,1.1393765788625387e-06
1825,1.0504893566132267e-06
1826,8.446856947230685e-07
1827,9.02371024791293e-07
1828,1.0135393360144462e-06
1829,8.581749026959073e-07
1830,9.080047178589012e-07
1831,1.0149875462328595e-06
1832,9.633338173831163e-07
1833,9.78816614094491e-07
1834,1.0828055472256182e-06
1835,1.1397573516092052e-06
1836,1.2077187392378619e-06
1837,1.1717088668206088e-06
1838,1.0080522931943392e-06
1839,1.35424871672285e-06
1840,1.235719602199481e-06
1841,1.4523280720268872e-06
1842,1.364461137853823e-06
1843,1.6893765604208966e-06
1844,1.352381525876467e-06
1845,1.4235161227560411e-06
1846,1.6948781258463441e-06
1847,1.5893830465074643e-06
1848,1.2542500451573346e-06
1849,1.1664145258549752e-06
1850,1.2131936131254406e-06
1851,1.271184371987033e-06
1852,1.4694300940476523e-06
1853,1.145416529624299e-06
1854,1.545710132333511e-06
1855,1.3861719203589473e-06
1856,1.3429628644701097e-06
1857,1.5884430997203935e-06
1858,1.373654892944387e-06
1859,1.3799789622126468e-06
1860,1.5159632713590554e-06
1861,1.5416484986374712e-06
1862,1.3703052532676452e-06
1863,1.5103732859955699e-06
1864,1.3549901005660558e-06
1865,1.2426069004867202e-06
1866,1.2455969429225888e-06
1867,1.0710155233795149e-06
1868,1.236450447805737e-06
1869,1.4621255957081303e-06
1870,1.3423407878576654e-06
1871,9.601544082027402e-07
1872,1.2463566321230246e-06
1873,1.1337492296092933e-06
1874,1.255265413391271e-06
1875,1.1568927522631611e-06
1876,1.358539478246712e-06
1877,1.4441544973209375e-06
1878,1.4620633788098303e-06
1879,1.4112540789312789e-06
1880,1.4709703233251048e-06
1881,1.1239681816377356e-06
1882,1.2678508465313598e-06
1883,1.378879746383177e-06
1884,1.4880225496227695e-06
1885,1.28010325273209e-06
1886,1.3023090010833016e-06
1887,1.122974997436188e-06
1888,1.1571621545414246e-06
1889,1.2060388607793016e-06
1890,1.352169977764106e-06
1891,1.3475100821835895e-06
1892,1.2085692437935336e-06
1893,1.127606092055089e-06
1894,1.2199779710897474e-06
1895,1.1327032574115492e-06
1896,1.1275118860787359e-06
1897,1.1752480730820025e-06
