year,quelles_DET âmes_NOUN,quelles_DET ames_NOUN,quelles_DET lames_NOUN
1800,6.288328968651058e-09,4.087413785214267e-08,0.0
1801,0.0,4.7623651688866175e-09,0.0
1802,0.0,8.951360541686881e-09,0.0
1803,3.900678446910888e-09,1.950339223455444e-09,0.0
1804,4.943701892301533e-09,5.6852571983512235e-08,0.0
1805,5.685755422035754e-09,3.1271654599152043e-08,0.0
1806,0.0,0.0,0.0
1807,2.8469551160981155e-09,1.7081731584767113e-08,0.0
1808,2.2660739951163578e-09,0.0,0.0
1809,0.0,9.036122072814123e-09,0.0
1810,7.020380277111826e-09,4.680253518074551e-09,0.0
1811,2.5070767684098882e-09,1.504245972228091e-08,0.0
1812,1.600324983641599e-08,5.3344164641089264e-09,0.0
1813,0.0,0.0,0.0
1814,3.1466771410748606e-09,0.0,0.0
1815,5.394447111228828e-09,1.0788894000413052e-08,0.0
1816,0.0,4.6352077731626196e-09,0.0
1817,1.5568733857662664e-08,1.712560715461109e-08,0.0
1818,8.344823942962876e-09,2.265023657521681e-08,0.0
1819,1.449147024601416e-08,0.0,0.0
1820,1.3053129244156025e-08,2.3732962262101864e-09,0.0
1821,4.9307441463142254e-09,1.3806083165590621e-08,0.0
1822,1.1028177482330648e-08,2.8071724500478012e-08,0.0
1823,1.8777105204037525e-08,4.941343556552624e-09,0.0
1824,4.463189817727198e-08,5.894778887238772e-09,0.0
1825,1.2327620702023978e-08,1.0566531649658373e-08,0.0
1826,4.403992170942672e-09,9.688782998118484e-09,0.0
1827,6.452091305675367e-09,5.5303638335502114e-09,0.0
1828,5.5033806956039655e-09,1.2841221697090788e-08,0.0
1829,3.429270478694235e-09,1.2859763753869657e-08,0.0
1830,1.1480519201967354e-08,1.2524203008013046e-08,0.0
1831,6.236482441579483e-09,0.0,0.0
1832,5.411987746839486e-09,1.623596324051846e-08,0.0
1833,3.4750886612755494e-09,1.0425265983826648e-08,0.0
1834,1.213489042584115e-08,1.213488998175194e-08,0.0
1835,1.1344631900556124e-08,1.8151411040889798e-08,8.31939672707449e-09
1836,3.3603749782784575e-09,1.5457725766054864e-08,0.0
1837,2.0873672124110954e-08,6.957890930081589e-10,0.0
1838,1.7042836475411605e-08,3.787297142565649e-09,0.0
1839,7.690622361167243e-09,9.788065025162496e-09,0.0
1840,7.643626342979104e-09,3.821813199245128e-09,0.0
1841,1.219904222082846e-08,6.420548537278137e-10,0.0
1842,7.379091560011375e-09,5.366612043644636e-09,0.0
