year,avons_VERB également_ADV,avons_VERB egalement_ADV,avons_VERB légalement_ADV
1800,3.427139176892524e-07,3.144164484325529e-09,0.0
1801,3.238408226025058e-07,0.0,0.0
1802,2.4840025503181096e-07,0.0,2.2378401354217203e-09
1803,4.6418074362009065e-07,0.0,0.0
1804,2.4718508484511403e-07,2.4718509461507665e-09,0.0
1805,4.463317964109592e-07,0.0,0.0
1806,2.7087691023552907e-07,0.0,0.0
1807,3.558693890681752e-07,0.0,0.0
1808,2.877914084820077e-07,0.0,0.0
1809,7.951787210913608e-07,0.0,0.0
1810,4.563247273381421e-07,2.3401267590372754e-09,0.0
1811,3.8358274423444527e-07,0.0,2.5070767684098882e-09
1812,4.480909865378635e-07,0.0,0.0
1813,3.077043686516845e-07,2.8757416448144113e-09,0.0
1814,3.4613449884091096e-07,0.0,0.0
1815,3.5333627579348104e-07,2.697223555614414e-09,0.0
1816,5.909889750910224e-07,0.0,0.0
1817,3.42512151974006e-07,0.0,0.0
1818,3.326008481963072e-07,3.5763532135746345e-09,0.0
1819,2.950049236005725e-07,0.0,0.0
1820,4.260066646111227e-07,1.1866481131050932e-09,0.0
1821,4.960328396919067e-07,1.97229765852569e-09,0.0
1822,4.180681685284071e-07,0.0,1.0025615893027862e-09
1823,3.775186314669554e-07,0.0,0.0
1824,4.884245186076441e-07,3.3684450784221553e-09,0.0
1825,4.1385581539543637e-07,8.805443041381977e-10,0.0
1826,4.104520598957606e-07,4.403992281964975e-09,0.0
1827,4.802199100595317e-07,1.8434546111834038e-09,0.0
1828,5.347451406123582e-07,1.8344602503717056e-09,0.0
1829,5.006734795642842e-07,1.714635211591542e-09,0.0
1830,5.552396942221094e-07,0.0,0.0
1831,3.617159904933942e-07,0.0,9.354723218280014e-09
1832,4.2619404894139734e-07,0.0,0.0
1833,4.170106251422112e-07,0.0,0.0
1834,4.807283175978228e-07,9.334530925997342e-10,9.334530925997342e-10
1835,4.3185232811993046e-07,0.0,0.0
1836,4.778453330800403e-07,6.720750067579218e-10,0.0
1837,4.6687446797477605e-07,0.0,0.0
1838,4.97398332299781e-07,0.0,0.0
1839,4.789160357177025e-07,0.0,2.0974426639952526e-09
1840,4.4906303742209275e-07,0.0,7.0066574764382494e-09
1841,6.304978796833893e-07,1.926164561183441e-09,0.0
1842,6.339310516523256e-07,3.3541325272778977e-09,0.0
1843,5.475706643665035e-07,2.3627644285539873e-09,0.0
1844,5.175713226890366e-07,6.037417232818143e-09,0.0
1845,5.184031692806457e-07,3.348136878855712e-09,5.580227946389016e-10
1846,6.381406478794815e-07,1.7563503984519002e-09,5.854501328173001e-10
1847,7.038156581984367e-07,0.0,1.6179670936367074e-09
1848,6.806257601965626e-07,8.045221711050488e-10,0.0
1849,6.896258355482132e-07,8.379414939696517e-10,1.6758829879393033e-09
1850,5.763857870988431e-07,6.788996032014438e-10,1.3577992064028876e-09
