year,toutes_DET lois_NOUN
1800,1.9493819536364754e-07
1801,1.1191558257905854e-07
1802,1.4769744893783354e-07
1803,1.9893459324293872e-07
1804,4.0043984750326445e-07
1805,1.847870549909203e-07
1806,3.6020865135100166e-07
1807,5.836258267777339e-07
1808,3.263146686194318e-07
1809,4.246977454158696e-07
1810,4.984469845759065e-07
1811,3.284270633230335e-07
1812,3.173977880521761e-07
1813,3.0770435799354345e-07
1814,2.3600078691288218e-07
1815,2.1847510289774164e-07
1816,6.95281165974393e-08
1817,1.9772292925157586e-07
1818,4.1128062377993047e-07
1819,2.1426673468827317e-07
1820,1.946102869965216e-07
1821,2.8203856317077225e-07
1822,2.3058916553964082e-07
1823,2.075364200493368e-07
1824,1.9200136325281392e-07
1825,1.8931702161495423e-07
1826,3.910745185464748e-07
1827,3.7882990922000204e-07
1828,4.870491967512436e-07
1829,3.557868106796036e-07
1830,3.5380874408019736e-07
1831,1.9021271091546055e-07
1832,2.1242051495562464e-07
1833,2.536814673881338e-07
1834,4.461905760422269e-07
1835,3.0252351024273594e-07
1836,2.298496504238301e-07
1837,1.781220131391592e-07
1838,1.4076120868899977e-07
1839,1.9995619293666778e-07
1840,2.630681414927949e-07
1841,1.6372398592423565e-07
1842,2.4686415756036695e-07
1843,2.2269055044432662e-07
1844,1.1525978482751498e-07
1845,1.6461671803469358e-07
1846,1.434352823181939e-07
1847,1.7312248168366295e-07
1848,1.4481398524779365e-07
1849,1.5753300353082977e-07
1850,1.5071570746982843e-07
1851,1.3156855160900705e-07
1852,3.450589005637994e-07
1853,1.6183934725688687e-07
1854,1.6470256225531443e-07
1855,2.9082014307846293e-07
1856,1.9414459906386128e-07
1857,1.610897983894688e-07
1858,1.7715106959137472e-07
1859,1.4309007401180907e-07
1860,1.313651758483303e-07
1861,1.344049671558878e-07
1862,1.4412376894701318e-07
1863,1.2886121530941708e-07
1864,1.0788137938533282e-07
1865,1.1578837050274515e-07
1866,1.1482846140609126e-07
1867,1.0967353780699796e-07
1868,1.205329258624488e-07
1869,1.0401896055611815e-07
1870,9.805223122327789e-08
1871,1.0939812655763603e-07
1872,1.3304146573300812e-07
1873,6.464884821921757e-08
1874,7.64749983339641e-08
1875,8.296214337732977e-08
1876,9.734084027712697e-08
1877,6.926994178257928e-08
1878,7.6092520728821e-08
1879,1.5395499630699305e-07
1880,1.251480026276397e-07
1881,9.761510399997064e-08
1882,1.0448954479436168e-07
