year,cubes_NOUN égaux_ADJ
1800,9.746909768182377e-08
1801,0.0
1802,2.2378401354217203e-09
1803,1.1702034896643454e-08
1804,7.4155526164076946e-09
1805,0.0
1806,2.881669125542885e-08
1807,4.555128185756985e-08
1808,2.2660739062985158e-08
1809,1.8072244145628247e-08
1810,0.0
1811,2.5070767684098882e-09
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,2.384235475716423e-09
1819,0.0
1820,0.0
1821,1.0847637454958203e-08
1822,3.107940926838637e-08
1823,1.1859224713361982e-08
1824,9.263223965660927e-09
1825,0.0
1826,0.0
1827,3.6869092223668076e-09
1828,9.172301251858528e-10
1829,1.714635211591542e-09
1830,0.0
1831,1.5591206103948707e-09
1832,0.0
1833,1.1583628500844156e-09
1834,0.0
1835,5.294161553592858e-09
1836,1.3441500135158435e-09
1837,4.87052354003481e-09
1838,1.2624323808552163e-09
1839,2.7965900706306e-09
1840,2.5478754661634184e-09
1841,0.0
1842,0.0
1843,1.7720733769266417e-09
1844,6.037417232818143e-09
1845,1.1160455892778032e-09
1846,2.3418005312692003e-09
1847,1.6179670936367074e-09
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,1.3021090872200602e-09
1853,8.360704129017904e-09
1854,0.0
1855,4.776243400783642e-09
1856,3.1063134287023786e-09
1857,8.298565390418844e-09
1858,9.297984604472731e-09
1859,6.110608019582742e-09
1860,3.661747127736703e-09
1861,4.715963619617014e-09
1862,0.0
1863,3.995696662428827e-09
1864,1.0068928801842958e-08
1865,8.001635798393636e-09
1866,5.352174259343201e-09
1867,4.85281148598915e-09
1868,1.975949626142892e-09
1869,5.860222973552709e-09
1870,8.027668307875047e-09
1871,2.1242354542039266e-09
1872,1.1489944995446422e-08
1873,1.1972008939764578e-09
1874,9.559374625212058e-09
1875,2.2886108563824337e-09
1876,1.813804439976252e-09
1877,3.710889595609501e-09
1878,3.6234530931267273e-09
1879,3.0546627449723474e-09
1880,1.2835692508872398e-09
1881,6.972507571312292e-10
1882,1.2645231528551903e-08
1883,9.479008689083912e-09
1884,2.6406787867472303e-09
1885,6.445635691854079e-10
1886,5.162771099520569e-09
1887,1.3057849246322917e-09
1888,4.4384300679212174e-09
1889,0.0
1890,5.243509182406569e-09
1891,5.736798147637501e-09
