year,autorités_NOUN égales_ADJ,autorités_NOUN légales_ADJ
1800,3.144164484325529e-09,1.2576657937302116e-08
1801,0.0,6.667310969987739e-08
1802,0.0,0.0
1803,0.0,2.3404069793286908e-08
1804,1.4831105232815389e-08,1.9774807569206132e-08
1805,0.0,0.0
1806,0.0,4.3225035994964855e-08
1807,0.0,3.4163463169534225e-08
1808,9.064295980465431e-09,9.064295980465431e-09
1809,0.0,4.518061036407062e-09
1810,0.0,2.574139479349924e-08
1811,2.5070767684098882e-09,4.512738271955641e-08
1812,1.0668832928217853e-08,2.400487453257938e-08
1813,0.0,1.4378708002027452e-08
1814,6.293354282149721e-09,1.0069366851439554e-07
1815,2.1577788444915313e-08,8.091670444798638e-09
1816,0.0,1.3905623319487859e-08
1817,0.0,3.269434145636296e-08
1818,1.1921177378582115e-09,1.0848271614349869e-07
1819,1.035105001712111e-09,5.2790355198339967e-08
1820,0.0,5.93324074316115e-08
1821,5.9168927535324656e-09,6.01550809165019e-08
1822,5.012807946513931e-09,5.9151133768864383e-08
1823,7.906149512848515e-09,5.435477845594505e-08
1824,5.894778887238772e-09,3.3684450784221553e-08
1825,4.4027217427355936e-09,2.289415235168235e-08
1826,6.1655889282974385e-09,1.2331177856594877e-08
1827,0.0,3.041700225026034e-08
1828,9.172301251858528e-10,4.586150481600271e-08
1829,2.571952872898464e-09,3.429270378774163e-08
1830,8.349468672008697e-09,2.0873670791843324e-08
1831,3.1182412207897414e-09,3.585977381703742e-08
1832,1.3529969367098715e-09,4.058990654698391e-08
1833,0.0,1.9692167896323554e-08
1834,9.334530925997342e-10,7.187588835222414e-08
1835,0.0,4.764745398233572e-08
1836,0.0,2.016225053580456e-08
1837,0.0,5.427154903259179e-08
1838,1.8936485712828244e-09,2.9035945203759184e-08
1839,3.4957374772659477e-09,3.705481788074394e-08
1840,4.458782232319436e-09,4.267691267045848e-08
1841,5.778493683550323e-09,2.760835826620678e-08
1842,5.366612043644636e-09,4.092041550052272e-08
1843,4.134837805480629e-09,1.9492807368237663e-08
1844,5.488561161115513e-09,4.335963410539989e-08
1845,1.6182660544927785e-08,5.5802278353667134e-08
1846,1.2294452567118697e-08,6.615586300995346e-08
1847,9.168480197274675e-09,5.123562374365065e-08
1848,8.045221711050488e-10,1.3274615184855065e-07
1849,1.005529792763582e-08,1.0893239199560867e-08
1850,6.788996032014438e-09,5.906426636670403e-08
1851,3.2247193804124663e-09,6.384944128967618e-08
1852,9.765818376195057e-09,2.0833745395520964e-08
1853,4.777545470346922e-09,5.1358615138497044e-08
1854,1.3508727469968562e-08,4.9878380536938494e-08
1855,2.1227748447927297e-09,3.449509122788186e-08
1856,9.318940286107136e-09,2.7956822634678247e-08
1857,4.881509085841174e-10,2.6848299583548396e-08
1858,4.893676130990343e-09,3.474509924217273e-08
1859,1.5276520048956854e-09,2.5460867192350634e-08
1860,1.8308735638683515e-09,3.3871160098897235e-08
1861,5.187560159214399e-09,3.159695793897299e-08
1862,2.710791813242963e-09,6.099281790739042e-08
1863,3.995696662428827e-09,4.4951587341302e-08
1864,1.1986819536957682e-08,2.5412058235474433e-08
1865,7.0602665935837194e-09,5.601144792422019e-08
1866,2.432806400776144e-09,4.135770836910524e-08
1867,1.261730986357179e-08,3.8337212515671126e-08
1868,2.4699371437009177e-09,3.210918109175509e-08
1869,2.441759683335931e-09,4.932354258357918e-08
1870,0.0,2.6376625328339287e-08
1871,5.3105884134652115e-09,5.629224020253787e-08
1872,6.047339295989218e-10,3.930770375859538e-08
