year,véritables_ADJ êtres_NOUN,véritables_ADJ lettres_NOUN
1800,9.432493897065797e-09,9.432493186523061e-08
1801,7.143547975374531e-09,3.0955374485941434e-08
1802,2.2378401354217203e-09,3.1329761895904085e-08
1803,3.1205427575287104e-08,4.8758479920252285e-08
1804,0.0,2.2246657849223084e-08
1805,0.0,5.401467539911664e-08
1806,2.881669125542885e-09,1.4408345627714425e-08
1807,5.693910232196231e-09,5.978605788214963e-08
1808,0.0,5.6651851210176574e-08
1809,3.162642769893864e-08,4.969867006821005e-08
1810,7.020380277111826e-09,3.510190182964834e-08
1811,1.2535384286138651e-08,1.7549536934780008e-08
1812,0.0,6.134578844907423e-08
1813,0.0,9.777521836618064e-08
1814,0.0,2.2026739543434815e-08
1815,1.6183340889597275e-08,4.045835311217161e-08
1816,0.0,6.952811659743929e-09
1817,2.0239355080775567e-08,4.359245697749259e-08
1818,1.1921177378582115e-09,2.0266001543589596e-08
1819,3.1053151161586356e-09,3.001804671498576e-08
1820,1.1866481131050932e-09,4.50926265216367e-08
1821,1.972297702934611e-08,6.409967312492881e-08
1822,1.4035862250239006e-08,4.6117833107928163e-08
1823,3.9530747564242574e-09,2.470671811583003e-08
1824,2.2737005167527968e-08,5.72635645568198e-08
1825,1.3208164340028361e-08,6.163810439829831e-08
1826,6.1655889282974385e-09,5.8132697655643994e-08
1827,4.608636583469661e-09,6.452091039221841e-08
1828,3.668920500743411e-09,5.595103758082587e-08
1829,6.001223074036943e-09,5.058173968564006e-08
1830,1.878630406793036e-08,8.76694201679129e-08
1831,3.1182412207897414e-09,2.494592976631793e-08
1832,3.92369123858316e-08,1.1500473817704915e-07
1833,1.1583628500844156e-09,1.6217079235048004e-08
1834,1.3068342852307069e-08,8.494423298088805e-08
1835,4.5378527602224494e-09,8.697551123759695e-08
1836,8.064899859050456e-09,3.091545153210973e-08
1837,2.365682938432201e-08,2.991893033321702e-08
1838,1.8936486156917454e-08,2.7142295522253335e-08
1839,1.3982949909063791e-08,3.146163862766116e-08
1840,1.52872523528913e-08,3.503328827036967e-08
1841,5.1364388298225094e-09,4.044945711711989e-08
1842,1.2074877098200432e-08,5.634942823462552e-08
1843,4.371114314949409e-08,3.307870161117776e-08
1844,1.2623690537338916e-08,2.5247381074677833e-08
1845,2.622707206967334e-08,6.194052692976015e-08
1846,1.9905304071698993e-08,5.503231292891542e-08
1847,7.011190739092399e-09,3.343798660182529e-08
1848,7.24069959545659e-09,5.63165514222419e-08
