year,fêtes_NOUN égales_ADJ,fêtes_NOUN légales_ADJ
1800,0.0,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,1.421438877713399e-08
1806,0.0,1.7001847130160286e-07
1807,0.0,2.8469549784304604e-07
1808,9.064295980465431e-09,8.83768831450027e-08
1809,0.0,3.162642769893864e-08
1810,0.0,3.510190182964834e-08
1811,0.0,4.26203050629681e-08
1812,0.0,5.601137464950057e-08
1813,0.0,3.4508900625951355e-08
1814,0.0,1.2586708120210233e-08
1815,0.0,8.091670444798638e-09
1816,0.0,9.270415546325239e-09
1817,0.0,0.0
1818,0.0,2.384235475716423e-09
1819,0.0,2.5877625375869684e-08
1820,0.0,2.1359666035891678e-08
1821,0.0,3.7473655178921206e-08
1822,0.0,3.5089655625597516e-08
1823,0.0,6.226093063332883e-08
1824,0.0,2.0210671358711352e-08
1825,0.0,2.7296874094417944e-08
1826,0.0,2.1139162309502524e-08
1827,0.0,3.8712546668318026e-08
1828,0.0,1.834460228167245e-08
1829,0.0,5.4868325882750923e-08
1830,0.0,9.080046936560393e-08
1831,1.5591206103948707e-09,6.704218291631037e-08
1832,0.0,3.5177919244233635e-08
1833,0.0,7.066013552048389e-08
1834,0.0,4.387229424196448e-08
1835,0.0,1.2100941404469268e-07
1836,0.0,2.9571300075303952e-08
1837,0.0,5.844628248041772e-08
1838,0.0,8.268931850352601e-08
1839,0.0,5.2436064379435265e-08
1840,0.0,4.2039946634986336e-08
1841,0.0,3.5955073585114405e-08
1842,0.0,6.372851935054769e-08
1843,0.0,4.6073907356003474e-08
1844,0.0,4.939705011697271e-08
1845,0.0,5.022205229465726e-08
1846,0.0,7.552306713343171e-08
1847,0.0,8.143767704638094e-08
1848,0.0,1.1182857967417803e-07
1849,0.0,1.2233945700934612e-07
1850,0.0,7.671565782629841e-08
1851,6.449438760824933e-10,8.384270544503636e-08
1852,5.859490670445666e-09,5.989701734598896e-08
