year,mêmes_ADJ êtres_NOUN,mêmes_ADJ lettres_NOUN
1800,5.65949598296811e-08,6.256887505884379e-07
1801,6.667310969987739e-08,9.262800446663277e-07
1802,5.370816325012129e-08,9.689848070593143e-07
1803,6.046051481689574e-08,6.592146455375314e-07
1804,3.707776485839531e-08,6.006598027852306e-07
1805,1.2224374756897305e-07,5.941614400484241e-07
1806,2.881669125542885e-08,7.204172760566507e-07
1807,1.9928686256776018e-08,9.651178345393419e-07
1808,4.5321478125970316e-08,1.0537244392594403e-06
1809,4.51806094758922e-08,8.109919598098259e-07
1810,3.510190182964834e-08,8.822277735021089e-07
1811,4.262030373070047e-08,9.67731626388968e-07
1812,9.068507722531649e-08,7.868264049193385e-07
1813,4.3136125782439194e-08,6.499176095076109e-07
1814,6.293354282149721e-09,9.502965019336784e-07
1815,1.0519171667056071e-07,7.660114764718173e-07
1816,1.0429217667251578e-07,5.214608673753673e-07
1817,9.652615062805125e-08,7.784367292984484e-07
1818,9.894576891156248e-08,6.437435606798658e-07
1819,4.0369094733705424e-08,8.239435906887138e-07
1820,8.187871713971617e-08,7.760678712998015e-07
1821,5.5224333550540905e-08,6.035231070455893e-07
1822,5.714601059025881e-08,8.080646125563362e-07
1823,6.917881023582595e-08,6.028438725991236e-07
1824,1.271587990459011e-07,6.829522378737352e-07
1825,7.308517524506897e-08,7.009132492186154e-07
1826,6.870227764466108e-08,7.592482784701815e-07
1827,7.005127855563842e-08,5.93592364594997e-07
1828,7.33784091266898e-08,8.814581300420343e-07
1829,6.001223340490469e-08,6.284138045486998e-07
1830,1.1271782796029584e-07,8.088547776008426e-07
1831,7.951515357262906e-08,8.466024628006608e-07
1832,1.1094574858816486e-07,9.863347555372215e-07
1833,4.51761508202253e-08,1.0877027545319606e-06
1834,5.880754372356023e-08,7.859675199561877e-07
1835,9.605121675804185e-08,5.868956520771462e-07
1836,6.25029770162655e-08,5.853773292763265e-07
1837,7.305785487687899e-08,7.94591161645819e-07
1838,4.670999942391063e-08,6.855007672612601e-07
1839,8.94908822601792e-08,6.124532125895144e-07
1840,1.0573683084658114e-07,5.885592475607382e-07
1841,9.887644836226173e-08,6.709473177046732e-07
1842,9.324488559059319e-08,7.405924584702461e-07
1843,1.1872891292341592e-07,7.377731936486498e-07
1844,6.147188713612195e-08,6.388685520608561e-07
1845,5.30121653241622e-08,7.265456707372664e-07
1846,8.430481557297753e-08,1.3301427017609058e-06
1847,6.957258591455684e-08,8.586011812639072e-07
1848,8.286578179195203e-08,5.301801193624556e-07
1849,4.022119171054328e-08,5.949384815906456e-07
1850,4.277067588986938e-08,4.854132216181029e-07
1851,5.93348374877678e-08,6.017326394935907e-07
1852,6.315229228448516e-08,7.070452605617561e-07
1853,5.852493245583901e-08,6.342191767316763e-07
1854,6.702406807335137e-08,5.689252313700877e-07
1855,7.111295730055645e-08,4.733787797306377e-07
1856,6.73034605824796e-08,5.151303253958517e-07
1857,3.7099468386259105e-08,5.677195025199921e-07
1858,4.7468656561022726e-08,4.541331302121421e-07
1859,5.8050776630125256e-08,5.061620340640616e-07
1860,4.897586691754441e-08,4.888432538763254e-07
1861,5.32903889904901e-08,4.866874467879256e-07
1862,3.7499287230957634e-08,4.292086990265176e-07
1863,6.193329937786984e-08,4.540110376538564e-07
1864,8.486668434670719e-08,3.8933192225698576e-07
1865,3.294790928975999e-08,4.08083414171756e-07
1866,4.135770836910524e-08,4.072518096087663e-07
1867,2.7661025470138156e-08,4.221946010574129e-07
1868,5.433861360870651e-08,4.7225196198041886e-07
1869,4.395167252368992e-08,3.818911862296659e-07
1870,4.12851512976431e-08,4.971420306532082e-07
1871,7.647247457498452e-08,7.753459367876303e-07
1872,5.019291648977742e-08,3.936817751792887e-07
1873,4.4895035244962855e-08,3.801112873347279e-07
1874,3.4652732239237594e-08,4.086632516830946e-07
1875,3.4901315615343265e-08,5.19514662400411e-07
1876,5.1995726835230016e-08,4.5768330902973275e-07
1877,5.751878973114799e-08,3.506790786644842e-07
1878,3.140326043649111e-08,5.948502206365447e-07
1879,4.459807456669296e-08,3.885530901470702e-07
1880,2.759673911612026e-08,3.651754596489809e-07
1881,4.113779539238749e-08,3.5768964412596915e-07
1882,2.7952617998039386e-08,3.7935695651469814e-07
1883,6.19295192905156e-08,4.5562433559354076e-07
1884,3.3668655419205606e-08,5.149323749620294e-07
1885,2.513797880965285e-08,5.801072182620715e-07
1886,1.936039240035825e-08,3.9946942642643535e-07
1887,2.9380160526670807e-08,4.0675201518070025e-07
1888,2.3460273723685532e-08,5.015426118859523e-07
1889,3.5084767091575486e-08,4.116194878278634e-07
1890,3.211649257650606e-08,4.6732774627855633e-07
1891,3.1233678754460925e-08,4.219733744648124e-07
1892,1.9432388143059143e-08,4.1309495735220025e-07
1893,4.126139074855928e-08,4.1446142651224704e-07
1894,3.276800342177921e-08,3.623384969841936e-07
1895,2.166701307260155e-08,2.485687851105922e-07
1896,1.4152869098893461e-08,2.606486779743733e-07
1897,4.078699333831537e-08,4.2301940439415375e-07
1898,2.3765091228256097e-08,4.074015649280227e-07
1899,2.1557555740514545e-08,4.2341249972821515e-07
1900,3.3741844873702576e-08,2.875843354566143e-07
1901,2.6267072072982955e-08,2.5205211962031626e-07
1902,2.8479647085077886e-08,1.958712125826878e-06
1903,3.0781254878320397e-08,2.3814971328306456e-07
1904,4.944655174199397e-08,2.8216783132251066e-07
1905,3.715746643706552e-08,2.177840308092982e-07
1906,3.0865106026567446e-08,3.4208827592863145e-07
1907,2.0057088434555226e-08,2.1445656894769627e-07
1908,1.964555629285769e-08,2.0726062066600548e-07
1909,2.475442606453271e-08,2.282908173611986e-07
1910,3.90122991689168e-08,2.1376602443723414e-07
1911,3.351835786702395e-08,2.2877608341076439e-07
1912,4.0112542620818203e-08,2.234841698367518e-07
1913,3.977242357677824e-08,2.0681659584909085e-07
1914,3.3483718908655646e-08,2.1295644803132063e-07
1915,2.591767689352764e-08,1.6493066556932945e-07
1916,6.592477230782379e-09,1.439357513177697e-07
