year,trois_DET armes_NOUN,trois_DET larmes_NOUN
1800,9.432493897065797e-09,9.432493897065797e-09
1801,4.7623651688866175e-09,0.0
1802,4.475680270843441e-09,1.1189200677108602e-08
1803,0.0,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,2.2775640928784924e-08
1808,0.0,0.0
1809,0.0,0.0
1810,7.020380277111826e-09,0.0
1811,2.5070767684098882e-09,3.008491944456182e-08
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,3.1466771410748606e-09,4.405347908686963e-08
1815,2.697223555614414e-09,1.8880564667256294e-08
1816,2.3176038865813098e-09,1.1588019432906549e-08
1817,1.556873407970727e-09,3.113746815941454e-09
1818,1.7881766289917778e-08,1.1921176934492905e-08
1819,1.1386155129855524e-08,1.9666995143552413e-08
1820,1.1866481131050932e-09,1.1866481131050932e-08
1821,4.9307441463142254e-09,4.930744257336528e-09
1822,1.0025615893027862e-08,5.012807946513931e-09
1823,2.8659791873053564e-08,9.882686891060644e-10
1824,7.57900142644985e-09,0.0
1825,7.044354433105582e-09,7.924898959288385e-09
1826,2.642395191543301e-09,1.5854372037438225e-08
1827,3.6869092223668076e-09,6.452091305675367e-09
1828,1.7427371545863934e-08,7.337841001486822e-09
1829,1.5431716349212365e-08,1.0287811491593857e-08
1830,7.305785310052215e-09,4.174734336004349e-09
1831,2.8064171431196883e-08,2.494592976631793e-08
1832,3.111892965534935e-08,1.4882966192786284e-08
1833,1.9692167896323554e-08,1.1583628500844156e-09
1834,2.8003592777992026e-09,1.9602515166639023e-08
1835,1.285724948729694e-08,2.2689263801112247e-09
1836,5.376600054063374e-09,8.736974699274924e-09
1837,2.0177884252348122e-08,9.74104708006962e-09
1838,2.0830134062066463e-08,6.312161904276081e-10
1839,4.894032845648155e-09,1.0487212875887053e-08
1840,1.1465439264668476e-08,4.458782232319436e-09
1841,1.926164472365599e-08,3.2102742686390684e-09
1842,1.2745703159566801e-08,9.391571076378114e-09
1843,2.3627644285539873e-09,6.497602011990011e-09
1844,1.4819115712327857e-08,1.5367971784030487e-08
1845,3.9061593959388574e-09,9.48638767539478e-09
1846,1.3465353276842507e-08,2.2832555401919308e-08
1847,1.3483059113639229e-08,1.3483059113639229e-08
1848,8.84974404868899e-09,1.689496542667257e-08
1849,2.3462362719328667e-08,1.3407064125559032e-08
1850,1.425689166723032e-08,1.6293590476834652e-08
1851,9.674158363282004e-09,1.2898877521649865e-09
1852,1.2370036550635177e-08,3.580800012059626e-08
1853,1.0152284346531815e-08,2.149895550473957e-08
1854,2.0782657816909023e-09,1.1430461910322265e-08
1855,6.368324534378189e-09,1.2205955357558196e-08
1856,7.248064815001953e-09,1.5013848608802505e-08
1857,1.513267733344037e-08,1.3180074864838076e-08
1858,9.297984604472731e-09,1.712786690255541e-08
1859,4.582956236731661e-09,4.073738679721828e-09
1860,7.323494255473406e-09,2.4259074749011234e-08
1861,8.488735048217677e-09,3.3483342321005694e-08
1862,1.0843167363994155e-08,1.581295272501393e-08
1863,2.9967726078439227e-09,2.1976331865403154e-08
1864,1.1027874724511832e-08,1.9178912680217763e-08
1865,1.2708479601997169e-08,5.177528628053096e-09
1866,9.731225603104576e-09,2.6274308950746672e-08
1867,3.88224918879132e-09,1.8925964795357686e-08
1868,6.915823469455518e-09,1.333765986544222e-08
1869,2.0510780629479086e-08,4.88351925564956e-09
1870,6.307453670473251e-09,1.548193218070537e-08
1871,3.929835545868343e-08,5.3105884134652115e-09
1872,5.442605477412599e-09,1.7537283625301825e-08
1873,1.5563611011071288e-08,3.23244258026989e-08
1874,1.0156835372754358e-08,2.8678122987457755e-08
1875,1.94531928343622e-08,2.689117728493784e-08
1876,1.3301232115736639e-08,1.3905833817773328e-08
1877,1.1132669008873108e-08,3.7108897066318036e-09
1878,7.850815109122777e-09,7.850815109122777e-09
1879,1.5273313280772527e-08,1.8327975581655664e-08
1880,1.9253539651487017e-08,1.0268554007097919e-08
