year,quels_PRON ont_VERB,quels_DET longs_ADJ
1800,5.973912564627426e-07,0.0
1801,8.000773732419475e-07,2.3811825844433088e-09
1802,5.102275508761522e-07,8.951360541686881e-09
1803,4.5637936807452206e-07,0.0
1804,5.413353534322596e-07,2.4718509461507665e-09
1805,4.0368863096773566e-07,0.0
1806,6.426122070024576e-07,0.0
1807,5.01064093327841e-07,5.693910232196231e-09
1808,4.940041264944739e-07,0.0
1809,4.7439640837865227e-07,0.0
1810,6.996979351470145e-07,0.0
1811,4.613021360455605e-07,1.0028307073639553e-08
1812,5.147711874542438e-07,0.0
1813,4.6011867027573317e-07,0.0
1814,6.38775475181319e-07,0.0
1815,4.693168875746778e-07,0.0
1816,5.029200593753558e-07,4.6352077731626196e-09
1817,4.7017577031738256e-07,1.556873407970727e-09
1818,5.722165212773689e-07,1.1921176934492905e-08
1819,5.154822915187651e-07,0.0
1820,5.363649577816432e-07,0.0
1821,6.429690273535016e-07,9.86148829262845e-10
1822,5.734652290811937e-07,1.303330066093622e-08
1823,6.937646332971781e-07,9.882686669016039e-09
1824,5.498986723750932e-07,1.1789557774477544e-08
1825,5.071935262890293e-07,7.044354655150187e-09
1826,5.205518789352936e-07,4.403992281964975e-09
1827,6.45209127014823e-07,1.013900075008678e-08
1828,5.118144059679253e-07,1.9261832406858304e-08
1829,6.146967166387185e-07,1.5431716349212365e-08
1830,6.710885571692415e-07,8.349468672008697e-09
1831,5.753154965759677e-07,1.4032085715598441e-08
1832,5.006088770187489e-07,4.058990810129615e-09
1833,4.587117032883725e-07,1.3900354645102198e-08
1834,5.992768663531933e-07,1.4935249481595747e-08
1835,6.753837240580651e-07,6.050470346963266e-09
1836,5.746241313886458e-07,1.0081125434435734e-08
1837,6.679575363932599e-07,1.4611571397260548e-08
1838,5.863998566724149e-07,6.312161904276081e-10
1839,6.348259660171607e-07,6.292327547896548e-09
1840,6.427015932786162e-07,1.0828470731194528e-08
1841,6.29213772640469e-07,7.704658244733764e-09
1842,5.661775688281523e-07,6.037438549100216e-09
1843,7.448614951499621e-07,7.678984559333912e-09
1844,5.274507515196092e-07,2.7442805805577564e-09
1845,7.070148839716239e-07,8.928364714222425e-09
1846,6.949293265279266e-07,9.952652257894101e-09
1847,7.199953699910111e-07,2.6966118227278457e-09
1848,7.771684238377929e-07,8.04522137798358e-09
1849,9.158700464695357e-07,4.1897072478036534e-09
1850,7.05376706378047e-07,2.7155984128057753e-09
1851,6.642922016908415e-07,3.8696632564949596e-09
1852,6.158975978109993e-07,0.0
1853,5.965959957165978e-07,5.3747388761848924e-09
1854,5.964622857845825e-07,6.754363734984281e-09
1855,7.594227042773127e-07,7.429711956774554e-09
1856,7.046154451018083e-07,6.212627023938211e-09
1857,6.921980002516648e-07,2.0990488514005534e-08
1858,6.278586255348273e-07,1.3702292578354758e-08
1859,6.528166238695121e-07,1.1202780925145817e-08
1860,6.078500405237719e-07,7.323494255473406e-09
1861,5.876090938272682e-07,5.659156698811785e-09
1862,6.749871488409553e-07,5.421583626485926e-09
1863,5.943598750945966e-07,2.497310414018017e-09
1864,6.376988039846765e-07,1.4384183844029508e-09
1865,5.784711518685981e-07,1.5061901947888146e-08
1866,6.544249373519051e-07,5.352174259343201e-09
1867,8.497273142893391e-07,2.038180824115443e-08
1868,7.992715893578861e-07,1.432563490055827e-08
1869,6.109282537636318e-07,1.12320943657096e-08
1870,6.920997179804544e-07,1.7202147262196377e-08
1871,5.491148442615668e-07,2.1242354542039266e-09
1872,6.289233027700902e-07,7.861540751719076e-09
1873,7.033555249336132e-07,6.584604861359367e-09
1874,5.257656141566258e-07,1.3741600746186577e-08
1875,7.500921839209695e-07,1.7164581422868253e-09
1876,6.281809277197681e-07,3.02300739996042e-09
1877,6.630122584283527e-07,0.0
1878,5.634469744109083e-07,6.039088673581716e-10
1879,7.19067571708365e-07,3.0546627449723474e-09
1880,5.904418571844872e-07,3.8507077526617195e-09
1881,6.289201763820529e-07,1.324776466304911e-08
1882,5.923292718534867e-07,1.9966155395678697e-09
1883,5.965456040257777e-07,2.5277355764075082e-09
1884,5.670857774475735e-07,8.582206056928499e-09
1885,6.013778062197161e-07,9.023890079618013e-09
1886,5.491897709930527e-07,9.034849313138693e-09
1887,6.829255028151238e-07,4.570247291724172e-09
1888,6.004562038697259e-07,3.804368819970705e-09
1889,5.958145123940994e-07,2.5060546970934183e-09
1890,5.728533665205759e-07,1.1797895993481688e-08
1891,5.908902096507518e-07,1.0198752065093686e-08
1892,6.50671566404526e-07,4.387958663087943e-09
1893,6.546396917883612e-07,1.0469308087124318e-08
1894,6.339348743722439e-07,6.301539290376468e-09
1895,6.807053125612583e-07,6.018614495673091e-09
1896,6.887729995241898e-07,4.127920172347643e-09
1897,6.700720831531726e-07,1.7480140668268973e-09
1898,6.314724174671937e-07,1.3580051749784161e-08
1899,6.284856652882809e-07,6.633094074004475e-09
1900,7.111742661436438e-07,5.191053142894475e-10
1901,6.158790313293139e-07,2.235495566438317e-09
1902,5.033041077240341e-07,2.455141867585553e-09
1903,5.443422139705945e-07,4.860198465905796e-09
1904,6.073326659361555e-07,3.2247751136083025e-09
1905,5.692317301964067e-07,5.160758931310738e-09
1906,5.48884500517488e-07,5.658603086100555e-09
1907,5.847413007131763e-07,8.742834012309686e-09
1908,4.940857465385307e-07,6.875944480455587e-09
1909,4.730845972744646e-07,6.0510818578052294e-09
1910,5.07159882090491e-07,1.0153886620400954e-08
1911,5.623635388474213e-07,5.852411444351446e-09
1912,5.073976154790216e-07,1.0418842677495377e-08
1913,4.884053481646333e-07,6.363587878865928e-09
1914,4.38636710953233e-07,4.018046340092951e-09
1915,5.31312366547354e-07,5.890381071793627e-09
1916,5.241019493951171e-07,5.493730803607377e-09
1917,4.244006177600568e-07,2.302949086985251e-08
1918,4.502659365357431e-07,1.378365155346728e-08
1919,4.2816494527642135e-07,5.524709190130039e-09
1920,3.8466938434567055e-07,5.300562211374427e-09
1921,4.369475163912284e-07,5.300923255902035e-09
1922,4.6112096185879636e-07,1.770704471937279e-08
1923,4.426850210847988e-07,7.431163684401554e-09
1924,4.512068585427187e-07,2.1915761649893284e-08
1925,3.6843896822347233e-07,6.598906754362588e-09
1926,3.611348731169528e-07,1.0031524944054127e-08
1927,3.868780922289261e-07,1.0034302500017134e-08
1928,4.0448185956165617e-07,1.1426041002238208e-08
1929,3.8880019559428547e-07,3.342121912552898e-09
1930,4.4220169570508006e-07,8.402882833991043e-09
1931,3.9120372008483173e-07,3.4216069977333063e-09
