year,mes_DET oies_NOUN,mes_DET lois_NOUN
1800,3.144164484325529e-09,3.6472307440860163e-07
1801,2.3811825844433088e-09,5.857709197698568e-07
1802,4.475680270843441e-09,2.998705781465105e-07
1803,0.0,4.60280047631656e-07
1804,1.730295728918918e-08,5.388634831682282e-07
1805,8.528633133053631e-09,8.471775705398699e-07
1806,0.0,3.803803201307687e-07
1807,5.693910232196231e-09,3.8149197623127407e-07
1808,2.2660739951163578e-09,2.8099317406216073e-07
1809,2.259030518203531e-09,3.049691121859155e-07
1810,1.8721014072298203e-08,4.586648509885549e-07
1811,0.0,3.1087750596014985e-07
1812,2.6672082320544632e-09,3.600731046660144e-07
1813,0.0,4.860003492979104e-07
1814,0.0,5.789885824114549e-07
1815,0.0,3.560334977947832e-07
1816,0.0,3.406877642220252e-07
1817,0.0,6.243062489197371e-07
1818,4.768470951432846e-09,5.889061629460457e-07
1819,0.0,6.852395291190305e-07
1820,1.1866481131050932e-09,6.645229255752838e-07
1821,2.9584463767662328e-09,5.197004142587502e-07
1822,1.4035862250239006e-08,5.383755592447415e-07
1823,0.0,4.3582648534545854e-07
1824,0.0,5.19582675551078e-07
1825,0.0,4.6228577121887326e-07
1826,2.642395191543301e-09,2.8097469040311296e-07
1827,9.217273055917019e-10,3.2813491013250484e-07
1828,5.503380862137419e-09,4.632012176042366e-07
1829,1.714635211591542e-09,2.932026227364659e-07
1830,1.3567886369969528e-08,4.654828791306187e-07
1831,1.5591206103948707e-09,2.276316033444914e-07
1832,2.705993873419743e-09,3.598971756169078e-07
1833,0.0,2.5368146605586617e-07
1834,2.8003592777992026e-09,2.707014050695733e-07
1835,1.5882484660778573e-08,2.798342606524784e-07
1836,2.016224964762614e-09,1.9355760283445989e-07
1837,3.478945576063097e-09,2.177819795612379e-07
1838,1.8936485712828244e-09,2.5059282315886833e-07
1839,4.194885327990505e-09,1.6290136772845187e-07
1840,3.821813088222825e-09,1.9491247083003316e-07
1841,5.778493683550323e-09,1.7528097018271183e-07
