year,dernières_ADJ armes_NOUN,dernières_ADJ larmes_NOUN
1800,0.0,3.458580977167003e-08
1801,4.7623651688866175e-09,1.6668277424969347e-08
1802,2.2378401354217203e-09,4.0281122437590966e-08
1803,9.751696339321825e-09,5.851017803593095e-08
1804,2.4718509461507665e-09,6.179627121127851e-08
1805,2.842877755426798e-08,7.960057502032214e-08
1806,1.729001475325731e-08,1.4408345627714425e-08
1807,2.8469551160981155e-09,8.540865792383556e-09
1808,4.305540457494317e-08,6.798221985349073e-09
1809,4.518061036407062e-09,5.6475762733043666e-08
1810,2.3401267590372754e-09,1.4040760554223652e-08
1811,1.504245972228091e-08,8.273353557797236e-08
1812,2.1337665856435706e-08,2.9339290108509886e-08
1813,1.4378708002027452e-08,1.4378708002027452e-08
1814,6.293354282149721e-09,9.440030979135372e-09
1815,5.394447111228828e-09,4.5852800667489646e-08
1816,1.622322720606917e-08,4.8669683394564345e-08
1817,2.1796227045456362e-08,2.0239355080775567e-08
1818,2.384235386898581e-08,3.2187177367859476e-08
1819,2.5877625375869684e-08,3.2088255608186955e-08
1820,2.4919611263385377e-08,5.3399165977907614e-08
1821,4.043210211079895e-08,2.5639868894700157e-08
1822,9.023054303725075e-09,5.012807946513931e-08
1823,2.668325471688604e-08,4.0519015698237126e-08
1824,9.263223965660927e-09,4.0421340941065864e-08
1825,2.905796137042671e-08,3.610231757988913e-08
1826,2.2019960965735663e-08,5.6371099788066203e-08
1827,1.1982455028203276e-08,3.6869092667757286e-08
1828,2.8434133270138773e-08,2.935136400594729e-08
1829,1.1145129263923081e-08,4.715246859632316e-08
1830,2.0873670791843324e-08,1.5655253093882493e-08
1831,3.274153215215847e-08,3.897801548191637e-08
1832,4.7354891563600177e-08,1.7588959622116818e-08
1833,2.4325620628928846e-08,3.243415847009601e-08
1834,2.6136685704614138e-08,3.080395316601425e-08
1835,1.663879345414898e-08,3.857174846189082e-08
1836,2.9571300075303952e-08,5.376600142881216e-08
1837,8.349468672008697e-09,4.1747345913556444e-08
1838,2.3354999711955315e-08,2.4617431870765927e-08
1839,4.544459031308179e-08,2.7266752411492234e-08
1840,1.7198159341091923e-08,2.6752692505738196e-08
1841,3.723918240439161e-08,4.494383887276854e-08
1842,4.695785449371215e-08,4.092041550052272e-08
1843,1.4176587015413133e-08,3.485077471054865e-08
1844,5.708103856250091e-08,2.8540519281250454e-08
1845,3.013322924516615e-08,4.798996044996784e-08
1846,4.3323311160747835e-08,2.4588905134237393e-08
1847,1.9954928376364478e-08,1.7258315665458213e-08
1848,2.252662056889676e-08,3.861706332486392e-08
1849,5.0276489416134496e-08,2.0948537127196687e-08
1850,2.5119284430275002e-08,3.869727649430388e-08
1851,5.224045551699419e-08,1.805842941848823e-08
1852,5.4037528229855525e-08,4.166749079104193e-08
1853,3.1651239851271384e-08,4.060913738612726e-08
1854,1.0910895298366086e-08,2.3900057044556888e-08
1855,1.8043586180738203e-08,4.988520885262915e-08
1856,1.2425253714809514e-08,6.212627123858283e-08
1857,1.2203772437047178e-08,4.149282739618343e-08
1858,1.8595969208945462e-08,3.2787629944408536e-08
1859,1.5785737161877478e-08,6.772590688264302e-08
1860,2.70053845952134e-08,4.256780899991597e-08
1861,2.4994607272788016e-08,4.0085692321056854e-08
1862,3.34330998441601e-08,3.7951086273579904e-08
1863,2.4973104750802833e-08,2.5472566278494924e-08
1864,2.7809422320501653e-08,3.452204211384924e-08
1865,3.1535856370723536e-08,3.6242703060906933e-08
1866,4.379051654623822e-08,2.335494225791379e-08
1867,3.154327288257264e-08,3.6396087921275466e-08
1868,3.112120694481746e-08,3.013323279787983e-08
1869,3.076617005604021e-08,3.90681549333749e-08
1870,2.064257564882155e-08,3.4977697183080636e-08
1871,1.274541272522356e-08,2.973929724703339e-08
1872,2.116568786902917e-08,3.749350319104394e-08
1873,2.454261860407314e-08,2.3944016991350736e-08
1874,5.43689417931148e-08,1.971620977592181e-08
1875,1.716458086775674e-08,4.062284375550007e-08
1876,4.292670396921494e-08,2.2974856017654588e-08
1877,2.040989244278535e-08,3.339800647150781e-08
1878,1.0870359723469392e-08,3.3818896794102216e-08
1879,3.421222061206208e-08,1.8327975581655664e-08
1880,1.6686399817444908e-08,2.759673911612026e-08
1881,1.673401861523871e-08,2.091752193678076e-08
1882,2.9283693692150337e-08,3.8601234209068025e-08
1883,2.464542170343975e-08,2.6541224329434954e-08
1884,2.8387297845711146e-08,4.35711999813293e-08
1885,2.5782542323327107e-08,2.9649923460883798e-08
1886,2.3877817056927597e-08,1.8069698126677025e-08
1887,3.133883869077536e-08,2.2198344107327017e-08
1888,3.2337135635884806e-08,1.5851536971922542e-08
1889,1.3156786771162388e-08,2.6940088715399213e-08
1890,2.8839300725280737e-08,1.8352281472289178e-08
1891,2.4859457936621254e-08,1.784781522573553e-08
1892,2.3193495124473884e-08,2.1312942521944933e-08
1893,1.4164357686752282e-08,1.2932674486876294e-08
1894,2.835692747282792e-08,1.6384001710889606e-08
1895,2.347259631108045e-08,4.513960760732516e-08
1896,1.8280790214930676e-08,1.1794058174530164e-08
1897,1.4566784223291052e-08,1.2236098578810584e-08
1898,1.8106735777401184e-08,2.4896762207404777e-08
1899,1.3818945987509323e-08,2.3215829259015663e-08
1900,1.453494924419374e-08,2.0245106924221545e-08
1901,3.353243371861936e-08,1.4530721514915967e-08
1902,1.9150106611576234e-08,1.6203935970793282e-08
1903,1.8900770726304472e-08,2.214090244478939e-08
1904,1.666133897515465e-08,1.289910045443321e-08
1905,2.4255568220610257e-08,2.580379465655369e-08
1906,1.9033482345776065e-08,1.9033482345776065e-08
1907,1.542852956504248e-08,2.4171363355307562e-08
1908,1.2278472460991452e-08,2.8486056624643652e-08
1909,2.3104130164597336e-08,2.0903737407707013e-08
1910,2.2979847358328698e-08,1.3894791983659616e-08
1911,1.2236860413850081e-08,1.8089271303090015e-08
1912,1.0939784189645252e-08,2.8651816919023076e-08
1913,9.015082902408267e-09,2.704524781904638e-08
1914,2.9465672568562695e-08,2.343860217024485e-08
1915,2.120537156979907e-08,3.7698438148936475e-08
1916,2.4172416956957932e-08,1.7579939282086343e-08
1917,1.7546279096336548e-08,2.3029491202919417e-08
1918,1.2635013924011673e-08,1.9526840588923733e-08
1919,8.287063479883727e-09,3.314825391953491e-08
1920,1.0601124422748853e-08,2.3473917920568965e-08
1921,2.4232791773215467e-08,3.0290991048786964e-08
1922,1.4755870969551665e-09,1.9182632371439468e-08
1923,1.8047112249064412e-08,2.653987074552333e-08
1924,5.156649773851996e-09,4.3831523188764265e-08
1925,1.4297631079074336e-08,2.74954441437103e-08
1926,2.3406890647947876e-08,2.452150482668003e-08
1927,1.0034302277972529e-08,3.6792442870137165e-08
1928,6.85562484559199e-09,3.19929166492372e-08
1929,1.0026365515614089e-08,2.6736975300423182e-08
1930,1.7856125467119455e-08,1.7856125911208665e-08
1931,1.9389107208667156e-08,1.4826963656844327e-08
1932,1.8631212128639163e-08,1.3151444377967891e-08
1933,1.1470662641954732e-08,8.02946331646126e-09
1934,1.5576054224197833e-08,9.585264137967897e-09
1935,1.3165112555668657e-08,1.3165112555668657e-08
1936,6.0623572828433225e-09,2.182448710641438e-08
1937,1.3850230295986421e-08,7.554670666820584e-09
