year,caractères_NOUN égaux_ADJ,caractères_NOUN légaux_ADJ
1800,0.0,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,6.713520406265161e-09
1803,0.0,0.0
1804,1.2359254952798437e-08,7.4155526164076946e-09
1805,0.0,0.0
1806,2.305335300434308e-08,0.0
1807,0.0,1.7081731584767113e-08
1808,0.0,0.0
1809,2.25903047379461e-08,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,3.1466771410748606e-09
1815,0.0,0.0
1816,0.0,2.3176038865813098e-09
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,2.070210003424222e-09
1820,0.0,3.5599443393152796e-09
1821,0.0,2.5639868894700157e-08
1822,0.0,5.012807946513931e-09
1823,0.0,9.882686891060644e-10
1824,9.263223965660927e-09,5.894778887238772e-09
1825,0.0,8.805443485471187e-09
1826,0.0,3.5231937367541377e-09
1827,0.0,1.8434546333878643e-08
1828,0.0,3.668920500743411e-09
1829,0.0,8.57317605795771e-10
1830,5.218417697960831e-09,6.262101504006523e-09
1831,0.0,2.182768810143898e-08
1832,0.0,1.2176972319366541e-08
1833,0.0,1.50587169400751e-08
1834,8.401078055442213e-09,2.8003592333902816e-08
1835,2.2689263801112247e-09,2.2689263801112247e-08
1836,2.016224964762614e-09,5.2421849083827965e-08
1837,6.957890930081589e-10,4.5226290268374214e-08
1838,0.0,3.7241754569095065e-08
1839,0.0,8.599514700335931e-08
1840,6.369688665408546e-10,4.395085112518515e-08
1841,6.420548537278137e-10,4.8154113585496816e-08
1842,0.0,8.519496752512623e-08
1843,7.088293507706567e-09,4.0757686170511676e-08
1844,6.037417232818143e-09,2.9638230980566505e-08
1845,4.464182357111213e-09,6.026646026668914e-08
1846,5.854501328173001e-10,1.0128287430966054e-07
1847,1.6179670936367074e-09,1.181116005000149e-07
1848,0.0,8.20612626739603e-08
1849,0.0,9.468739081697208e-08
1850,6.788996032014438e-10,5.363306954109248e-08
