year,grandeurs_NOUN égales_ADJ
1800,8.489244152087849e-08
1801,1.904946067554647e-08
1802,4.4756802708434407e-08
1803,1.755305234496518e-08
1804,1.9774807569206132e-08
1805,2.842877711017877e-09
1806,0.0
1807,1.4234775846944103e-07
1808,4.5321478125970316e-08
1809,9.262025457701384e-08
1810,1.8721014072298203e-08
1811,4.512738271955641e-08
1812,4.5342538612658245e-08
1813,0.0
1814,5.97868634599763e-08
1815,2.697223555614414e-09
1816,3.7081662185300956e-08
1817,2.80237220096069e-08
1818,2.741870730460505e-08
1819,1.9666995143552413e-08
1820,1.779972080839798e-08
1821,1.8736827200882544e-08
1822,2.4061478143266868e-08
1823,1.680056804787e-08
1824,1.0947446504872005e-08
1825,7.924898959288385e-09
1826,7.927186018719112e-09
1827,1.474763688946723e-08
1828,5.503380862137419e-09
1829,9.430493719264632e-09
1830,1.2524203008013046e-08
1831,3.897801548191637e-08
1832,1.352996914505411e-08
1833,1.9692167896323554e-08
1834,7.467624740797874e-09
1835,5.294161553592858e-09
1836,6.317505096831155e-08
1837,8.349468672008697e-09
1838,1.3886756633496589e-08
1839,2.516931019158619e-08
1840,9.554533164646273e-09
1841,1.6693427085101575e-08
1842,2.3478927246856074e-08
1843,2.3627643841450663e-08
1844,4.7750482679020934e-08
1845,2.399498022498392e-08
1846,8.196302303531411e-09
1847,1.3483059113639229e-08
1848,7.24069959545659e-09
1849,1.0893239199560867e-08
1850,4.752297222410107e-09
1851,7.739326512989919e-09
1852,3.2552727180501506e-09
1853,5.971931837933653e-10
1854,8.313063126763609e-09
1855,4.2455496895854594e-09
1856,5.694908100650764e-09
1857,7.322263684272912e-09
1858,4.502182093801821e-08
1859,1.171199848215565e-08
1860,5.950338888283113e-09
1861,3.301174444914068e-08
1862,6.325180823552046e-09
1863,1.1487627737949424e-08
1864,5.4659899717535154e-08
1865,4.706844247692743e-09
1866,3.405929049904444e-08
1867,2.9602150064533816e-08
1868,1.1855697756857353e-08
1869,1.4162205630441349e-08
1870,1.427778215656872e-07
1871,1.274541272522356e-08
1872,4.23313739617015e-09
1873,1.7958013742713774e-08
1874,1.9716210886144836e-08
1875,2.0597497041308088e-08
1876,1.9951848173604958e-08
1877,7.421779191219002e-09
1878,4.3481438893877566e-08
1879,2.993569481191116e-08
1880,2.5671385017744797e-09
1881,6.2752567586699115e-09
1882,6.655385131892899e-10
1883,6.003372021723408e-08
1884,1.7164412113856997e-08
1885,9.023890079618013e-09
1886,1.936039240035825e-08
1887,1.1099172247952538e-08
1888,1.3949351895803375e-08
1889,1.4409814674820609e-08
1890,1.6385966361553983e-08
1891,3.1233678754460925e-08
1892,3.57305189879753e-08
1893,2.0938616174248637e-08
1894,2.835692747282792e-08
1895,3.189865793729041e-08
1896,9.376275755812458e-08
1897,6.817254671886985e-08
1898,2.6028432742464247e-08
1899,9.39688327150634e-09
1900,3.945200433008722e-08
1901,1.676621685930968e-08
1902,1.8659077838378835e-08
1903,4.75219366080637e-08
1904,2.579820090886642e-08
1905,4.69629064525634e-08
1906,4.423998589686562e-08
1907,1.3885677496716653e-08
1908,4.518478036175111e-08
1909,2.3654228797909127e-08
