year,observations_NOUN égales_ADJ,observations_NOUN légales_ADJ
1800,0.0,0.0
1801,0.0,1.6668277424969347e-08
1802,0.0,1.1189200677108602e-08
1803,0.0,1.950339223455444e-09
1804,0.0,1.730295684509997e-08
1805,0.0,1.1371510844071508e-08
1806,0.0,8.645007376628655e-09
1807,0.0,1.4234775136401367e-08
1808,0.0,2.945896149242344e-08
1809,0.0,4.518061036407062e-09
1810,0.0,2.106114038724627e-08
1811,0.0,1.7549536490690798e-08
1812,0.0,0.0
1813,0.0,8.627224934443234e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,2.3176038865813098e-08
1817,0.0,2.6466848268569265e-08
1818,0.0,9.536941902865692e-09
1819,0.0,1.035105001712111e-09
1820,0.0,5.933240565525466e-09
1821,0.0,1.3806083387635226e-08
1822,1.1028177482330648e-08,1.7043547018147365e-08
1823,0.0,3.261286707356703e-08
1824,0.0,5.894778887238772e-09
1825,0.0,1.1447076175841175e-08
1826,0.0,1.7615968683770689e-09
1827,0.0,2.7651818612639545e-09
1828,0.0,1.0089530988466322e-08
1829,0.0,5.143905745796928e-09
1830,0.0,4.174734336004349e-09
1831,0.0,9.35472388441383e-09
1832,0.0,4.058990921151917e-09
1833,0.0,8.108539617524002e-09
1834,0.0,1.4001796166951408e-08
1835,0.0,2.0420337421001022e-08
1836,0.0,1.1425274948351216e-08
1837,0.0,7.653680356156656e-09
1838,0.0,1.51491887923072e-08
1839,0.0,9.788065580274008e-09
1840,0.0,8.280594876453051e-09
1841,0.0,1.1556987367100646e-08
1842,0.0,5.366612043644636e-09
1843,0.0,7.678984559333912e-09
1844,0.0,8.232841963717874e-09
1845,0.0,2.9017185987356697e-08
1846,0.0,8.781752214304106e-09
1847,0.0,5.9325460100012606e-09
1848,0.0,4.02261068899179e-09
1849,0.0,2.513824481908955e-09
1850,0.0,1.4935791270431764e-08
1851,0.0,6.449438760824933e-09
1852,1.3021090872200602e-09,6.510545436100301e-09
1853,0.0,1.5527023222716707e-08
1854,0.0,8.832629738719788e-09
1855,0.0,6.8990182455763716e-09
1856,0.0,3.6240324075009767e-09
1857,0.0,3.905207268672939e-09
1858,0.0,1.0766087576996597e-08
1859,0.0,7.638259802433822e-09
1860,0.0,1.2816115280145368e-08
1861,0.0,8.017138064531082e-09
1862,0.0,6.325180823552046e-09
1863,0.0,1.4983863039219614e-09
1864,4.794727948009836e-10,6.233146443435089e-09
1865,0.0,6.118897832863013e-09
1866,0.0,1.4110277390955162e-08
1867,1.455843445796745e-09,5.82337378318698e-09
1868,0.0,0.0
1869,0.0,8.30198221279943e-09
1870,0.0,3.4404292748035914e-09
1871,0.0,1.0621177271019633e-09
1872,0.0,1.2094678591978436e-09
1873,0.0,4.788803575905831e-09
1874,0.0,1.1949218281515073e-09
1875,0.0,5.721527251978387e-09
1876,0.0,8.464420275799966e-09
1877,0.0,4.329371083855449e-09
1878,6.039088673581716e-10,3.019544336790858e-09
1879,0.0,4.276527687530063e-09
1880,0.0,1.9253538763308597e-09
1881,0.0,6.2752567586699115e-09
1882,0.0,7.986462158271479e-09
1883,1.8958017378167824e-09,0.0
1884,0.0,2.6406787867472303e-09
1885,0.0,1.933690763067375e-09
1886,6.453463874400711e-10,6.453463874400711e-10
1887,6.528924623161458e-10,0.0
1888,6.340614699951175e-10,1.9021844099853524e-09
1889,0.0,6.265136742733546e-10
1890,0.0,1.9663159989136147e-09
1891,0.0,2.5496880162734215e-09
1892,0.0,1.2537024751679837e-09
1893,0.0,6.158416554491453e-10
1894,0.0,6.301539290376468e-10
1895,0.0,1.2037228991346183e-09
1896,2.358811590497112e-09,0.0
1897,0.0,0.0
1898,0.0,0.0
1899,0.0,1.6582735185011188e-09
1900,0.0,0.0
1901,0.0,0.0
1902,0.0,4.910283846193408e-10
1903,0.0,0.0
1904,0.0,0.0
1905,0.0,0.0
1906,0.0,1.5432553013283723e-09
1907,0.0,0.0
1908,0.0,4.911389073214423e-10
1909,0.0,2.7504918342913243e-09
1910,0.0,0.0
1911,0.0,3.1922244847493175e-09
1912,0.0,1.5628263128064646e-09
1913,0.0,2.6514948014977335e-09
1914,0.0,4.018046340092951e-09
1915,0.0,0.0
1916,1.0987462051303964e-09,1.0987462051303964e-09
1917,0.0,0.0
1918,0.0,0.0
1919,0.0,0.0
1920,0.0,0.0
1921,2.2718242842501013e-09,0.0
1922,0.0,0.0
1923,0.0,1.0615948120573648e-09
1924,0.0,0.0
1925,0.0,0.0
1926,0.0,1.1146138456652466e-09
1927,0.0,0.0
1928,0.0,1.1426041224282812e-09
1929,0.0,0.0
1930,0.0,1.0503603542488804e-09
1931,0.0,0.0
1932,0.0,0.0
1933,0.0,2.2941324395731044e-09
1934,0.0,2.3963160344919743e-09
1935,0.0,1.196828414151696e-09
1936,0.0,0.0
1937,0.0,0.0
1938,0.0,0.0
1939,0.0,3.058810094103137e-09
