year,moins_ADV égales_ADJ,moins_ADV egales_ADJ,moins_ADV légales_ADJ
1800,1.980823611802407e-07,0.0,0.0
1801,1.04772034603684e-07,0.0,4.7623651688866175e-09
1802,9.398928568771225e-08,0.0,0.0
1803,1.3457341196954076e-07,0.0,0.0
1804,6.921182915675672e-08,0.0,0.0
1805,1.904728037516179e-07,0.0,0.0
1806,1.3255677799861587e-07,0.0,0.0
1807,1.679703558465917e-07,2.8469551160981155e-09,0.0
1808,9.744118045773575e-08,0.0,0.0
1809,7.00299480627109e-08,0.0,0.0
1810,7.488405628919281e-08,0.0,0.0
1811,5.0141537144554604e-08,0.0,0.0
1812,5.601137331723294e-08,0.0,0.0
1813,4.3136125782439194e-08,0.0,0.0
1814,8.810695817373926e-08,0.0,3.1466771410748606e-09
1815,1.8071398244501324e-07,2.697223555614414e-09,1.0788894222457657e-08
1816,1.668674798338543e-07,0.0,0.0
1817,1.6035795624702587e-07,0.0,1.556873407970727e-09
1818,8.702459552978326e-08,1.1921177378582115e-09,0.0
1819,7.659777168100845e-08,0.0,1.3456364911235141e-08
1820,6.882559233645225e-08,0.0,1.1866481131050932e-09
1821,4.437669787193954e-08,0.0,2.9584463767662328e-09
1822,8.622029668003961e-08,0.0,1.0025615893027862e-09
1823,8.696764552951208e-08,9.882686891060644e-10,0.0
1824,1.0863235644364977e-07,0.0,0.0
1825,1.0566531472022689e-07,0.0,1.1447076175841175e-08
1826,7.927185663447744e-08,0.0,1.5854372037438225e-08
1827,8.940754980812926e-08,9.217273055917019e-10,8.295545583791863e-09
1828,7.796455747666187e-08,0.0,1.559291185060374e-08
1829,7.715858174606183e-08,0.0,5.143905745796928e-09
1830,1.2002361415852647e-07,0.0,5.218417697960831e-09
1831,8.731075240575592e-08,0.0,1.7150327380477393e-08
1832,6.494385473843067e-08,0.0,2.705993873419743e-09
1833,7.761030929032131e-08,0.0,1.50587169400751e-08
1834,9.894602470694736e-08,9.334530925997342e-10,1.0267983796552471e-08
1835,1.285724948729694e-07,0.0,7.563087933704082e-10
1836,9.476257645246733e-08,0.0,2.016224964762614e-09
1837,7.653680000885288e-08,0.0,2.0177884252348122e-08
1838,1.0541310047074148e-07,0.0,3.787297142565649e-09
1839,9.927894950578775e-08,0.0,9.088918062616358e-09
1840,9.554533164646273e-08,0.0,6.3696887764308485e-09
1841,1.0208672307499e-07,0.0,1.2841097074556274e-09
1842,8.45241387992246e-08,0.0,5.366612043644636e-09
1843,1.1459407289748924e-07,0.0,1.2404512972352677e-08
1844,1.2788348158210283e-07,0.0,1.5367971784030487e-08
1845,1.2499710067004344e-07,5.580227946389016e-10,1.0044410636567136e-08
1846,7.493761700061441e-08,1.7563503984519002e-09,2.9272506640865004e-09
1847,1.3698787881821772e-07,0.0,3.235934187273415e-09
1848,1.3757329497821047e-07,0.0,5.63165514222419e-09
1849,8.211826951765033e-08,0.0,0.0
1850,1.2559642925680237e-07,0.0,1.4935791270431764e-08
