year,capacités_NOUN égales_ADJ,capacités_NOUN légales_ADJ
1800,0.0,0.0
1801,2.3811825844433088e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,3.213406074564773e-08,0.0
1805,5.685755510853596e-08,0.0
1806,0.0,0.0
1807,1.4234775136401367e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,9.036122072814123e-09,0.0
1810,0.0,4.680253518074551e-09
1811,5.0141535368197765e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,9.440030979135372e-09,0.0
1815,5.394447111228828e-09,2.1577788444915313e-08
1816,2.456660013194778e-07,0.0
1817,7.628679554727569e-08,0.0
1818,3.5763532135746345e-09,0.0
1819,4.140420006848444e-09,0.0
1820,1.1866481131050932e-09,0.0
1821,1.7750679148775816e-08,0.0
1822,3.0076847679083585e-09,6.015369535816717e-09
1823,1.3835761869529506e-08,0.0
1824,6.231623217445303e-08,0.0
1825,1.584979791857677e-08,0.0
1826,1.6735169694470642e-08,8.807984341885344e-10
1827,2.6730091917670507e-08,8.295545583791863e-09
1828,5.503380862137419e-09,2.7516904310687096e-09
1829,3.5150023336427694e-08,6.001223074036943e-09
1830,1.1480519646056564e-08,5.218417697960831e-09
1831,3.1182412207897414e-09,1.02901957177437e-07
1832,2.976593194148336e-08,2.976593194148336e-08
1833,0.0,0.0
1834,0.0,1.3068342852307069e-08
1835,1.5882484660778573e-08,3.025235173481633e-09
1836,1.2769425516978572e-08,6.720750067579218e-10
1837,1.8090515752078318e-08,0.0
1838,4.418513555037862e-09,0.0
1839,1.3283802502428443e-08,3.4957374772659477e-09
1840,2.165694112932215e-08,6.369688665408546e-10
1841,5.1364388298225094e-09,1.926164561183441e-09
1842,2.683306021822318e-09,3.3541325272778977e-09
1843,4.7255288571079745e-09,5.906911071384968e-10
1844,1.0428266250528395e-08,0.0
1845,1.1160455670733427e-08,1.674068439427856e-09
1846,2.8101606375230404e-08,5.854501328173001e-10
1847,3.613459753637471e-08,3.235934187273415e-09
1848,8.045221711050488e-10,3.218088684420195e-09
1849,1.256912263158938e-08,6.703531951757213e-09
1850,3.190828223864628e-08,4.073397619208663e-09
1851,1.9993260380601896e-08,0.0
1852,5.729280161403949e-08,0.0
1853,4.299791100947914e-08,1.1943863675867306e-09
1854,2.961528799971802e-08,5.195664343204953e-09
1855,1.2205955357558196e-08,1.0613874223963649e-09
1856,5.7984518520015627e-08,0.0
1857,1.4644527368545823e-08,5.369659827891837e-09
1858,2.1532175153993194e-08,5.3830437884982985e-09
1859,4.53203412575931e-08,1.018434669930457e-09
1860,8.696649622663699e-09,9.154367819341758e-10
1861,1.5091083938045813e-08,1.4147891747029462e-09
1862,1.536115412648087e-08,1.8071945051545413e-09
1863,6.493007020935693e-09,9.989241656072068e-10
1864,1.4863656971897399e-08,6.712618905169165e-09
1865,7.0602665935837194e-09,1.882737743486018e-09
1866,5.352174259343201e-09,5.352174259343201e-09
1867,7.76449837758264e-09,2.91168689159349e-09
1868,3.457912001181285e-08,4.93987406535723e-10
1869,7.813630631403612e-09,1.4650557433881772e-09
1870,1.8922360567330543e-08,1.7202146374017957e-09
1871,2.1242354542039266e-09,5.3105884134652115e-09
1872,6.047339518033823e-09,9.071008832961525e-09
1873,8.380406590902112e-09,1.1972008939764578e-09
1874,1.4936523129449597e-08,8.961913877669758e-09
1875,1.6592428764283795e-08,8.58229043387837e-09
1876,7.859819461941697e-09,5.441413541973361e-09
1877,8.040260901509555e-09,1.2369631985365004e-09
1878,7.850815109122777e-09,3.6234530931267273e-09
1879,2.3826368433788048e-08,2.443730107160036e-09
1880,3.2089231272180996e-09,1.2835692508872398e-09
1881,9.761510710859511e-09,1.5339516323820135e-08
1882,1.3310770263785798e-08,3.3276926103553706e-08
1883,1.4534479397809719e-08,2.1485751844352308e-08
1884,5.941527270181268e-09,4.621187876807653e-09
1885,9.023890079618013e-09,7.7347630522695e-09
1886,1.097088819790315e-08,6.4534639854230136e-09
1887,8.48760173255414e-09,5.223139698529167e-09
1888,8.242799331981132e-09,1.0779045211961602e-08
1889,1.7542383545787743e-08,2.5060546970934183e-09
1890,1.1142456735058204e-08,0.0
1891,7.0116419337296065e-09,0.0
1892,2.5074049503359674e-08,4.387958441043338e-09
1893,4.926733243593162e-09,6.15841644346915e-09
1894,1.5753848003896564e-08,6.301539290376468e-10
1895,5.416753268150387e-09,1.8055843487019274e-09
1896,9.435246361988447e-09,0.0
1897,5.826713334045053e-09,0.0
1898,1.1316709347397591e-08,1.6975064687230201e-09
1899,1.5477219506010442e-08,1.6582735185011188e-09
1900,1.1939421895590385e-08,1.038210628578895e-09
1901,1.1736351446245408e-08,4.470991132876634e-09
1902,1.3257766440233354e-08,1.4730852093691738e-09
1903,1.0800440541913758e-09,2.7001101354784396e-09
1904,6.449550227216605e-09,5.374625189347171e-09
1905,1.2385822145688508e-08,3.6125313851442797e-09
1906,2.572092316910357e-09,3.0865106026567446e-09
1907,6.685696440911215e-09,3.0857059130084963e-09
1908,5.893666887857307e-09,1.080505640516094e-08
1909,7.701377313651392e-09,5.500983557560346e-10
1910,6.412980813053082e-09,1.068830135508847e-09
1911,9.576673676292558e-09,1.0640748282497725e-09
1912,3.125652625612929e-09,2.6047106693738442e-09
1913,2.7575547179026216e-08,5.30298971401777e-10
1914,9.37544086809794e-09,0.0
1915,5.890381071793627e-09,1.1780761921542648e-09
1916,4.394984820521586e-09,4.394984820521586e-09
1917,5.483212106582869e-09,4.386569774084137e-09
1918,4.594550517822427e-09,2.2972752589112133e-09
1919,2.5781975665495338e-08,8.287063479883727e-09
1920,5.300562211374427e-09,7.572231730534895e-09
1921,5.300923255902035e-09,0.0
1922,7.377935595798135e-09,7.377935484775833e-10
1923,2.1231896241147297e-09,0.0
1924,3.867487219366694e-09,1.289162443462999e-09
1925,3.299453377181294e-09,0.0
1926,2.229227691330493e-09,0.0
1927,1.0034302277972529e-08,1.1149224876660924e-09
1928,5.713020723163709e-09,1.1426041224282812e-09
1929,5.570202965543558e-09,3.342121912552898e-09
1930,8.402882833991043e-09,2.100720708497761e-09
1931,6.843213995466613e-09,6.843213995466613e-09
1932,6.575722188983946e-09,0.0
1933,1.0323596200123575e-08,1.1470662197865522e-09
1934,0.0,0.0
1935,1.196828414151696e-08,0.0
1936,4.849885826274658e-09,1.2124714565686645e-09
1937,1.0072894518486919e-08,1.2591118148108649e-09
1938,5.186085783037697e-09,1.2965214457594243e-09
1939,1.3764645423464117e-08,1.5294050470515685e-09
1940,2.028626333583361e-08,5.0715658339584024e-09
1941,2.9515025978810172e-09,0.0
1942,0.0,0.0
1943,5.806470415592457e-09,0.0
1944,9.639558484764166e-09,0.0
1945,4.357008087652048e-09,0.0
1946,6.960552134671616e-09,1.3921104269343232e-09
1947,2.3841741914054637e-09,0.0
1948,5.435944139264848e-09,1.0871887834440486e-09
1949,1.0798709482173763e-08,0.0
1950,3.190608444114673e-09,0.0
1951,3.1984206394497505e-09,2.1322803522849654e-09
1952,1.5817205323287453e-08,0.0
1953,5.386913581872932e-09,6.464296653518886e-09
1954,1.07497895029951e-08,0.0
1955,6.569925492527773e-09,0.0
1956,1.0465369904011368e-08,0.0
1957,5.301022731885041e-09,8.835037701437898e-10
1958,1.0753916868111446e-08,8.272243445794913e-10
1959,1.007597205671118e-08,2.325224457422337e-09
1960,1.3841666479663672e-08,6.920833350854139e-10
1961,9.72742331128984e-09,0.0
1962,1.0147130247162295e-08,0.0
1963,9.052474325699222e-09,6.466053248388448e-10
1964,1.2167936880302932e-08,6.083968329129164e-10
1965,1.2585699593614663e-08,1.6416130677043839e-09
1966,7.754704434148607e-09,3.3234448526542337e-09
1967,1.035370456037299e-08,2.465167847631733e-09
1968,9.431973424511852e-09,0.0
1969,2.2708788183223305e-09,4.5417578031781147e-10
1970,1.241655755990223e-08,0.0
1971,7.193756701440179e-09,0.0
1972,3.5911027485013847e-09,3.5911027485013847e-09
