year,preuves_NOUN égales_ADJ,preuves_NOUN légales_ADJ
1800,0.0,9.746909768182377e-08
1801,0.0,7.857902772911984e-08
1802,2.2378401354217203e-09,1.3427040812530322e-07
1803,0.0,8.386458461018265e-08
1804,0.0,1.3842365831351344e-07
1805,2.842877711017877e-09,1.1371511021707192e-07
1806,0.0,1.0085842205853623e-07
1807,0.0,1.822051274302794e-07
1808,6.798221985349073e-09,8.837688625362716e-08
1809,9.036122072814123e-09,1.0617443280125372e-07
1810,0.0,1.1232608443378922e-07
1811,0.0,9.777599530025327e-08
1812,0.0,1.4669645054254943e-07
1813,0.0,1.0352670187785407e-07
1814,1.2586708564299443e-08,4.72001566720337e-08
1815,1.4565007688815967e-07,9.979726911524267e-08
1816,4.1716869958463576e-08,6.721051448721482e-08
1817,2.0239355080775567e-08,1.370048607896024e-07
1818,3.5763532135746345e-09,1.4424624339426373e-07
1819,2.2772310259711048e-08,2.618815528876439e-07
1820,1.1866481131050932e-09,1.4358441546846734e-07
1821,5.9168927535324656e-09,1.4299158124231326e-07
1822,2.4061478143266868e-08,1.4035862250239006e-07
1823,1.087095569118901e-08,1.3341627891350072e-07
1824,5.052667617633233e-09,1.2210612965191103e-07
1825,5.283265824829186e-09,1.47050897680856e-07
1826,6.1655889282974385e-09,1.3388135755576513e-07
1827,5.530363722527909e-09,2.9218756480986485e-07
1828,2.7516904310687096e-09,1.6785311629519128e-07
1829,2.0575622983187714e-08,1.7746474156865588e-07
1830,4.174734336004349e-09,2.0038724812820874e-07
1831,6.236482441579483e-09,2.7128697865919094e-07
1832,0.0,2.1377351799856115e-07
1833,1.1583628500844156e-09,1.7722950929055514e-07
1834,9.334530925997342e-10,1.736222685622124e-07
1835,1.5126175867408165e-09,1.2100940693926532e-07
1836,1.1425274948351216e-08,1.4584027496766794e-07
1837,1.1132625488130543e-08,1.0784730619661786e-07
1838,1.2624323808552163e-08,1.1298769919676488e-07
1839,6.292327547896548e-09,1.510158682549445e-07
1840,9.554533164646273e-09,1.6752281339904584e-07
1841,1.4125206782011901e-08,2.1187810261835693e-07
1842,6.708265054555795e-09,1.838064633830072e-07
1843,1.7130041385371442e-08,1.7957009390556777e-07
1844,7.1351298203126134e-09,1.103200801821913e-07
1845,3.9061593959388574e-09,2.1930296156824625e-07
1846,3.5127007969038004e-09,1.0245377524142896e-07
1847,4.853901280910122e-09,2.6264999064551375e-07
1848,4.82713291560799e-09,2.1963455765217077e-07
1849,7.54147322368226e-09,1.3071887394744408e-07
1850,3.394498016007219e-09,1.222019250235462e-07
1851,8.384270167027807e-09,1.6446068684672355e-07
1852,1.4323200403509873e-08,1.946653043205515e-07
1853,7.166318205520383e-09,1.2182741215838178e-07
1854,2.0782657816909023e-09,1.1690244861028987e-07
1855,2.1227748447927297e-09,8.597238121410555e-08
1856,5.177189232874468e-10,1.0354378332522174e-07
1857,2.9289055625270066e-09,1.1032210522898822e-07
1858,9.787352261980686e-09,1.2478874111820915e-07
1859,3.055304009791371e-09,1.1457390058922101e-07
1860,1.373155145145688e-09,9.886717577956006e-08
1861,1.8863854478468056e-08,2.3061062393026077e-07
1862,1.445755604123633e-08,1.676172871611925e-07
1863,9.989241434027463e-09,1.3185798763970524e-07
1864,1.4384183844029508e-09,6.568777166648943e-08
1865,7.530950973944073e-09,1.2755548084442125e-07
1866,2.432806400776144e-09,1.3526404529784486e-07
1867,1.94112459439566e-09,1.0287960350296999e-07
1868,4.44588676984381e-09,1.3930444708876166e-07
1869,2.441759683335931e-09,9.718203131114933e-08
1870,1.7202146374017957e-09,1.7890232584250043e-07
1871,2.1242354542039266e-09,1.1152236112366154e-07
1872,3.628403577593531e-09,1.300177956409243e-07
1873,4.788803575905831e-09,1.292977032107956e-07
1874,1.7923826867161097e-09,1.7147128517081e-07
1875,1.2015206607429718e-08,7.037478155780263e-08
1876,6.04601479992084e-10,6.831997012568536e-08
1877,3.0924081073635534e-09,6.308512467967375e-08
1878,0.0,1.038723240753825e-07
1879,6.10932526790009e-10,8.369775628125353e-08
1880,7.059631101924424e-09,1.5210295600809332e-07
1881,2.091752326904839e-09,7.530308465675262e-08
1882,9.317538740560849e-09,1.8701632598094875e-07
1883,1.2638677882037541e-09,1.301783782992061e-07
1884,6.601696966868076e-10,1.0034579389639475e-07
1885,1.933690763067375e-09,3.358176172696403e-07
1886,5.162771099520569e-09,8.970314979706018e-08
1887,3.264462256069578e-09,9.009915657998135e-08
1888,1.9021844099853524e-09,9.574328174721813e-08
1889,0.0,6.828999232766364e-08
1890,4.5880703680722945e-09,9.110597432027134e-08
1891,4.461953917456185e-09,8.159001652074949e-08
1892,6.268512375839919e-10,5.829716442917743e-08
1893,0.0,1.447227901962833e-07
1894,2.520615716150587e-09,7.372801036353849e-08
1895,1.2037228991346183e-09,9.930713673611535e-08
1896,1.179405795248556e-09,8.432751741338507e-08
1897,2.330685422435863e-09,4.5448366847722355e-08
1898,1.13167097914868e-09,1.4202470310920035e-07
1899,2.7637891975018647e-09,7.351679442990644e-08
1900,0.0,6.384995288044593e-08
1901,0.0,8.494883019238841e-08
1902,0.0,7.365425602756659e-08
1903,0.0,9.180374149764248e-08
1904,1.6123875568041512e-09,5.105894018697654e-08
1905,3.6125313851442797e-09,8.566860287828604e-08
1906,0.0,4.1153477070565714e-08
1907,0.0,1.4657103974968777e-07
1908,0.0,5.8445529305117816e-08
1909,1.1001967115120692e-09,1.0671907801906855e-07
1910,3.740905363258662e-09,5.878565900729882e-08
1911,0.0,4.735132819178034e-08
1912,0.0,4.7926675961207366e-08
1913,1.060597942803554e-09,2.5454351515463713e-08
1914,0.0,5.1564928327252346e-08
1915,1.1780761921542648e-09,1.8849219074468238e-08
1916,8.789969641043172e-09,3.29623865980011e-08
1917,3.289927441585405e-09,2.4126133979507358e-08
1918,8.040463406189247e-09,2.412139110674616e-08
1919,0.0,1.1970202606903513e-08
1920,2.2716695191604686e-09,6.96645301445642e-08
1921,3.7863738810983705e-09,5.755288157160976e-08
1922,1.4755870969551665e-09,3.541408943874558e-08
1923,2.1231896241147297e-09,5.095655097875351e-08
1924,1.289162443462999e-09,3.351822286390416e-08
1925,4.399271169575059e-09,5.0591619782380803e-08
1926,1.1146138456652466e-09,6.13037585139864e-08
1927,1.1149224876660924e-09,4.5711821883287485e-08
1928,0.0,4.34189573184085e-08
1929,4.4561625500705304e-09,4.4561623724348465e-08
1930,0.0,4.096405348263943e-08
1931,1.1405356659111021e-09,2.3951248095954725e-08
1932,3.287861094491973e-09,1.6439305028370654e-08
1933,0.0,2.523545639121494e-08
1934,7.188948103475923e-09,9.585264137967897e-09
1935,5.98414207075848e-09,2.6330225111337313e-08
1936,0.0,2.424942913137329e-08
1937,0.0,1.7627565185307503e-08
1938,0.0,3.241303758727554e-08
1939,0.0,4.5882153187903896e-08
1940,0.0,3.0429394115571995e-08
1941,0.0,1.4757512545315876e-08
1942,0.0,1.517105907566929e-08
1943,0.0,2.322588166236983e-08
1944,0.0,9.639558484764166e-09
1945,6.535512131478072e-09,1.9606536838523425e-08
1946,0.0,4.037120149291695e-08
1947,1.1920870957027319e-09,2.622591566137089e-08
1948,0.0,1.4133454406817236e-08
1949,1.9634016634739737e-09,3.8286334103077024e-08
1950,1.0635361480382244e-09,6.062155932795577e-08
1951,0.0,4.904244832459881e-08
1952,1.0544803918932644e-09,4.007025466989944e-08
1953,0.0,4.0940545176226806e-08
1954,1.9545072227344917e-09,3.224936762080688e-08
1955,0.0,1.9709776921672528e-08
1956,0.0,5.232685040823526e-08
1957,8.835037701437898e-10,3.3573144264664734e-08
1958,0.0,2.7298403537656668e-08
1959,0.0,4.650448559573306e-08
1960,2.076250060767393e-09,2.5607082676515347e-08
1961,0.0,4.029932298976746e-08
1962,0.0,2.3465238641051656e-08
1963,3.879631726988464e-09,1.1962198698256543e-07
1964,3.041984220075733e-09,5.536411151751963e-08
1965,0.0,1.1874334404637921e-07
1966,0.0,1.7725039214155913e-08
1967,2.465167847631733e-09,2.9088980113556318e-08
1968,8.982831700699023e-10,2.245707975134792e-08
1969,3.1792304344691047e-09,9.628526242977387e-08
1970,9.197450023812337e-10,3.0351586133292585e-08
1971,1.0276794970565106e-09,1.0276794526475896e-08
1972,5.130146862875051e-10,2.975485102751918e-08
1973,0.0,1.3231689521830958e-08
1974,0.0,2.1377172032543967e-08
1975,1.7134440533084216e-09,1.9419033492340532e-08
1976,5.713526873840635e-10,3.199575004941835e-08
1977,1.1753563677885381e-09,1.8218024422367307e-08
1978,0.0,5.762373689321976e-08
1979,0.0,4.6230589134665934e-08
1980,0.0,1.591842213599648e-08
1981,0.0,2.909752794266751e-08
1982,0.0,2.110550845202397e-08
1983,0.0,2.5261265079734585e-08
1984,0.0,2.0876431250371752e-08
1985,0.0,6.436646771135202e-08
1986,5.994485463567401e-10,2.577628777089558e-08
1987,1.2221633705067347e-09,2.627651163322753e-08
1988,0.0,4.3774843305754985e-08
1989,5.488122178931576e-10,3.7319232149002346e-08
1990,0.0,6.265948826467138e-08
1991,0.0,5.3925479193139836e-08
1992,0.0,4.022259147973273e-08
1993,0.0,3.932837344677864e-08
1994,0.0,4.008944287647864e-08
1995,0.0,4.9886548225686056e-08
1996,0.0,4.110330920070737e-08
1997,9.58978896292706e-10,2.4453962410575514e-08
1998,9.536258449571733e-10,2.5747898035888284e-08
1999,0.0,9.140402568164063e-08
