year,les_DET yeux_NOUN,les_DET lieux_NOUN
1800,0.0001025060491883778,4.2348753026999475e-05
1801,9.941199050444993e-05,3.675831476357416e-05
1802,0.00010179487208006321,4.677309709677502e-05
1803,0.00010422807645227294,5.930981421897741e-05
1804,9.626870951251476e-05,4.229089654472773e-05
1805,9.488104592492164e-05,5.8773654131982767e-05
1806,8.220249617352238e-05,4.746109198094928e-05
1807,7.849054895814334e-05,4.909858648716181e-05
1808,9.373841407978034e-05,4.600810206056849e-05
1809,8.105401502689347e-05,4.871825240115868e-05
1810,0.00010389929093435057,3.884142381593847e-05
1811,8.05924919404788e-05,4.622297603873449e-05
1812,7.7773121915925e-05,3.838112814946726e-05
1813,8.904159142275603e-05,3.991529291624829e-05
1814,8.399110367918183e-05,3.379845759354794e-05
1815,8.04446948450277e-05,4.506251377733861e-05
1816,9.330209718427795e-05,4.231481057104247e-05
1817,9.829787632043008e-05,4.593866435698146e-05
1818,9.738409494275402e-05,4.152622938136119e-05
1819,9.329504973720759e-05,3.8266796934749436e-05
1820,9.070263513422105e-05,3.583677442975386e-05
1821,9.514265093457652e-05,3.592737510871302e-05
1822,8.882996121428732e-05,3.75258791223132e-05
1823,8.762978677623323e-05,3.969974284245836e-05
1824,8.590376751271833e-05,3.8119851808460226e-05
1825,9.316863247477158e-05,4.089600037104901e-05
1826,8.825072131912748e-05,3.991426092397887e-05
1827,7.953215936140623e-05,4.215150988784444e-05
1828,8.569039050598803e-05,3.9173980326268065e-05
1829,9.187444129565847e-05,3.977353458139987e-05
1830,9.189216780214338e-05,3.840859835690935e-05
1831,8.978508049040101e-05,3.898737014651488e-05
1832,9.637397261030856e-05,3.524286324818604e-05
1833,8.695482347320649e-05,3.851904079965607e-05
1834,9.190312744067342e-05,3.834998767615616e-05
1835,9.674777379586885e-05,3.8245023063154804e-05
1836,9.116495948546799e-05,3.702864489696367e-05
1837,8.948613253778603e-05,3.52180610434516e-05
1838,8.266533609457838e-05,3.570348235371057e-05
1839,8.271194860753894e-05,3.486298930965859e-05
1840,8.449455845038756e-05,3.4692510439526814e-05
1841,8.343117337972217e-05,3.3549290890277916e-05
1842,8.688075115514948e-05,3.210508492657027e-05
1843,8.813111287508946e-05,3.1717159060917766e-05
1844,8.758700801081432e-05,3.307681282649355e-05
1845,8.663304015499307e-05,3.299421456404161e-05
1846,8.527022941962059e-05,3.471953596090316e-05
1847,7.724228885308548e-05,3.4667641727992304e-05
1848,7.969114017214451e-05,3.2264555784422555e-05
1849,7.812966305209557e-05,3.3371857171005104e-05
1850,8.02079159711866e-05,3.177182310309945e-05
1851,7.457421190792957e-05,3.220075694798652e-05
1852,8.274968490695755e-05,3.516020029792344e-05
1853,8.693998051967355e-05,3.2805017099235556e-05
1854,8.869934436006588e-05,3.175174560965388e-05
1855,9.147036689682864e-05,3.0261747610893508e-05
1856,8.653102509015298e-05,3.096839316185651e-05
1857,8.628359955764608e-05,3.0775961761264625e-05
1858,8.937809866438329e-05,2.835004423218379e-05
1859,9.016609351419902e-05,2.741371508818702e-05
1860,9.550981121719815e-05,2.6690016284192097e-05
1861,9.041587486535718e-05,2.655181953059582e-05
1862,9.06741740891448e-05,2.8047207536019414e-05
1863,9.127769158112642e-05,2.7167241114511853e-05
1864,8.981436417343502e-05,2.6683140447403275e-05
1865,9.051920460478868e-05,2.5461675022597774e-05
1866,8.949954576564778e-05,2.4843333761737085e-05
1867,9.007594735521707e-05,2.4884246727197024e-05
1868,8.650509971630527e-05,2.4816445204578486e-05
1869,9.100828674490913e-05,2.3116137555234673e-05
