year,plusieurs_DET eaux_NOUN,plusieurs_DET lots_NOUN
1800,4.4647134433972724e-07,4.4018303668735825e-08
1801,4.905236004049129e-07,9.28661236798689e-08
1802,2.6854081625060644e-07,8.727576528144709e-08
1803,7.489302760177452e-07,1.0921899473714802e-07
1804,2.7190359297435407e-07,6.179627121127851e-08
1805,3.3261667908845993e-07,7.960057502032214e-08
1806,1.7578181132904547e-07,2.881669125542885e-08
1807,3.1031811431603273e-07,8.825560593450632e-08
1808,3.0818605356586204e-07,3.3991110370834576e-08
1809,3.930713194932878e-07,9.487928309681593e-08
1810,1.825298880930859e-07,6.786367379163494e-08
1811,3.058633719632553e-07,3.259199843341776e-08
1812,1.787029546562735e-07,5.3344166417446104e-08
1813,2.013019202440347e-07,4.026038169513413e-08
1814,2.0138733702879108e-07,8.181360300341112e-08
1815,2.7781403844073793e-07,1.1058616378178954e-07
1816,2.549364239712304e-07,5.3304887615013286e-08
1817,2.5999784725172503e-07,3.425121486433369e-08
1818,2.718028302428621e-07,1.01330008828171e-07
1819,2.4739009951701973e-07,3.1053151161586356e-08
1820,1.8630375020478596e-07,1.898636980968149e-08
1821,1.3806084253609185e-07,3.3529059417780616e-08
1822,1.3233812978796777e-07,3.0076847679083585e-08
1823,1.8777105204037525e-07,6.028439258898288e-08
1824,1.6842225214475093e-07,4.5474010335055937e-08
1825,1.7698941112698208e-07,7.836844417852262e-08
1826,1.1714619407854343e-07,5.901349608983253e-08
1827,1.8711064875276406e-07,6.636436467033491e-08
1828,1.6051527507165986e-07,8.988854932612256e-08
1829,1.294549552000035e-07,1.243110483994947e-07
1830,1.4298465633721946e-07,1.001936256184166e-07
1831,2.1671776728737768e-07,7.171954674589642e-08
1832,2.9495332221074477e-07,1.3394669906574563e-07
1833,2.281974778028939e-07,1.0888610546544442e-07
1834,2.0162586711336417e-07,9.427876079826092e-08
1835,8.546289365085613e-08,9.15133639978194e-08
1836,1.592817713280681e-07,7.661655132551459e-08
1837,1.607272839265761e-07,1.022809983375339e-07
1838,1.1614377637414464e-07,1.0604431666116909e-07
1839,2.286212446023228e-07,1.6080393550055305e-07
1840,8.216898661483896e-08,9.236048437166744e-08
1841,1.3033714019172749e-07,1.1235960073463502e-07
1842,6.37285153537448e-08,8.452414101967065e-08
1843,1.4826347272123286e-07,8.44688284873385e-08
1844,6.696044607679141e-08,1.4874001497133804e-07
1845,1.2946129324120648e-07,1.1383665177167046e-07
1846,1.0830827568142354e-07,1.264572282444476e-07
1847,1.0948244177910738e-07,1.2242618296909313e-07
1848,9.010648227558704e-08,1.8906270415897097e-07
1849,1.1312210324021521e-07,1.6591242202323997e-07
1850,1.1948632838709727e-07,1.6361480437154796e-07
1851,1.199595587308977e-07,1.2705393714895763e-07
1852,1.1653876130779395e-07,1.5234676853381757e-07
1853,1.510898699486063e-07,1.2720215458728035e-07
1854,1.7041779409865399e-07,1.179415805019346e-07
1855,1.2630509971245374e-07,1.5390116914204555e-07
1856,1.5169164357953235e-07,2.024280962853453e-07
1857,1.6255425805411505e-07,1.3570594870060404e-07
1858,1.8204475304983703e-07,1.472996498108614e-07
1859,1.7618919923023668e-07,9.929738009617495e-08
1860,9.612086060428737e-08,1.1351416429050687e-07
1861,1.466664747984403e-07,9.101810283240752e-08
1862,1.644546971935057e-07,1.3779858765161634e-07
1863,1.573305503654865e-07,1.518364762809199e-07
1864,1.448007906912352e-07,1.2178608699286997e-07
