year,frais_NOUN égaux_ADJ,frais_NOUN légaux_ADJ
1800,9.432493897065797e-09,1.5720821977538435e-08
1801,9.524730337773235e-09,0.0
1802,4.475680270843441e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,2.842877711017877e-09
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,3.2761775514700275e-08,0.0
1811,0.0,2.5070767684098882e-09
1812,8.00162425207418e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,2.3176038865813098e-09
1817,1.5568733857662664e-08,3.113746815941454e-09
1818,0.0,0.0
1819,0.0,0.0
1820,5.933240565525466e-09,0.0
1821,0.0,0.0
1822,2.0051231786055723e-09,0.0
1823,3.755420863171821e-08,0.0
1824,8.421112696055388e-09,0.0
1825,8.805443041381977e-10,0.0
1826,1.2331177856594877e-08,1.0569580766173203e-08
1827,1.2904182611350734e-08,0.0
1828,2.0179061976932644e-08,2.7516904310687096e-09
1829,2.914879893012312e-08,1.2859763920403111e-08
1830,1.3567886369969528e-08,0.0
1831,3.1182412207897414e-09,2.182768810143898e-08
1832,2.0294953273491956e-08,0.0
1833,1.50587169400751e-08,0.0
1834,7.467624740797874e-09,5.600718555598405e-09
1835,7.563087933704082e-10,4.5378527602224494e-09
1836,6.72075017860152e-09,4.032449929525228e-09
1837,4.174734336004349e-09,1.3915781860163179e-09
1838,6.943378316748294e-09,6.312161904276081e-10
1839,6.292327547896548e-09,1.957613093850341e-08
1840,2.229391071750797e-08,3.821813088222825e-09
1841,3.0818632978935057e-08,0.0
1842,7.379091560011375e-09,1.341653010911159e-09
1843,1.4176587015413133e-08,5.906911071384968e-10
1844,1.0977122322231025e-08,8.781698035420504e-09
1845,1.3392547515422848e-08,3.348136878855712e-09
1846,2.1076203893244383e-08,2.6345256642912318e-08
1847,1.1325769655456952e-08,3.235934187273415e-09
1848,3.218088684420195e-09,8.04522137798358e-09
1849,7.54147322368226e-09,0.0
1850,1.6293590476834652e-08,0.0
1851,1.0319102017319892e-08,0.0
1852,2.2135854038651814e-08,9.765818376195057e-09
1853,1.0749477752369785e-08,5.3747388761848924e-09
1854,8.313063126763609e-09,1.558699302961486e-08
1855,7.429711956774554e-09,7.429711956774554e-09
1856,1.4496129630003907e-08,1.5531567143511893e-09
1857,9.274867096564776e-09,1.1715622250108026e-08
1858,3.9149408159744326e-09,2.4468380654951716e-09
1859,4.073738679721828e-09,5.092173349652285e-09
1860,4.57718396518203e-09,6.865775947773045e-09
1861,1.5562680033553988e-08,1.3204698667834691e-08
1862,2.710791813242963e-09,4.066187830886747e-09
1863,1.2486552236623538e-08,9.989241434027463e-09
1864,3.835782358407869e-09,5.753673537611803e-09
1865,4.706844247692743e-09,5.177528628053096e-09
1866,1.4596839292835284e-09,2.919367858567057e-09
1867,1.747012134956094e-08,2.91168689159349e-09
1868,5.433861360870651e-09,1.1361710683388537e-08
1869,0.0,0.0
1870,4.529898589566983e-08,1.548193129252695e-08
1871,2.549082545044712e-08,8.496941816815706e-09
1872,9.675742873582749e-09,6.047339518033823e-09
1873,8.979006871356887e-09,1.7958012854535355e-09
