year,gens_NOUN égaux_ADJ
1800,0.0
1801,7.143547975374531e-09
1802,3.3567602031325805e-08
1803,6.436119548425268e-08
1804,4.943701892301533e-09
1805,8.528632911009026e-09
1806,1.152667650217154e-08
1807,5.693910232196231e-09
1808,6.798221985349073e-09
1809,3.6144488291256494e-08
1810,1.8721014072298203e-08
1811,3.008491944456182e-08
1812,2.6672082320544632e-09
1813,8.627225156487839e-09
1814,2.2026739543434815e-08
1815,3.236668177919455e-08
1816,2.5493642752394408e-08
1817,4.0478710161551135e-08
1818,9.536941902865692e-09
1819,1.2421260464634543e-08
1820,2.610625848831205e-08
1821,3.94459531705138e-09
1822,2.105379337535851e-08
1823,5.929612356680991e-09
1824,1.0105335235266466e-08
1825,7.044354433105582e-09
1826,6.1655889282974385e-09
1827,2.027800150017356e-08
1828,5.595103758082587e-08
1829,0.0
1830,9.39315203396518e-09
1831,9.354723218280014e-09
1832,6.764984572527055e-09
1833,3.4750886612755494e-09
1834,4.2005389389032644e-08
1835,1.5882484660778573e-08
1836,1.2097349788575684e-08
1837,2.7831563720326358e-09
1838,1.7042836475411605e-08
1839,2.9364196407755117e-08
1840,7.64362617644565e-09
1841,1.2841097074556274e-08
1842,0.0
1843,1.063243981747064e-08
1844,1.3172547497219966e-08
1845,9.48638767539478e-09
1846,8.196302303531411e-09
1847,5.3932236454556914e-09
1848,1.126331028444838e-08
1849,9.217356655710773e-09
1850,1.0862393651223101e-08
1851,6.449438760824933e-09
1852,1.9531636308300904e-09
1853,2.388772735173461e-09
1854,8.313063126763609e-09
1855,7.960405667972736e-09
1856,6.73034605824796e-09
1857,4.393358121745905e-09
1858,1.468102750479261e-09
1859,9.675129142294736e-09
1860,9.612086238064421e-09
1861,5.187560159214399e-09
1862,1.8071945051545413e-09
1863,1.9978483312144135e-09
1864,1.3904711160250827e-08
1865,1.882737743486018e-09
1866,5.352174259343201e-09
1867,1.747012134956094e-08
1868,2.4699371437009177e-09
1869,1.1720445947105418e-08
1870,2.8670243956696595e-09
1871,4.248470908407853e-09
1872,7.861540751719076e-09
1873,6.584604861359367e-09
1874,5.974609251779839e-09
1875,1.1443054281912168e-09
1876,3.627608879952504e-09
1877,9.27722432209066e-09
1878,3.0195443923020093e-09
1879,4.27652757650776e-09
1880,7.059631101924424e-09
1881,2.091752326904839e-09
1882,3.9932310791357395e-09
1883,0.0
1884,8.582206056928499e-09
1885,6.445635691854079e-10
1886,9.680196200179125e-09
1887,1.5016526688782506e-08
1888,1.2047167707862627e-08
1889,3.132568426877924e-09
1890,1.3108772956016423e-09
1891,6.374220040683554e-10
1892,5.014809900671935e-09
1893,7.390100087434348e-09
1894,6.301539290376468e-10
1895,7.22233739480771e-09
1896,1.179405795248556e-09
1897,0.0
1898,1.13167097914868e-09
1899,0.0
1900,1.038210628578895e-09
1901,0.0
1902,9.820567692386817e-10
1903,2.7001101354784396e-09
1904,6.987012746151322e-09
1905,2.580379465655369e-09
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,5.34415089958884e-09
1911,2.128149656499545e-09
1912,1.5628263128064646e-09
1913,1.590896969716482e-09
1914,6.696743715117748e-10
1915,9.424609537234119e-09
1916,9.888715624128963e-09
1917,2.1932848870420685e-09
1918,0.0
1919,1.8415696745321952e-09
1920,0.0
1921,2.2718242842501013e-09
1922,5.902348387820666e-09
1923,0.0
1924,0.0
1925,1.0998177923937646e-09
1926,6.687683296036084e-09
