year,as_VERB eu_VERB,as_VERB lu_VERB
1800,2.200915076855381e-07,3.772997558826319e-08
1801,1.619204113012529e-07,2.8574191901498125e-08
1802,1.7231369042747247e-07,2.0140561218795483e-08
1803,1.2677205063482688e-07,2.9255089017965474e-08
1804,1.3842365831351344e-07,3.460591457837836e-08
1805,2.5301611117356515e-07,1.1371510844071508e-08
1806,6.916005901302924e-08,5.76333825108577e-09
1807,1.537355700520493e-07,8.540865792383556e-09
1808,1.0423940466353088e-07,9.064295980465431e-09
1809,9.93973401364201e-08,6.7770917766551975e-09
1810,1.591286178381779e-07,4.680253518074551e-09
1811,1.3287507272252697e-07,3.5099073869560016e-08
1812,1.6269970615212515e-07,1.3336041604361526e-08
1813,1.0352670187785407e-07,1.1502966579257645e-08
1814,7.552024783308298e-08,0.0
1815,8.091670622434322e-08,1.0788894222457657e-08
1816,7.879853569647821e-08,2.3176038865813098e-09
1817,1.214361304846534e-07,9.341240669868967e-09
1818,1.2755660350194375e-07,7.152706427149269e-09
1819,1.35598753558952e-07,1.2421260464634543e-08
1820,1.3053129066520341e-07,3.797273961936298e-08
1821,2.169527419937367e-07,1.676452932031225e-08
1822,2.546506436829077e-07,1.1028177482330648e-08
1823,2.174191138237802e-07,1.087095569118901e-08
1824,2.450543661325355e-07,1.6842225392110777e-08
1825,3.10832149352791e-07,7.044354433105582e-09
1826,1.418085417981274e-07,7.927186018719112e-09
1827,1.1798109511573784e-07,5.530363722527909e-09
1828,1.2657775982916064e-07,3.668920500743411e-09
1829,1.2002446680980938e-07,7.715858174606183e-09
1830,1.5655253093882493e-07,8.349468672008697e-09
1831,2.1204040479005926e-07,3.741889287312006e-08
1832,2.1512651926514081e-07,2.570694235259907e-08
1833,1.6796261093077192e-07,9.266902800675325e-09
1834,2.4549817112529126e-07,1.120143711119681e-08
1835,3.0327981903610635e-07,1.8151411040889798e-08
1836,3.0646620530205837e-07,1.6129799718100912e-08
1837,2.1708619613036717e-07,2.0873672568200163e-08
1838,1.988331064239901e-07,2.2723781967215473e-08
1839,1.8247750688260567e-07,2.866504900111977e-08
1840,1.840840013755951e-07,2.6115722917552375e-08
1841,2.221509731725746e-07,3.017657945747487e-08
1842,2.743680340699939e-07,3.287049921141261e-08
1843,2.658109963249444e-07,2.4218335781256428e-08
1844,2.1130961158633e-07,1.6465683927435748e-08
1845,2.1539679551096924e-07,3.2923345827384765e-08
1846,1.6978053452021413e-07,2.5759806732139623e-08
1847,1.5316754797822796e-07,1.7258315665458213e-08
1848,1.4240042389701557e-07,3.137636639394259e-08
1849,1.0055298105271504e-07,1.4245005175439474e-08
1850,1.575047008373076e-07,1.6972489191857676e-08
1851,1.5672135589284153e-07,1.3543821175687754e-08
1852,2.0963956615105417e-07,2.2135854038651814e-08
1853,1.9767094272538088e-07,1.7318601663873778e-08
1854,1.7041779187820794e-07,2.6497888327980945e-08
1855,2.069705544727185e-07,3.8209947206269135e-08
1856,2.2727860482518736e-07,1.5531567143511893e-08
1857,2.5969629291466845e-07,2.4895696171256532e-08
1858,2.6915216722045443e-07,2.3489644007668176e-08
1859,2.6021007215604186e-07,3.208069188076479e-08
1860,2.842431285898783e-07,2.334363813361051e-08
