year,aurez_VERB assez_ADV,aurez_VERB lassé_VERB
1800,7.545995117652637e-08,0.0
1801,6.429193177837078e-08,2.3811825844433088e-09
1802,7.832440473976021e-08,0.0
1803,6.046051481689574e-08,0.0
1804,5.19088700912107e-08,0.0
1805,4.264316544322355e-08,0.0
1806,7.780506905419315e-08,0.0
1807,3.9857372513552036e-08,0.0
1808,3.6257183921861724e-08,0.0
1809,2.0331274441787173e-08,0.0
1810,7.956430891908894e-08,0.0
1811,6.016983888912364e-08,0.0
1812,6.401299401659344e-08,0.0
1813,5.463909147351842e-08,0.0
1814,6.293354282149721e-09,0.0
1815,3.506390555685357e-08,0.0
1816,3.244645441213834e-08,0.0
1817,5.1376822796100896e-08,1.556873407970727e-09
1818,3.695565098382758e-08,0.0
1819,3.726378139390363e-08,0.0
1820,4.2719332071783356e-08,0.0
1821,4.7335142028259725e-08,0.0
1822,5.413832582235045e-08,2.0051231786055723e-09
1823,5.336650943377208e-08,0.0
1824,3.03160057057994e-08,1.6842225392110777e-09
1825,5.2832657360113444e-08,8.805443041381977e-10
1826,8.279505436803447e-08,0.0
1827,3.410390903013649e-08,9.217273055917019e-10
1828,2.0179061976932644e-08,9.172301251858528e-10
1829,2.2290258527846163e-08,0.0
1830,4.174734158368665e-08,0.0
1831,5.456922025359745e-08,0.0
1832,8.117981309396782e-08,1.3529969367098715e-09
1833,4.9809603552830595e-08,0.0
1834,4.85395617033646e-08,9.334530925997342e-10
1835,7.563087933704082e-08,0.0
1836,6.51912728244497e-08,0.0
1837,7.51452233771488e-08,0.0
1838,8.39517539930057e-08,0.0
1839,1.237491176198091e-07,6.9914751765765e-10
1840,6.242294858793684e-08,0.0
1841,4.55858959469424e-08,0.0
1842,6.708265232191479e-08,0.0
1843,4.7255287682901326e-08,0.0
1844,6.147188713612195e-08,0.0
1845,4.910600637231255e-08,5.580227946389016e-10
1846,5.678866443759034e-08,1.1709002656346001e-09
1847,3.235934187273415e-08,5.393223645455691e-10
1848,4.666228647920434e-08,0.0
1849,1.5920887719289567e-08,0.0
1850,4.1412874907109654e-08,7.467895635215882e-09
1851,5.93348374877678e-08,0.0
1852,4.492276417522589e-08,0.0
1853,5.6136158832487126e-08,1.1943863675867306e-09
1854,5.0917510208137173e-08,1.558699391779328e-09
1855,4.5108965451845506e-08,1.0613874223963649e-09
1856,6.160855292591805e-08,0.0
1857,5.125584578991038e-08,0.0
1858,5.529853908115001e-08,0.0
1859,6.110607841947058e-08,0.0
1860,5.858795404378725e-08,0.0
1861,5.94211435611669e-08,4.715963730639317e-10
1862,6.189641510445654e-08,4.517986262886353e-10
1863,5.693867777267769e-08,4.994620828036034e-10
1864,8.582563282288902e-08,0.0
1865,6.213034708935083e-08,0.0
1866,6.3252969084715e-08,0.0
1867,4.901339423213358e-08,0.0
1868,6.86642493974432e-08,0.0
1869,2.8812763730456936e-08,0.0
1870,5.504686839685746e-08,0.0
1871,4.460894587055009e-08,0.0
1872,4.475031190054324e-08,0.0
