year,pas_ADV égales_ADJ,pas_ADV egales_ADJ,pas_ADV légales_ADJ
1800,2.263798393187244e-07,0.0,3.144164484325529e-09
1801,2.7145480885337747e-07,2.3811825844433088e-09,2.3811825844433088e-09
1802,2.193083332713286e-07,0.0,0.0
1803,2.5354410126965377e-07,1.1702034896643454e-08,0.0
1804,2.867347177470947e-07,0.0,0.0
1805,2.3595885068061762e-07,0.0,0.0
1806,2.5935023018064385e-07,0.0,0.0
1807,4.128085038246354e-07,0.0,1.4234775136401367e-08
1808,2.0621273222332093e-07,0.0,9.064295980465431e-09
1809,1.8975856619363185e-07,2.259030518203531e-09,4.518061036407062e-09
1810,2.527336846469552e-07,0.0,7.020380277111826e-09
1811,2.3065106802278024e-07,0.0,2.5070767684098882e-09
1812,2.2937990706850542e-07,0.0,0.0
1813,1.984261785992203e-07,0.0,0.0
1814,2.7690759907272877e-07,9.440030979135372e-09,3.1466771410748606e-09
1815,1.3216394734172354e-07,0.0,0.0
1816,1.969963250303408e-07,0.0,2.3176038865813098e-09
1817,1.479029805295795e-07,0.0,1.2454987263765815e-08
1818,1.2755660350194375e-07,0.0,0.0
1819,1.9356463099029497e-07,1.035105001712111e-09,0.0
1820,1.8274380408911384e-07,7.119888678630559e-09,2.3732962262101864e-09
1821,2.0018821089706762e-07,1.97229765852569e-09,9.86148829262845e-10
1822,2.1354561852149345e-07,0.0,1.604098542884458e-08
1823,1.956772024414022e-07,0.0,0.0
1824,1.70106474683962e-07,0.0,5.052667617633233e-09
1825,1.7875049707072321e-07,1.7610886082763955e-09,7.924898959288385e-09
1826,1.8937166146315576e-07,8.807984341885344e-10,2.025836387531399e-08
1827,1.3272872934066982e-07,9.217273055917019e-10,1.1982455028203276e-08
1828,1.9995616185042309e-07,2.7516904310687096e-09,9.172301251858528e-10
1829,1.2431105744781235e-07,0.0,1.2002446148073886e-08
1830,1.6177095574221312e-07,0.0,2.0873671680021744e-09
1831,2.6193225721726776e-07,4.677361609140007e-09,1.5591206103948707e-09
1832,1.5018265742128278e-07,0.0,1.7588959622116818e-08
1833,1.459537202208594e-07,0.0,2.3167257001688313e-09
1834,1.652211949476623e-07,0.0,2.14694217959277e-08
1835,1.6714423622943286e-07,7.563087933704082e-10,6.806779140333674e-09
1836,1.955738326842038e-07,0.0,2.688300027031687e-09
