year,aux_ADP aides_NOUN,aux_ADP laides_ADJ
1800,1.603523891446912e-07,0.0
1801,1.4048977448055666e-07,1.6668277424969347e-08
1802,1.3874608839614666e-07,6.713520406265161e-09
1803,1.7553053055507917e-07,3.900678446910888e-09
1804,1.1864884319479074e-07,1.2359254952798437e-08
1805,7.107194099909009e-08,1.9900143755080535e-08
1806,5.187004337159351e-08,1.4408345627714425e-08
1807,1.9359295322374237e-07,0.0
1808,1.2010192129707775e-07,4.5321479902327155e-09
1809,1.0843346398559106e-07,6.7770917766551975e-09
1810,1.1232608132516475e-07,3.2761775514700275e-08
1811,1.2033968488367464e-07,2.5070767684098882e-09
1812,2.000406196245308e-07,4.800974906515876e-08
1813,1.9555043628827207e-07,5.751483289628823e-09
1814,3.115210227555565e-07,3.4613449884091096e-08
1815,1.7801675666895278e-07,1.3486118000116676e-08
1816,1.0892737911660788e-07,0.0
1817,1.401186097149676e-07,0.0
1818,1.978915480371768e-07,2.384235475716423e-09
1819,7.763287190876156e-08,1.5526575580793178e-08
1820,1.269713489904234e-07,0.0
1821,9.861488492468595e-08,3.94459531705138e-09
1822,7.519211919770896e-08,2.3058916553964082e-08
1823,1.4231069411785313e-07,9.882686669016039e-09
1824,1.0021123841852386e-07,5.894778887238772e-09
1825,8.629334047327575e-08,5.283265824829186e-09
1826,1.7175569666516566e-07,8.807984341885344e-10
1827,1.594588292519461e-07,7.373818444733615e-09
1828,2.4765213402222486e-07,0.0
1829,9.344762086360703e-08,0.0
1830,2.4213458860167236e-07,1.0436835840010872e-09
1831,1.4187997576797784e-07,6.236482441579483e-09
1832,9.335679018729337e-08,2.0294953273491956e-08
1833,1.1236119856761206e-07,1.2741991461950875e-08
1834,2.2496219109768845e-07,9.334530925997342e-10
1835,2.01934447829899e-07,2.2689263801112247e-09
1836,1.1425274903942295e-07,2.688300027031687e-09
1837,1.071515214334795e-07,3.478945576063097e-09
1838,1.6727229557034207e-07,3.787297142565649e-09
