year,belles_ADJ âmes_NOUN,belles_ADJ ames_NOUN,belles_ADJ lames_NOUN
1800,8.803660733747165e-08,1.8550569791386806e-07,3.458580977167003e-08
1801,5.476719877606229e-08,5.595779271061474e-07,4.0480102825313224e-08
1802,6.489736392722989e-08,2.64065135979763e-07,1.3427040812530322e-08
1803,5.070882025393075e-08,2.340407121437238e-07,1.1702034896643454e-08
1804,5.438072037122765e-08,3.58418390078441e-07,4.943701892301533e-09
1805,3.695740957709859e-08,3.553597025529598e-07,1.421438877713399e-08
1806,1.9595350408962986e-07,2.996935961618874e-07,0.0
1807,8.54086508184082e-08,2.306033621835013e-07,4.555128185756985e-08
1808,1.0197332755979005e-07,2.719288829666766e-07,1.1330369531492579e-08
1809,7.680704072754452e-08,1.8975856619363185e-07,5.873479480555943e-08
1810,1.0530570193623134e-07,4.329234570832341e-07,4.680253518074551e-09
1811,2.1811567307850055e-07,6.267691787797958e-08,2.757784400841956e-08
1812,1.7870294755084615e-07,6.934741492159446e-08,4.5342538612658245e-08
1813,1.5241430162404868e-07,2.415623043816595e-07,3.163315653864629e-08
1814,2.7061423679697327e-07,2.580275122454623e-07,1.4160046646338742e-07
1815,1.726223075593225e-07,9.170560133497929e-08,2.1577788444915313e-08
1816,1.1356259221884102e-07,1.2515060632267705e-07,4.8669683394564345e-08
1817,2.646684720275516e-07,1.9616605584360514e-07,9.029865566390072e-08
1818,1.5378319062619994e-07,1.9073883095188648e-07,5.364529798157491e-08
1819,2.3393373282942775e-07,7.556266723440785e-08,2.4842520929269085e-08
1820,3.275148685588647e-07,1.5663755448258598e-07,3.441279616822612e-08
1821,4.033348659504554e-07,1.715899031751178e-07,4.7335142028259725e-08
1822,1.7244059336007922e-07,1.3434325296657335e-07,5.213320264374488e-08
1823,1.1365089847004128e-07,1.7294702558956487e-07,8.894418357385803e-08
1824,1.212640228231976e-07,1.8610658969464566e-07,9.515857612996115e-08
1825,2.764909083907696e-07,1.47050897680856e-07,3.434122675116669e-08
1826,1.35642963527971e-07,1.699940952448742e-07,2.906634755106552e-08
1827,8.664236617050847e-08,1.115290046982409e-07,4.147772969531616e-08
1828,1.008953134373769e-07,1.2199160437376122e-07,4.769596628761974e-08
1829,9.944884027390799e-08,2.297611132462407e-07,3.5150023336427694e-08
1830,1.1584887715798686e-07,1.2419835115906608e-07,3.026682549034376e-08
1831,7.483778574624012e-08,1.4343909526814969e-07,6.860130952190957e-08
1832,1.3800568865462992e-07,3.6395618963069865e-07,6.764985016616265e-08
1833,1.158362863407092e-07,1.7027933552071772e-07,3.70676112027013e-08
1834,1.1948199585276598e-07,1.7268882857024437e-07,5.787409307345115e-08
1835,1.376482003934143e-07,1.0815215745196838e-07,9.075705520444899e-08
1836,1.209734961094e-07,9.476257645246733e-08,1.8146025126952736e-08
1837,1.704683256775752e-07,1.0019363116953173e-07,1.1828414692161004e-08
1838,1.0415067208668916e-07,8.205810786421353e-08,5.617824072601252e-08
1839,1.307405881334489e-07,9.508406151326199e-08,2.1673573158409454e-08
1840,1.6242705669355928e-07,2.8663599493938818e-08,8.280594876453051e-09
1841,1.6115576784159202e-07,1.9903700021473014e-08,2.3113974734201292e-08
1842,1.7575653998846974e-07,4.360372329870188e-08,2.750388716776797e-08
1843,2.8235035642865114e-07,5.1390127708828004e-08,3.0125246297529884e-08
1844,1.8112251609636587e-07,5.708103856250091e-08,7.354672248993666e-08
1845,1.847055415282739e-07,2.3436957263811564e-08,5.970844085823046e-08
1846,2.054929950645601e-07,1.4636253098387897e-08,4.9177810268474786e-08
1847,1.3051601399638457e-07,9.707802561820245e-09,2.0494249852731627e-08
1848,1.3998685233218566e-07,2.252662056889676e-08,6.033916122305527e-08
1849,8.044238342108656e-08,1.8434713311421547e-08,4.692472543865733e-08
1850,1.7040379418631346e-07,1.5614691761811628e-08,6.992665646521345e-08
1851,1.4188765362632694e-07,9.674158363282004e-09,3.353708066811123e-08
1852,2.141969446256553e-07,5.208436348880241e-09,1.1718981340891332e-08
1853,2.669453635917307e-07,1.0749477752369785e-08,6.867721680237082e-08
1854,1.9327872280427982e-07,3.3252252507054436e-08,8.728716238692869e-08
1855,3.4176673580077477e-07,2.3350523292720027e-08,3.078023524949458e-08
1856,2.334912352353058e-07,1.7602443946884705e-08,4.038207634948776e-08
1857,2.2357311024734372e-07,4.8326938895115745e-08,1.610898081594314e-08
1858,2.6279039389009995e-07,1.7127865348243176e-08,7.34051397444091e-09
1859,3.040027536371781e-07,2.189634606963864e-08,1.9350258284589472e-08
1860,3.565626229828922e-07,8.696649622663699e-09,4.165237399433863e-08
1861,3.305890459159855e-07,8.017138064531082e-09,2.357981898626349e-08
1862,2.7559715931602113e-07,1.671654992208005e-08,4.156547461775517e-08
1863,2.816966286900424e-07,7.491931519609807e-09,1.9479021062807078e-08
1864,4.531017907538626e-07,9.109982990196386e-09,1.821996598039277e-08
1865,3.544253672771447e-07,8.001635798393636e-09,6.636650340396955e-08
1866,2.9582926686089195e-07,1.1190909532388105e-08,8.271541673821048e-09
