year,ses_DET yeux_NOUN,ses_DET lieux_NOUN
1800,3.450406188676425e-05,2.829747991484055e-08
1801,3.3608010426178225e-05,3.809892001882531e-08
1802,2.996467912907974e-05,5.370816325012129e-08
1803,3.191730081653077e-05,1.1116933396060347e-07
1804,3.6257108490644896e-05,6.673997887673977e-08
1805,3.653950864190847e-05,1.4214389132405358e-07
1806,2.7900320105800347e-05,8.068673551520078e-08
1807,2.5616901552893978e-05,4.27043254092041e-08
1808,2.9701432595174992e-05,3.3991110370834576e-08
1809,2.538472597279906e-05,9.036122095018584e-08
1810,3.952474207835621e-05,6.084329529087995e-08
1811,2.8826368634327082e-05,6.76910687502641e-08
1812,2.6912131033896003e-05,1.9203899626063503e-07
1813,3.0379334930330515e-05,1.0640243885973177e-07
1814,2.5497525143691746e-05,7.866692897096073e-08
1815,2.351709167669469e-05,6.74305908887618e-08
1816,2.675673772500886e-05,1.8077310315334216e-07
1817,2.7477259322949976e-05,6.071806124552381e-08
1818,3.165191753851104e-05,5.126106206176928e-08
1819,3.0402068318835518e-05,4.243930362690662e-08
1820,3.261027802636818e-05,9.849179249954432e-08
1821,2.9223534284028574e-05,9.664258637798184e-08
1822,3.093103043738665e-05,1.0326384369818697e-07
1823,2.8087584837521717e-05,3.4589403785645345e-08
1824,3.0324426234074053e-05,4.0421342717422704e-08
1825,2.9271052994772617e-05,1.1711239178424648e-07
1826,2.7310917516842892e-05,5.901349353631957e-08
1827,2.4136350816661434e-05,1.1521591519736418e-07
1828,2.6153899625569466e-05,6.145441838745214e-08
1829,2.669258390142204e-05,9.173298370912519e-08
1830,3.08471114749409e-05,6.262101548415444e-08
1831,2.804078428653156e-05,7.951515268445064e-08
1832,3.4198352295788936e-05,7.035583815540036e-08
1833,3.1413643000632874e-05,7.181849659421147e-08
1834,2.9645537324540783e-05,1.1854854609083532e-07
1835,3.165833015827957e-05,8.621920244422654e-08
1836,3.0483977525364025e-05,1.4180782875738984e-07
1837,2.8849502314187703e-05,8.975679666178848e-08
1838,2.710189926347084e-05,5.5547022981272676e-08
1839,2.691787892672437e-05,6.711816080695598e-08
1840,2.7604320052887488e-05,9.873017736694578e-08
1841,2.719680185236939e-05,9.374001130879606e-08
1842,2.9066241268083104e-05,1.0867389654833914e-07
1843,2.808913404805935e-05,8.860366684793064e-08
1844,3.03308877391828e-05,8.123070882604111e-08
1845,3.0301753554340394e-05,8.314539867715354e-08
1846,2.741311720910744e-05,8.723207045591153e-08
1847,2.5968371005546942e-05,1.4130246039911754e-07
1848,2.4697221988390083e-05,1.0458787924605417e-07
1849,2.4393314902226848e-05,8.128032269461016e-08
1850,2.5292405553045683e-05,1.0658724125534036e-07
1851,2.3733934881420282e-05,7.610337471319895e-08
1852,2.6593624511406233e-05,9.244974497057967e-08
1853,2.850403097909293e-05,1.3675724308548354e-07
1854,2.9359140512497106e-05,1.3300900736368249e-07
1855,3.1411229883815395e-05,8.331890910540096e-08
1856,2.945717051261454e-05,8.90476522519279e-08
1857,2.9637593456754985e-05,1.2203772664642898e-07
1858,3.2142153486347524e-05,1.0080972290271717e-07
1859,3.377689392891625e-05,1.186476419334781e-07
1860,3.403914411137521e-05,1.112255688384689e-07
1861,3.206100916486321e-05,9.573406412055618e-08
1862,3.181746592417767e-05,9.849210225176819e-08
1863,3.1499575811722025e-05,7.092361808958003e-08
1864,3.088284211116843e-05,8.390773986732825e-08
1865,3.0833125492790714e-05,1.2426068973780957e-07
1866,3.026362662694737e-05,1.2942530425164023e-07
1867,2.9755984428447846e-05,1.2811422145375673e-07
1868,2.7807538685920008e-05,1.0719527043789867e-07
1869,3.133558868739783e-05,8.008971152939637e-08
1870,2.7837659672513837e-05,5.103303557518757e-08
1871,2.523166926948761e-05,9.240424159173699e-08
1872,2.850897101325245e-05,1.0220003765493146e-07
1873,2.59906325936754e-05,9.936767364493448e-08
1874,2.674354573173332e-05,1.0754296470016911e-07
1875,2.760522409062105e-05,1.1614699735318368e-07
1876,2.577174291218398e-05,1.2454789821703116e-07
1877,2.7753742756431166e-05,7.854716377320159e-08
1878,2.380186060690903e-05,1.666788485010784e-07
1879,2.6109422719855502e-05,1.5517685880706011e-07
1880,2.544547635352501e-05,1.0461089416935465e-07
1881,2.6306573772671982e-05,9.064260031443894e-08
1882,2.7382916186979855e-05,8.5854468423463e-08
1883,2.506439420812967e-05,1.0110942216812191e-07
1884,2.6408109079056885e-05,1.2675257554661812e-07
1885,2.534423981614964e-05,1.0377473524947334e-07
1886,2.5025241370713047e-05,1.2519719860826228e-07
1887,2.5954434477171162e-05,1.2731402743160203e-07
1888,2.543030336710217e-05,8.686642383182175e-08
1889,2.489201551725273e-05,1.253027367975612e-07
1890,2.4050009869824862e-05,8.717334315511138e-08
1891,2.3258890792021703e-05,1.440573766942066e-07
1892,2.3844168026698753e-05,1.0029620090001856e-07
1893,2.403075677648303e-05,1.0161387115070752e-07
1894,2.451361785915651e-05,9.956431856750214e-08
1895,2.5231236463696405e-05,9.62978290441896e-08
1896,2.5228078925465525e-05,1.0732593058726536e-07
1897,2.4360906650144898e-05,9.614077045583258e-08
1898,2.444579104121658e-05,9.449452353926802e-08
1899,2.457008554301865e-05,1.0391847560242695e-07
1900,2.5483398189862783e-05,8.980521959411902e-08
1901,2.4263509772026737e-05,9.892067659444947e-08
1902,2.0536279976113292e-05,7.316322836459221e-08
1903,2.296767604548222e-05,8.100330273208556e-08
1904,2.162480484457774e-05,7.685714109584296e-08
1905,2.1227749357422e-05,1.0011872780824049e-07
1906,2.3070638349054207e-05,1.3220553718440442e-07
1907,2.2676854200653906e-05,1.1314255077277124e-07
1908,2.4040759058152616e-05,8.889614577789473e-08
1909,2.5009121486618824e-05,7.261298295979657e-08
1910,2.574544578237692e-05,6.252656281624525e-08
1911,2.3100532303033106e-05,7.395319912006926e-08
1912,2.394510534031724e-05,6.668058893932738e-08
1913,2.3600955387337308e-05,8.855993183232158e-08
1914,2.313256209163228e-05,6.830678356273268e-08
1915,2.030414259479585e-05,1.0484878298910871e-07
1916,2.251770524708263e-05,8.130722051191697e-08
1917,2.385964899076498e-05,6.689519094216223e-08
1918,2.3923824073790456e-05,9.763419939190499e-08
1919,2.4282016966026276e-05,9.576162574020941e-08
1920,2.517615621400182e-05,9.162400660400749e-08
1921,2.6653041459212545e-05,1.0829029095660303e-07
1922,3.0297491548481048e-05,1.2542489902234166e-07
1923,2.939556088676909e-05,1.1146745704238015e-07
1924,2.855623733921675e-05,1.0828964691622645e-07
1925,2.9337639489313005e-05,9.67839663967851e-08
1926,2.8118362706663902e-05,1.6050439510806314e-07
1927,3.374758989593829e-05,1.2710116104042157e-07
1928,2.7269389647699427e-05,8.569531084745563e-08
1929,2.776300607365556e-05,9.357941310739193e-08
1930,2.4234965167124756e-05,1.2184180397945e-07
1931,2.3296581730392063e-05,1.0150767337790967e-07
1932,2.393891554675065e-05,1.052115539135201e-07
1933,2.244120264549565e-05,1.1585369152911085e-07
1934,2.2078457845964294e-05,8.267290674268679e-08
1935,2.3255572386915446e-05,1.2207650001982984e-07
1936,2.2744752413927927e-05,1.2245961400481065e-07
1937,2.2588465981243644e-05,1.196156200755638e-07
1938,2.350593445044069e-05,1.4391388170054142e-07
1939,2.29762515573384e-05,1.376464595637117e-07
1940,1.739293509217532e-05,1.4200384157447843e-07
1941,2.465980355736974e-05,1.7118715334163426e-07
1942,2.3460526108465274e-05,1.790184949168605e-07
1943,2.7197506824450102e-05,2.0903293496132846e-07
1944,2.7729797238862375e-05,1.2852744468716537e-07
1945,2.97910421522829e-05,1.3071024485000748e-07
1946,2.959905191346479e-05,1.9350334312662198e-07
1947,3.0138346346575418e-05,1.8596558049033263e-07
1948,2.7695046355802333e-05,1.75037393468358e-07
1949,2.4242120616690954e-05,1.5707212996929343e-07
1950,2.7718941964849364e-05,1.2337018673314049e-07
1951,2.5707837721711257e-05,1.3433365830817223e-07
1952,2.4764471390881226e-05,1.349734879418918e-07
1953,2.3633466980754747e-05,1.55143107472e-07
1954,2.6442529133419157e-05,1.8470093698930157e-07
1955,2.31815120059764e-05,1.6518670209464403e-07
1956,2.5506723432044964e-05,1.7442283040125517e-07
1957,2.3631075919183786e-05,1.3605957405182778e-07
1958,2.4361757141377893e-05,1.273925556155575e-07
1959,2.289880944772449e-05,1.7439181965173134e-07
1960,2.5553100158504094e-05,1.799416720071889e-07
1961,2.5488627443337464e-05,1.4938542314268943e-07
1962,2.5705852294777287e-05,2.0674777978513248e-07
1963,2.5544142999933683e-05,1.4419298421941562e-07
1964,2.467475110279338e-05,1.3445570079539948e-07
1965,2.3595450784341665e-05,1.625196840437937e-07
1966,2.5762790528460755e-05,1.717113213839383e-07
1967,2.5816222660068888e-05,1.6960354543016365e-07
1968,2.613464971545909e-05,1.9358002045777312e-07
1969,2.1883551198698115e-05,1.5623646287821202e-07
1970,2.1228174318821402e-05,1.8854773053966767e-07
1971,2.3115081603464205e-05,1.9371758419595153e-07
1972,2.1097216290399956e-05,2.3957786332573505e-07
1973,1.9676624333442305e-05,1.7917912564779925e-07
1974,1.6812583908176748e-05,1.9295710695921287e-07
1975,1.6530736729691853e-05,2.2217658512957428e-07
1976,1.7641657564126945e-05,2.673930494245802e-07
1977,1.7709094777274004e-05,2.6563053534545134e-07
1978,1.9831475924547703e-05,2.631682085585396e-07
1979,2.041987602297013e-05,2.896726819523465e-07
1980,1.982355286145321e-05,3.394034902015619e-07
1981,2.0960341089448775e-05,3.4790521641347993e-07
1982,2.1080677015561378e-05,3.4141263860476556e-07
1983,2.0978848624508828e-05,3.549207643338548e-07
1984,2.1018505776737584e-05,3.5953851762471345e-07
1985,2.078615830214403e-05,3.8319105366557693e-07
1986,2.2094474616096704e-05,4.0822446045751803e-07
