year,questions_NOUN légales_ADJ
1909,1.7603147384193107e-08
1910,1.1222716089775986e-08
1911,1.0108711201439746e-08
1912,6.251305251225858e-09
1913,1.5378670781274195e-08
1914,1.6072185360371805e-08
1915,1.767114277129167e-08
1916,5.16410700868164e-08
1917,1.2063066989753679e-08
1918,2.8715941624568586e-08
1919,1.2890987832747669e-08
1920,2.4231141537711665e-08
1921,2.5747341259041434e-08
1922,1.696925178151787e-08
1923,1.9108707061121777e-08
1924,1.675911143195208e-08
1925,1.0998178368026856e-08
1926,1.114613823460786e-08
1927,2.2298449753321847e-09
1928,2.170947777102583e-08
1929,2.116677166874581e-08
1930,9.453243521306831e-09
1931,1.1405356659111021e-08
1932,2.301502632917618e-08
1933,3.4411986149507356e-08
1934,1.1981580172459871e-08
1935,1.9149254626427137e-08
1936,8.487300195980652e-09
1937,1.0072894518486919e-08
1938,1.4261736125398272e-08
1939,6.117620188206274e-09
1940,5.0715658339584024e-09
1941,1.7709015143196893e-08
1942,2.7307905936524435e-08
1943,2.0322646676618206e-08
1944,1.2852744646352221e-08
1945,8.714016175304096e-09
1946,5.568441707737293e-09
1947,2.3841742802233057e-08
1948,1.0871888278529696e-08
1949,9.817008428392171e-09
1950,1.2762433776458693e-08
1951,1.9190523947720806e-08
1952,1.370824520563474e-08
1953,1.8315507332999914e-08
1954,1.172704333640695e-08
1955,1.1262729415761896e-08
1956,2.52913103793162e-08
1957,2.7388616541390576e-08
1958,1.7371711180658167e-08
1959,9.300897829689347e-09
1960,1.3149583422134015e-08
1961,1.8760030306985698e-08
1962,1.648908676266103e-08
1963,1.7458343881671112e-08
1964,1.8251904820854037e-08
1965,1.6963333848707407e-08
1966,1.4401594139457075e-08
1967,8.381570104631919e-09
1968,1.0779397818794223e-08
1969,1.090021850558287e-08
1970,1.563566556783691e-08
1971,1.4387513402880359e-08
1972,5.130146973897354e-09
1973,1.3231688744674841e-08
1974,1.0688586016271984e-08
1975,7.996072248772634e-09
1976,2.2282755196556536e-08
1977,9.990529292736028e-09
1978,1.0099005409713868e-08
1979,1.1118749698724173e-08
1980,1.819248263146278e-08
1981,9.488323904349727e-09
1982,1.4898005162855554e-08
1983,8.841442245000053e-09
1984,4.639206796497319e-09
1985,1.2031115659283387e-08
1986,5.2751473467171905e-08
1987,1.1610551631235921e-08
1988,2.7584148298842592e-08
1989,1.7561990972581043e-08
1990,2.0160008773473237e-08
1991,2.5204300868608698e-08
1992,1.9284805363728452e-08
1993,1.440193975188464e-08
1994,1.2132331583813993e-08
1995,1.6809596992128917e-08
1996,1.3345230476247139e-08
1997,9.110299514780706e-09
1998,1.668845261981744e-08
1999,1.4624643551730543e-08
2000,1.9881142399036378e-08
2001,1.3581756164171566e-08
2002,1.8839251936242363e-08
2003,2.625161404923304e-08
2004,1.8500124099318782e-08
2005,2.3419498673682426e-08
2006,1.8118715416903797e-08
2007,2.396687684425025e-08
2008,3.1505052122682287e-08
2009,2.6225058347151275e-08
2010,1.6060896612657416e-08
2011,1.873746313663105e-08
2012,3.6425502947246e-08
2013,2.314973773787088e-08
2014,2.1654451787256335e-08
2015,1.994917848968658e-08
2016,2.2370471974841877e-08
2017,1.3584301072899763e-08
2018,1.7037679711506826e-08
2019,1.913240738060651e-08
