year,questions_NOUN légales_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,3.705644502360883e-08
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,5.148278958699848e-08
1811,0.0
1812,1.600324850414836e-08
1813,1.1502966579257645e-08
1814,0.0
1815,0.0
1816,6.952811659743929e-09
1817,0.0
1818,0.0
1819,5.175524897538253e-09
1820,9.493184904840746e-09
1821,4.930744257336528e-09
1822,1.804610860745015e-08
1823,0.0
1824,5.894778887238772e-09
1825,8.805443041381977e-10
1826,1.145037931138404e-08
1827,9.217273055917019e-10
1828,6.053718948351161e-08
1829,8.573175946935407e-09
1830,5.322786122974321e-08
1831,2.494592976631793e-08
1832,1.7588959622116818e-08
1833,1.0425265983826648e-08
1834,1.5868701908061666e-08
1835,3.781543966852041e-08
1836,2.1506400660342706e-08
1837,1.1132625044041333e-08
1838,1.325553999897977e-08
1839,1.8177836125232716e-08
1840,3.057450559396102e-08
1841,4.494383976094696e-09
1842,6.909512961783548e-08
1843,2.4809025944705354e-08
1844,1.8112252364588244e-08
1845,1.1160455504199973e-08
1846,4.6836010625384006e-09
1847,6.47186837454683e-09
1848,8.045221711050488e-10
1849,1.508294644736452e-08
1850,2.308258650884909e-08
1851,2.2573036106976474e-08
1852,3.2552727624590716e-08
1853,1.970737528722566e-08
1854,6.754363734984281e-09
1855,1.1144567935161831e-08
1856,9.836659486950339e-09
1857,1.8549733749040342e-08
1858,2.202154192332273e-08
1859,2.2405561850291633e-08
1860,1.6935580049448618e-08
1861,2.3108222890755314e-08
1862,1.8523744538256892e-08
1863,4.6449972757045543e-08
1864,3.020678529530585e-08
1865,4.989254875908955e-08
1866,4.81695678899996e-08
1867,3.494024269912188e-08
1868,3.112120694481746e-08
1869,2.2952539424636598e-08
1870,1.8922360567330543e-08
1871,1.4869648623516696e-08
1872,1.69325495846806e-08
1873,2.1549615425442425e-08
1874,1.6728906260254917e-08
1875,3.3184856362833415e-08
1876,3.8089893683590503e-08
1877,1.4843558382438005e-08
1878,2.777980773194244e-08
1879,2.016077260691418e-08
1880,2.5029600836390387e-08
1881,1.6036767913618633e-08
1882,1.7304001787010748e-08
1883,1.579834751908038e-08
1884,1.8484752395409032e-08
1885,1.4180398189012067e-08
1886,2.6459201052375647e-08
1887,1.1752064210668323e-08
1888,2.726464365387926e-08
1889,4.072338882776805e-08
1890,2.6872984115744458e-08
1891,1.8485238229004608e-08
1892,6.2685125978845235e-09
1893,2.4017824618027817e-08
1894,7.561847148451761e-09
1895,1.6250259138317347e-08
1896,1.0614652157237003e-08
1897,1.806281169081103e-08
1898,2.489676231842708e-08
1899,2.04520400615138e-08
1900,9.343895657210055e-09
1901,3.520905567100385e-08
1902,2.4060390124702735e-08
1903,1.78207268941577e-08
1904,6.449550227216605e-09
1905,1.3417973954155116e-08
1906,2.9321851613417493e-08
1907,1.902852098112362e-08
1908,1.7681000885616527e-08
