year,seuls_ADJ yeux_NOUN,seuls_ADJ lieux_NOUN
1800,2.2009151834367913e-08,1.0690159513160324e-07
1801,2.6193008650921e-08,2.6193008650921e-08
1802,2.2378401354217203e-09,5.818384352096473e-08
1803,1.950339223455444e-09,4.4857802805609026e-08
1804,0.0,4.69651695311768e-08
1805,0.0,8.528632911009026e-09
1806,8.645007376628655e-09,5.76333825108577e-09
1807,2.8469551160981155e-09,3.9857372513552036e-08
1808,6.798221985349073e-09,7.251436784372345e-08
1809,0.0,9.036122072814123e-09
1810,4.680253518074551e-09,7.956430891908894e-08
1811,5.0141535368197765e-09,8.022645658911642e-08
1812,2.6672082320544632e-09,9.068507722531649e-08
1813,2.8757416448144113e-09,5.176335093892703e-08
1814,1.2586708564299443e-08,8.810695817373926e-08
1815,2.697223555614414e-09,3.776112933451259e-08
1816,4.6352077731626196e-09,3.476405652236281e-08
1817,6.227493631882908e-09,3.580808893843823e-08
1818,9.536941902865692e-09,2.384235386898581e-08
1819,4.140420006848444e-09,3.8298885840504227e-08
1820,8.306536791735653e-09,4.9839222526770754e-08
1821,1.4792232327920374e-08,2.5639868894700157e-08
1822,0.0,5.9151133768864383e-08
1823,1.1859224713361982e-08,1.2649839220557624e-07
1824,6.736890156844311e-09,5.3895121254754486e-08
1825,1.7610886970942374e-08,6.956300069305144e-08
1826,1.5854372037438225e-08,6.605988289720699e-08
1827,4.608636583469661e-09,7.742509211539073e-08
1828,1.4675682002973645e-08,2.4765213879618386e-08
1829,1.1145129263923081e-08,4.200856196234781e-08
1830,2.0873671680021744e-09,3.652892388572582e-08
1831,9.354723218280014e-09,1.4032085715598441e-08
1832,8.117981842303834e-09,3.111892965534935e-08
1833,1.1583628500844156e-09,1.0772774317047151e-07
1834,1.4001796166951408e-08,1.120143711119681e-08
1835,7.563087933704082e-10,8.31939672707449e-08
1836,7.392825018825988e-09,5.1749776019960336e-08
1837,8.349468672008697e-09,7.375364674544471e-08
1838,5.680945491803868e-09,4.292270006089893e-08
1839,6.9914751765765e-10,6.85164565084051e-08
1840,1.1465439264668476e-08,5.5416290223320175e-08
1841,1.926164561183441e-09,5.072233477676491e-08
1842,8.720745015011744e-09,6.842430622100437e-08
1843,5.31621990873532e-09,2.7171790151214736e-08
1844,1.6465684371524958e-09,4.061535463506516e-08
1845,1.674068439427856e-09,6.584669165476953e-08
1846,4.6836010625384006e-09,5.971591576781066e-08
1847,0.0,4.7460368080010085e-08
1848,1.126331028444838e-08,2.896279838182636e-08
1849,5.865590679832167e-09,2.3462362719328667e-08
1850,2.0366988096043315e-09,3.1229383523623255e-08
1851,1.9348316282474798e-09,3.5471913406581734e-08
1852,3.2552727180501506e-09,5.9245962802378926e-08
1853,3.5831591027601917e-09,3.642878354526147e-08
1854,7.79349651480743e-09,2.8576154775805662e-08
1855,5.837630823180007e-09,5.466145225341279e-08
1856,7.248064815001953e-09,4.504154560436291e-08
1857,9.763018171682347e-10,3.221796163188628e-08
1858,1.2723557318849998e-08,2.936205589776364e-08
1859,4.073738679721828e-09,5.601390640208592e-08
1860,7.781213007262977e-09,3.158256944857385e-08
1861,2.357981809808507e-09,3.1125360067107977e-08
1862,8.584174260306554e-09,4.337266901188741e-08
1863,7.991393324857654e-09,5.094513255698985e-08
1864,3.3563094525845827e-09,2.8768367243969806e-08
1865,6.589582213223366e-09,2.8241066374334878e-08
1866,1.1190909532388105e-08,2.1408697037372804e-08
1867,5.82337378318698e-09,3.2513838732484146e-08
1868,3.951899252285784e-09,4.100095551962113e-08
1869,4.395167341186834e-09,2.2952539424636598e-08
1870,1.1468097582678638e-09,3.55511033944822e-08
