year,vous_PRON avez_VERB,vous_PRON lavez_VERB
1800,7.903486039140262e-05,4.4018302336468196e-08
1801,9.975011926144361e-05,9.048493865293494e-08
1802,8.137905388139188e-05,2.4616241489638924e-08
1803,8.51284057716839e-05,4.29074642482874e-08
1804,0.00012464308201742824,6.426812415583072e-08
1805,9.390878221893217e-05,6.822906595260747e-08
1806,0.00011218337749596685,6.051505341275742e-08
1807,7.531619849032722e-05,3.9857373401730456e-08
1808,6.651153671555221e-05,4.75875534533543e-08
1809,7.863911378080957e-05,1.3554183109221185e-08
1810,0.00010680338164092973,4.68025347366563e-08
1811,6.633975863223895e-05,6.016984421819416e-08
1812,7.471650496881921e-05,2.400487275622254e-08
1813,6.913857941981405e-05,4.601186454067374e-08
1814,8.360721039935015e-05,2.2026740431613234e-08
1815,7.941705189296044e-05,7.01278137782424e-08
1816,8.300266927108169e-05,3.0128852301913867e-08
1817,9.777009472600184e-05,3.736496234640896e-08
1818,9.555181350151543e-05,3.814776583510593e-08
1819,9.990523358283099e-05,2.89829396038499e-08
1820,0.00011303061000944581,5.458581497919113e-08
1821,0.00015650182467652485,3.944595206029078e-08
1822,0.00012206688370497432,4.210758675071702e-08
1823,0.0001056261589837959,6.819054032547456e-08
1824,9.924954792950302e-05,3.8737120178211626e-08
1825,9.701132512418553e-05,3.2580137920845686e-08
1826,8.585670730099082e-05,4.051672641836035e-08
1827,8.520631308783777e-05,1.8434545889789433e-08
1828,0.00010263254807796329,2.4765212991439967e-08
1829,8.16260690044146e-05,1.6289034676653102e-08
1830,9.39315214054659e-05,3.861629238599562e-08
1831,9.909770778904203e-05,2.02685670469549e-08
1832,0.0001076282023859676,2.4353944194643873e-08
1833,9.063030847755726e-05,2.548398292390175e-08
1834,0.0001032604486681521,3.827157635249989e-08
1835,0.00011619399083429016,3.100866052818674e-08
1836,0.00010199545067735016,2.553884992373412e-08
1837,9.154218605544884e-05,2.7831563720326358e-08
1838,8.836711094772909e-05,2.5248647617104325e-08
1839,9.056197632162366e-05,3.355908129165641e-08
1840,9.788300849322695e-05,2.1656941795455964e-08
1841,9.394482185598463e-05,1.733548149474018e-08
1842,9.614218470233027e-05,2.4149753308222444e-08
1843,8.860898378770798e-05,1.8311424432315704e-08
1844,8.897452062228695e-05,4.555505972447804e-08
1845,8.8171511379187e-05,2.455300301962282e-08
1846,9.154273539024871e-05,3.337065823671992e-08
1847,8.498210445395671e-05,1.7797637141825362e-08
1848,9.59272038016934e-05,1.769948765328877e-08
1849,9.351678272651043e-05,1.5920888163378777e-08
1850,8.950001392804552e-05,3.2587180953669304e-08
