year,avons_VERB assez_ADV,avons_VERB lassé_VERB
1800,5.219313266024983e-07,0.0
1801,5.071918849353096e-07,0.0
1802,4.900870180790662e-07,2.2378401354217203e-09
1803,5.363432933336298e-07,0.0
1804,4.375176274606929e-07,4.943701892301533e-09
1805,4.4348891492518305e-07,0.0
1806,2.679952331163804e-07,0.0
1807,2.932363827312656e-07,0.0
1808,5.665185085490521e-07,0.0
1809,3.411136049180641e-07,0.0
1810,4.3058332721557235e-07,0.0
1811,3.484836668121716e-07,0.0
1812,3.334010330036108e-07,0.0
1813,2.7894694198948855e-07,0.0
1814,4.940283133691992e-07,0.0
1815,4.7471135644627793e-07,2.697223555614414e-09
1816,4.3339193211977545e-07,4.6352077731626196e-09
1817,4.0011647683968476e-07,0.0
1818,6.008273203406134e-07,3.5763532135746345e-09
1819,7.09046901192778e-07,0.0
1820,5.565379410654714e-07,0.0
1821,5.542156600313319e-07,0.0
1822,6.085548989176459e-07,0.0
1823,4.80298581351235e-07,0.0
1824,5.482144160851021e-07,0.0
1825,4.578830328227923e-07,8.805443041381977e-10
1826,5.082206939732714e-07,0.0
1827,4.940458211422083e-07,0.0
1828,4.3935324356425554e-07,4.586150570418113e-09
1829,5.058174110672553e-07,2.571952872898464e-09
1830,5.134922957950039e-07,0.0
1831,6.08057064255263e-07,0.0
1832,4.383710177080502e-07,0.0
1833,5.838148808834376e-07,0.0
1834,6.944890742488496e-07,0.0
1835,5.68744212614547e-07,7.563087933704082e-10
1836,6.539289643114898e-07,1.3441500135158435e-09
1837,7.062259328449727e-07,6.957891152126194e-09
1838,6.444717541853606e-07,0.0
1839,6.488089070444403e-07,6.9914751765765e-10
1840,6.032095143382321e-07,0.0
1841,7.512041975132888e-07,0.0
1842,6.231978204596089e-07,6.708265054555795e-10
1843,5.983700930300984e-07,0.0
1844,6.213051619852195e-07,5.488561272137815e-10
1845,6.701853862978169e-07,4.464182357111213e-09
1846,7.171764195845753e-07,0.0
1847,5.533447620109655e-07,5.393223645455691e-10
1848,5.108715868118452e-07,0.0
1849,7.48281763662817e-07,0.0
1850,5.784224867966259e-07,0.0
1851,6.997640866757138e-07,6.449438760824933e-10
1852,5.358178896130994e-07,0.0
1853,5.547924502025126e-07,0.0
1854,6.224406092769641e-07,3.63696517347023e-09
1855,5.832324063703709e-07,0.0
1856,5.839869459123292e-07,2.5885946719483854e-09
1857,5.120703008287819e-07,0.0
1858,5.564109528677363e-07,9.787352039936081e-10
1859,6.202267286425922e-07,0.0
1860,6.444674909289461e-07,4.577183909670879e-10
1861,6.144900908111595e-07,1.4147891747029462e-09
1862,6.316144549600722e-07,9.035972525772706e-10
1863,6.32318972293433e-07,1.4983863039219614e-09
1864,6.213967367330042e-07,4.794727948009836e-10
1865,5.563489935411781e-07,2.8241067262513297e-09
1866,5.989569444864173e-07,0.0
1867,5.925282948737731e-07,9.7056229719783e-10
1868,6.500874292214576e-07,7.903798504571569e-09
1869,6.309506943580345e-07,1.4650557433881772e-09
1870,5.682442179022473e-07,0.0
1871,6.436433181988832e-07,1.0621177271019633e-09
1872,6.156191147965728e-07,0.0
1873,5.692690479008888e-07,0.0
1874,5.741599125030916e-07,0.0
1875,6.562591465808509e-07,5.721527140956084e-10
1876,5.725576102122432e-07,1.813804439976252e-09
1877,5.739508992519404e-07,0.0
1878,5.501609621205716e-07,6.039088673581716e-10
1879,5.35787819444522e-07,3.0546627449723474e-09
1880,4.723534914319316e-07,6.417846254436199e-10
1881,4.943507860843965e-07,0.0
1882,5.909981837248779e-07,1.3310770263785798e-09
1883,5.213454414843e-07,1.8958017378167824e-09
1884,5.142721875017742e-07,6.601696966868076e-10
1885,4.776215973834042e-07,6.445635691854079e-10
1886,5.408002721196681e-07,6.453463874400711e-10
1887,5.144792680766841e-07,0.0
1888,4.1087182012233825e-07,0.0
1889,4.7113829282352526e-07,5.6386229019267375e-09
1890,4.6863863190083066e-07,1.3108772956016423e-09
1891,4.716922887837427e-07,3.824531802365527e-09
1892,5.271818963592523e-07,0.0
1893,5.573367047873035e-07,0.0
1894,4.833280513594218e-07,0.0
1895,4.5801655801369634e-07,6.018614495673091e-10
1896,3.9745975755067775e-07,1.7691086373616827e-09
1897,5.02845352912118e-07,0.0
1898,5.652696586366801e-07,0.0
1899,5.129592750563461e-07,1.1055156790007459e-09
1900,5.36754896529601e-07,0.0
1901,4.716895602996374e-07,5.588738916095792e-10
1902,4.0755355712462915e-07,0.0
1903,4.509184066137095e-07,0.0
1904,4.928531325276708e-07,2.6873125946735854e-09
1905,5.40331484444323e-07,0.0
1906,4.521738219409599e-07,1.5432553013283723e-09
1907,5.518270995708008e-07,0.0
1908,5.043996793574479e-07,9.822778146428846e-10
1909,5.187427518649201e-07,0.0
