year,avons_VERB eu_VERB,avons_VERB lu_VERB
1800,5.4959996305115055e-06,3.018398047061055e-07
1801,5.162403795111459e-06,4.4766233031623415e-07
1802,4.486869329412002e-06,2.394488944901241e-07
1803,4.0976628952194005e-06,4.661310697429144e-07
1804,4.130462912144139e-06,3.015658194271964e-07
1805,5.134237198944902e-06,3.439882050315646e-07
1806,5.795036486233585e-06,4.437770542153885e-07
1807,4.939467089570826e-06,2.6476683956389024e-07
1808,4.4551015889737755e-06,3.8296650473057525e-07
1809,4.897578037343919e-06,3.727400326170027e-07
1810,5.06169408254209e-06,4.633450885194179e-07
1811,5.011646408092929e-06,4.813587111129891e-07
1812,5.035689355281647e-06,2.7738965968637785e-07
1813,5.521424100152217e-06,3.393375038740487e-07
1814,5.893726211070316e-06,4.405347908686963e-07
1815,4.8711858653405216e-06,3.37152954443809e-07
1816,5.242419774731388e-06,4.1021587549039396e-07
1817,5.352530934032984e-06,4.141283227454551e-07
1818,5.480165327753639e-06,5.400293616730778e-07
1819,5.4943375289440155e-06,5.361844159779139e-07
1820,5.676924502040492e-06,4.782191922458878e-07
1821,6.042133918526815e-06,4.772960551235883e-07
1822,6.078530986997066e-06,4.621808784577297e-07
1823,5.089583737571957e-06,4.2594379578986263e-07
1824,5.3575117817672435e-06,5.187405349715846e-07
1825,5.124767994857393e-06,5.371320526137424e-07
1826,5.075160515843891e-06,5.584262225966086e-07
1827,5.169046744413208e-06,5.502711815097427e-07
1828,5.734522801503772e-06,5.365796482692531e-07
1829,5.930923180130776e-06,5.503978854903835e-07
1830,6.597123956453288e-06,6.575206725756289e-07
1831,6.5701342464308254e-06,6.782174750696868e-07
1832,7.41171743356972e-06,6.440265565288428e-07
1833,6.281801688601263e-06,7.135515147638216e-07
1834,6.373617907229345e-06,7.514297521993285e-07
1835,5.749459432990989e-06,6.020218279445544e-07
1836,5.705916919396259e-06,5.867214554200473e-07
1837,6.503540589619661e-06,4.919228899780137e-07
1838,5.803401563753141e-06,4.147090351125371e-07
1839,6.423068043659441e-06,5.047845093031356e-07
1840,6.347394901240477e-06,6.070313247619197e-07
1841,6.819264399382519e-06,8.69984319251671e-07
1842,6.369497896230314e-06,7.03026159953879e-07
1843,6.5123695094371215e-06,7.897539830992173e-07
1844,6.516568646475207e-06,7.486397635148023e-07
1845,6.528308858833043e-06,7.19849424513086e-07
1846,7.029499556665542e-06,7.850886163396353e-07
1847,6.615327947656624e-06,7.755455726510263e-07
1848,7.989709956746083e-06,8.029131208786566e-07
1849,8.30986573419068e-06,9.15870032258681e-07
1850,7.4468498496571556e-06,7.23706989447237e-07
1851,6.396553544618655e-06,8.629348826616479e-07
1852,7.048316547297873e-06,7.851717782614287e-07
1853,7.184831247286638e-06,7.751567636660184e-07
1854,6.976218628551578e-06,7.419408802888938e-07
1855,6.713275524816709e-06,7.254582783389196e-07
1856,6.865470822958741e-06,7.895213798292389e-07
1857,7.502391326852376e-06,8.396195880777668e-07
1858,7.304790415219031e-06,8.842872603054275e-07
1859,7.523176918766694e-06,9.114990575653792e-07
1860,7.990847734618e-06,9.451885034650331e-07
1861,7.5530874710239004e-06,8.979195058600453e-07
1862,7.894277587183751e-06,8.362792414118303e-07
1863,7.718686902080663e-06,7.946441655803937e-07
1864,7.666770216019358e-06,7.863353630455094e-07
1865,8.00728321337374e-06,8.397010446969944e-07
1866,7.5081275099364575e-06,8.41264466089342e-07
1867,7.640266630914994e-06,6.77452476338658e-07
1868,8.38148389448179e-06,7.222095632641867e-07
1869,8.08808454166865e-06,9.010092867356434e-07
1870,7.797732905601151e-06,7.70656129134295e-07
1871,1.017190152197145e-05,9.420984383723408e-07
1872,9.682395102572627e-06,7.583363412777544e-07
1873,8.807806807453744e-06,6.584604648196546e-07
1874,8.930248441174626e-06,6.243466827982047e-07
1875,8.498756869812496e-06,6.699908112750563e-07
1876,8.36284743854776e-06,7.164527460190584e-07
1877,7.844820174796041e-06,8.838102303343476e-07
1878,8.082112799456809e-06,7.120085570022638e-07
1879,8.615370461484417e-06,7.477814278900041e-07
1880,8.675002391100861e-06,6.578292186532053e-07
1881,9.539784514345229e-06,7.837098792151664e-07
1882,9.057313945959322e-06,6.994809496063681e-07
1883,9.285005035053473e-06,7.216685276034696e-07
1884,9.052247150975745e-06,6.971391712795594e-07
1885,9.241108273272403e-06,6.742134814885503e-07
1886,8.748960681259632e-06,6.995554713284946e-07
1887,8.925039765017573e-06,7.109998705345788e-07
1888,9.266173947253264e-06,6.835182375652948e-07
1889,9.845035492617171e-06,6.396704748112825e-07
1890,9.277078788727522e-06,7.347467203544511e-07
1891,9.458704880671576e-06,6.297729555626574e-07
1892,9.592704373062588e-06,7.277743065969844e-07
1893,9.629916348785628e-06,5.992139335830871e-07
1894,9.303592378273606e-06,5.620972842734773e-07
1895,9.76760929916054e-06,6.319545491351164e-07
1896,9.598003998689819e-06,4.770696477862657e-07
1897,9.611746463633608e-06,6.112222763476893e-07
1898,1.005206740956055e-05,5.415045620793535e-07
1899,9.461003173782956e-06,5.571798737946665e-07
1900,9.29458110476844e-06,4.7550045678690367e-07
1901,9.912187124427874e-06,5.415487862592272e-07
1902,8.936716767493635e-06,5.121426056575729e-07
1903,9.595651135896333e-06,5.043805799687107e-07
1904,9.91457091004122e-06,4.950030074724054e-07
1905,9.450897778151557e-06,5.965837317489786e-07
1906,9.348012099508196e-06,5.674035605807148e-07
1907,9.272032002627384e-06,5.358842827263288e-07
1908,9.519745617581066e-06,5.235540925241366e-07
1909,9.59426506597083e-06,5.291946081342758e-07
1910,9.857820259639993e-06,5.285364750307053e-07
1911,9.111672625294887e-06,4.724492157492932e-07
1912,9.582729944668245e-06,5.48031096059276e-07
1913,9.410155143996235e-06,5.382534595810284e-07
1914,9.80738150246907e-06,4.654236818169011e-07
1915,1.1864405678352341e-05,5.86681949243939e-07
1916,1.1368727427907288e-05,6.196928552526515e-07
1917,1.0969713912345469e-05,6.283761422309908e-07
1918,1.0075848877022509e-05,5.42156953997619e-07
1919,9.44356906984467e-06,5.340552320376446e-07
1920,8.917059858504217e-06,4.770506052409473e-07
