year,longues_ADJ lames_NOUN
1800,1.8864987794131594e-08
1801,3.333655484993869e-08
1802,8.951360541686881e-09
1803,7.801356893821776e-09
1804,1.9774807569206132e-08
1805,5.685755422035754e-09
1806,2.881669125542885e-09
1807,2.562259560079383e-08
1808,2.4926814390369145e-08
1809,2.4849335034105025e-08
1810,4.680253518074551e-09
1811,2.0056614147279106e-08
1812,1.3336041604361526e-08
1813,0.0
1814,2.5173417128598885e-08
1815,1.8880564667256294e-08
1816,2.5493642752394408e-08
1817,1.0898113522728181e-08
1818,1.7881765401739358e-08
1819,1.1386155129855524e-08
1820,2.254631326081835e-08
1821,6.903041693817613e-09
1822,8.02049271442229e-09
1823,2.9648060007048116e-08
1824,6.905312233129735e-08
1825,2.289415235168235e-08
1826,3.6112734136395375e-08
1827,4.608636672287503e-08
1828,1.9261833017480967e-08
1829,3.600733933240008e-08
1830,2.817945699007396e-08
1831,9.354723218280014e-09
1832,6.494385473843067e-08
1833,1.5290389399069682e-07
1834,4.667265329771908e-08
1835,3.554651328840919e-08
1836,4.368487438455304e-08
1837,6.122944284925325e-08
1838,3.9135404250600914e-08
1839,4.824117993962318e-08
1840,6.305991462340899e-08
1841,4.751206006403663e-08
1842,3.6895457355967665e-08
1843,3.898561473647533e-08
1844,4.171306500211358e-08
1845,3.459741293454499e-08
1846,3.3956109035671034e-08
1847,2.8584086209093584e-08
1848,1.287235473768078e-08
1849,3.5193544078993e-08
1850,2.7834882843080777e-08
1851,2.902247508984601e-08
1852,6.705861466116403e-08
1853,3.642878354526147e-08
1854,4.1565314745639625e-08
1855,2.653468555990912e-08
1856,2.692138423299184e-08
1857,4.149282872845106e-08
1858,1.8106600663259087e-08
1859,2.34239969643113e-08
1860,2.0597328287408345e-08
1861,3.914249901981748e-08
1862,3.975828022362293e-08
1863,3.096664968893492e-08
1864,2.0617330065419992e-08
1865,7.342676866528564e-08
1866,4.330395597662573e-08
1867,2.6690463172940326e-08
1868,1.9265508299781686e-08
1869,4.5905078849273195e-08
1870,3.899153000475053e-08
1871,3.292564798584863e-08
1872,2.660829245826335e-08
1873,3.352162636360845e-08
1874,3.7042575229406793e-08
1875,2.4030413214859436e-08
1876,4.17175023414984e-08
1877,3.3398006138440905e-08
1878,3.925407554561389e-08
1879,7.697749992985337e-08
1880,2.3104245627791897e-08
1881,5.0899306103247e-08
1882,4.059785041476971e-08
1883,3.791603475633565e-08
1884,3.300848305798354e-08
1885,2.513797880965285e-08
1886,4.2592862570245416e-08
1887,4.570247114088488e-08
1888,3.297119732792453e-08
1889,3.947036120166558e-08
1890,4.4569826940232815e-08
1891,4.143242904319777e-08
1892,2.3193495124473884e-08
1893,3.1407925149551374e-08
1894,4.0329851458409394e-08
1895,3.8519132772307785e-08
1896,3.774098544795379e-08
1897,5.535378022614168e-08
1898,5.714938566825367e-08
1899,6.356714976618605e-08
1900,4.360484595622438e-08
1901,3.073806453812722e-08
1902,2.8479647085077886e-08
1903,3.294134387488157e-08
1904,2.741058935384899e-08
1905,3.354493216534138e-08
1906,4.1153477070565714e-08
1907,6.942838837176168e-08
1908,2.3083527977973972e-08
1909,3.740668930163338e-08
1910,3.954671612405036e-08
1911,2.979409430281521e-08
1912,1.0418842677495377e-08
1913,2.3863453435524207e-08
1914,2.4777952134513725e-08
1915,1.6493066468115103e-08
1916,7.69122365795738e-09
1917,2.631941953268324e-08
1918,1.9526840588923733e-08
1919,2.5781975665495338e-08
1920,4.391894492528081e-08
1921,3.483463828501954e-08
1922,3.098733003525922e-08
1923,2.866305948145964e-08
1924,4.769901096324247e-08
1925,3.299453510408057e-08
1926,2.229227646921572e-08
1927,4.2367055641534535e-08
1928,2.399468712610542e-08
1929,1.6710609784809094e-08
1930,1.995684684175103e-08
1931,2.5091784650044247e-08
1932,3.7262424257278326e-08
1933,3.4411986149507356e-08
1934,2.156684431042777e-08
1935,3.4708023122220766e-08
1936,2.66743711563322e-08
1937,2.0145789036973838e-08
1938,2.463390735840676e-08
1939,4.8940961505650193e-08
1940,7.607348528892999e-09
1941,2.066051862925633e-08
1942,3.034211815133858e-08
1943,1.4516175816936538e-08
1944,1.927911696952833e-08
1945,2.3963544037997053e-08
1946,1.8097434661967782e-08
1947,3.814678706248742e-08
1948,2.391815279167986e-08
1949,1.47255123650325e-08
1950,2.6588404367089424e-08
1951,3.5182626589858046e-08
1952,3.1634410646574906e-08
1953,2.8011951869189033e-08
1954,4.593092128857279e-08
1955,2.627970197011109e-08
1956,1.9186511934776718e-08
1957,2.8272120644601273e-08
1958,1.9853384713997002e-08
1959,1.6276571201956358e-08
1960,2.145458388724819e-08
1961,2.501337270643944e-08
1962,1.4586500007851555e-08
1963,5.108181966306802e-08
1964,1.0951143103454797e-08
1965,1.586892572902343e-08
1966,3.6557892713062756e-08
1967,2.6130779318123132e-08
1968,1.392338955241712e-08
1969,2.4525492747784483e-08
1970,1.3336302728816918e-08
1971,3.0316545718278576e-08
1972,2.3598675014113724e-08
1973,1.9847533394568018e-08
1974,2.2502286256553816e-08
1975,1.6563292959403952e-08
1976,2.9138986334942274e-08
1977,2.11564152863275e-08
1978,1.900989232694883e-08
1979,2.3407892513205297e-08
1980,2.7288724169238776e-08
1981,2.277197808098208e-08
1982,2.5450759721934446e-08
1983,2.9681984869966982e-08
1984,2.2616132966390978e-08
1985,3.4890238254092765e-08
1986,4.3160294893596074e-08
1987,3.483165755824302e-08
1988,3.47800117594943e-08
1989,2.3050112929468014e-08
1990,2.45189291092629e-08
1991,2.05151273746651e-08
1992,1.983579878128694e-08
1993,2.1048988330107932e-08
1994,2.0572214154412904e-08
1995,3.253470381991974e-08
1996,2.6156651955488996e-08
1997,1.6302641014931396e-08
1998,2.8131962537258914e-08
1999,3.701862993921168e-08
2000,2.1206551181762734e-08
2001,2.190605918883648e-08
2002,2.8039817578928705e-08
2003,2.1667998950647416e-08
2004,3.1274016265570026e-08
2005,2.567137258324692e-08
2006,1.8118715416903797e-08
2007,3.0358044966760644e-08
2008,2.5118893631770334e-08
2009,2.0503227560197956e-08
2010,1.8895171649546683e-08
2011,2.829739287335542e-08
2012,4.017018184754306e-08
2013,4.1000138395475005e-08
2014,4.2659269894329555e-08
2015,3.879006982288047e-08
2016,3.624845135163923e-08
2017,4.3771638758016707e-08
2018,5.885744158717898e-08
2019,4.5662680747682316e-08
