year,seules_ADJ armes_NOUN,seules_ADJ larmes_NOUN
1866,1.605652215630471e-07,9.244664589402873e-09
1867,1.6790727386251092e-07,2.4749338578544666e-08
1868,1.8820919933659752e-07,1.2843672791973404e-08
1869,1.6945811864843563e-07,2.0999133099053324e-08
1870,1.4736505704604497e-07,1.490852596930381e-08
1871,1.4444800910951017e-07,3.18635318130589e-09
1872,1.7597757562271e-07,7.256807155187062e-09
1873,1.747913245253585e-07,2.3944017879529156e-09
1874,1.410007826052606e-07,5.377148060148329e-09
1875,1.4074956311560527e-07,9.154443425529735e-09
1876,1.0822366647289527e-07,7.859819461941697e-09
1877,1.3173658430787327e-07,9.895705588292003e-09
1878,1.5882802983924194e-07,4.831270938865373e-09
1879,1.5090033400610992e-07,1.0996785704264767e-08
1880,1.476104642961218e-07,6.417846254436199e-09
1881,1.478171611779544e-07,5.5780060570498335e-09
1882,1.1380708286878871e-07,2.6621540527571597e-09
1883,9.163041170268116e-08,6.951272890631799e-09
1884,1.2543223704142292e-07,6.601696966868076e-09
1885,1.0248560755599101e-07,5.156508553483263e-09
1886,1.0002869288427974e-07,2.5813855497602844e-09
1887,8.487602087825508e-08,5.876032105334161e-09
1888,9.891358843105991e-08,5.706553452000662e-09
1889,1.1841108715771043e-07,9.397704836544563e-09
1890,1.264996569716459e-07,3.2771931834929546e-09
1891,9.242619114502304e-08,2.5496880162734215e-09
1892,1.2662394510698505e-07,7.522214851007902e-09
1893,8.80653558965605e-08,6.15841644346915e-09
1894,9.137232126477102e-08,3.150769645188234e-09
1895,1.0953878160080421e-07,2.4074457982692365e-09
1896,7.430256232510146e-08,6.486732040400511e-09
1897,8.856604694074122e-08,7.574727511894253e-09
1898,1.1486460493870254e-07,6.224190496340043e-09
1899,1.0226020208392583e-07,7.738609753005221e-09
1900,1.1212674877469908e-07,1.245852754294674e-08
1901,7.712459648701042e-08,7.824234593556412e-09
1902,8.936716255902866e-08,9.820567470342212e-09
1903,7.93832413137352e-08,8.640352433531007e-09
1904,8.06193796165644e-08,3.2247751136083025e-09
1905,1.1353670004154992e-07,1.0837593933388234e-08
1906,6.533114316198407e-08,4.629765903985117e-09
1907,8.537119811080629e-08,1.131425531042396e-08
1908,8.889614377949329e-08,6.384805573134145e-09
1909,7.261298407001959e-08,1.1001967115120692e-09
1910,9.726354477379573e-08,3.740905363258662e-09
1911,8.885024982419054e-08,6.916486494645824e-09
1912,6.407588415413557e-08,1.3023552902780011e-08
1913,7.84842484335968e-08,6.363587878865928e-09
1914,8.10305991194582e-08,4.018046340092951e-09
1915,6.243804051564439e-08,0.0
1916,8.899844061716067e-08,1.0987462051303964e-09
1917,9.650453591802943e-08,5.483212106582869e-09
1918,5.858051821405752e-08,4.594550517822427e-09
1919,1.0681104356535798e-07,2.762354567309444e-09
1920,2.3473917920568965e-08,2.2716695191604686e-09
1921,7.19411019645122e-08,6.815472630705699e-09
1922,8.853522359686394e-08,7.377935595798135e-09
1923,5.732611896291928e-08,1.0615948120573648e-09
1924,8.766304659957314e-08,7.734974438733389e-09
1925,5.49908882874206e-08,8.798542339150117e-09
1926,5.3501466368288675e-08,1.3375366592072169e-08
1927,5.351628118432927e-08,4.4596899506643695e-09
1928,7.198406137831626e-08,1.2568645679778001e-08
1929,7.464072382390441e-08,1.1140405931087116e-08
1930,7.037414206934045e-08,7.352522590764465e-09
1931,7.641588695150858e-08,5.7026783295555106e-09
1932,7.562080384104775e-08,3.287861094491973e-09
1933,9.520649513206081e-08,5.735331320977366e-09
1934,8.267290496632995e-08,1.0783422155213884e-08
1935,8.856530087086867e-08,8.377798899061872e-09
1936,7.759817322039453e-08,9.699771652549316e-09
1937,7.051026074123001e-08,0.0
1938,5.963998717106733e-08,5.186085783037697e-09
1939,8.564668263488784e-08,0.0
1940,7.60734906180005e-08,2.5357829169792012e-09
1941,8.854507882460894e-08,8.854508237732261e-09
1942,6.675266206457309e-08,6.068423541449874e-09
1943,4.935499831049128e-08,8.709705845433291e-09
1944,1.0603514510876266e-07,6.4263723231761105e-09
1945,8.278315277721049e-08,2.178504043826024e-09
1946,7.238973864787113e-08,0.0
1947,1.001353169272079e-07,1.0728784083369192e-08
1948,7.175445659868274e-08,2.2830963786191205e-08
1949,8.737137591197097e-08,7.853606653895895e-09
1950,1.0848068399127442e-07,7.444753258312176e-09
1951,7.036525317971609e-08,1.2793682557799002e-08
