year,cents_ADJ âmes_NOUN,cents_ADJ ames_NOUN,cents_ADJ lames_NOUN
1800,6.288328968651058e-09,6.288328791015374e-08,0.0
1801,1.4287095950749062e-08,1.4287095950749062e-08,0.0
1802,1.5664880947952042e-08,6.489736392722989e-08,0.0
1803,1.950339223455444e-09,2.9255089017965474e-08,0.0
1804,0.0,2.7190360185613827e-08,0.0
1805,2.842877711017877e-09,5.1171799242411e-08,0.0
1806,2.881669125542885e-09,8.645007376628655e-09,0.0
1807,2.8469551160981155e-09,1.7081731584767113e-08,0.0
1808,2.039466551195801e-08,3.852325747288887e-08,0.0
1809,2.4849335034105025e-08,2.710836710662079e-08,0.0
1810,7.020380277111826e-09,6.31834211617388e-08,0.0
1811,2.2563691359778204e-08,2.5070768572277302e-08,0.0
1812,5.3344164641089264e-09,8.801787032552966e-08,0.0
1813,5.751483289628823e-09,0.0,0.0
1814,3.4613449884091096e-08,3.1466771410748606e-09,0.0
1815,1.2407228666688752e-07,5.394447111228828e-09,0.0
1816,2.3176038865813098e-08,1.8540831092650478e-08,0.0
1817,3.113746771532533e-08,2.3353100786493997e-08,0.0
1818,2.6226590676969863e-08,3.5763532135746345e-09,0.0
1819,2.794783426907088e-08,2.070209959015301e-08,0.0
1820,4.9839222526770754e-08,1.0679833017945839e-08,0.0
1821,6.01550809165019e-08,2.3667571014129862e-08,0.0
1822,5.413832582235045e-08,8.02049271442229e-09,0.0
1823,1.581229902569703e-08,3.360113609574e-08,0.0
1824,7.326367779114662e-08,7.57900142644985e-09,0.0
1825,7.924898959288385e-09,1.7610886970942374e-08,0.0
1826,6.253669226907732e-08,4.844391554570393e-08,0.0
1827,5.622536392024813e-08,1.013900075008678e-08,0.0
1828,1.1098484264948638e-07,1.559291185060374e-08,0.0
1829,5.829759786024624e-08,2.3147574523818548e-08,0.0
1830,2.922314124020886e-08,2.7135772739939057e-08,4.174734336004349e-09
1831,6.236482619215167e-08,6.548306430431694e-08,0.0
1832,4.464889968858188e-08,1.2176972319366541e-08,0.0
1833,7.645194699534841e-08,1.9692167896323554e-08,0.0
1834,1.5868701908061666e-08,2.8937046536725575e-08,0.0
1835,2.949604294144592e-08,4.5378527602224494e-09,0.0
1836,3.1587525484155776e-08,2.352262562510532e-08,0.0
1837,4.940102726891382e-08,3.6181031504156635e-08,0.0
1838,6.185918977053007e-08,3.597932263232906e-08,0.0
1839,5.942753844578874e-08,2.7965900706306e-09,0.0
1840,3.694419348221345e-08,1.2102408852854296e-08,6.369688665408546e-10
1841,4.8796167106957e-08,3.467096121312352e-08,0.0
1842,8.117000760421433e-08,7.379091560011375e-09,2.683306021822318e-09
1843,4.548321541619771e-08,2.1855571574747046e-08,0.0
1844,4.665277231197251e-08,6.037417232818143e-09,1.097712254427563e-09
1845,4.910600637231255e-08,3.348136878855712e-09,0.0
1846,3.102885770545072e-08,1.6392604607062822e-08,0.0
1847,5.2314270249098627e-08,4.853901280910122e-09,1.6179670936367074e-09
1848,5.309846429213394e-08,3.218088684420195e-09,0.0
1849,8.211826951765033e-08,1.6758829879393033e-09,0.0
1850,3.326607966869233e-08,2.4440385715251978e-08,0.0
1851,7.739326690625603e-08,3.8696632564949596e-09,0.0
1852,6.315229228448516e-08,3.2552727180501506e-09,0.0
1853,5.5538965426649156e-08,1.7915795513800958e-09,0.0
1854,3.065441944727354e-08,0.0,0.0
1855,3.555647865027822e-08,1.5920811335945473e-09,5.306937111981824e-10
1856,2.5368226630462232e-08,5.177189232874468e-10,0.0
1857,4.881509241272397e-08,3.905207268672939e-09,0.0
1858,4.306435030798639e-08,2.4468380654951716e-09,0.0
