year,soyez_VERB à_ADP,soyez_VERB a_ADP,soyez_VERB las_ADJ
1800,2.0122653054954753e-07,0.0,0.0
1801,2.8812309693648785e-07,2.3811825844433088e-09,2.3811825844433088e-09
1802,1.432217686669901e-07,0.0,0.0
1803,3.0620325475183563e-07,1.950339223455444e-09,0.0
1804,2.966221011035941e-07,2.4718509461507665e-09,0.0
1805,2.5585899443569815e-07,0.0,0.0
1806,3.1986526494165446e-07,0.0,0.0
1807,1.309599344523349e-07,0.0,0.0
1808,2.062127357760346e-07,0.0,0.0
1809,1.8749953767382976e-07,0.0,0.0
1810,2.8315533029399376e-07,2.3401267590372754e-09,0.0
1811,1.0279014972525147e-07,2.5070767684098882e-09,0.0
1812,2.8805848995006045e-07,0.0,0.0
1813,1.7542023478256397e-07,0.0,0.0
1814,2.0453401461395515e-07,0.0,0.0
1815,1.321639544471509e-07,2.697223555614414e-09,0.0
1816,2.0626674057666605e-07,0.0,0.0
1817,2.724528407327398e-07,1.556873407970727e-09,0.0
1818,1.6808860348049848e-07,1.1921177378582115e-09,0.0
1819,1.6147637360575118e-07,1.035105001712111e-09,0.0
1820,2.1241001491034694e-07,1.1866481131050932e-09,0.0
1821,3.2247066350521436e-07,0.0,0.0
1822,3.398683787736445e-07,1.0025615893027862e-09,0.0
1823,2.6880908521320634e-07,3.4589405117912975e-08,0.0
1824,2.7789672074618466e-07,8.421112696055388e-10,0.0
1825,2.0252519661312363e-07,0.0,0.0
1826,2.3076919219988667e-07,8.807984341885344e-10,0.0
1827,2.1568418517858845e-07,0.0,0.0
1828,2.283903057787029e-07,0.0,0.0
1829,1.9804036632820043e-07,0.0,0.0
1830,2.2021723822263084e-07,1.0436835840010872e-09,0.0
1831,1.1069756311599122e-07,1.5591206103948707e-09,0.0
1832,2.1242052383740884e-07,0.0,0.0
1833,2.3167256557599103e-07,1.1583628500844156e-09,0.0
1834,1.6802155755613057e-07,2.8003592777992026e-09,0.0
1835,2.631954671983294e-07,2.2689263801112247e-09,0.0
1836,2.0095043140599955e-07,0.0,0.0
1837,2.073451561557249e-07,6.957890930081589e-10,0.0
1838,1.8620877106911848e-07,2.5248647617104325e-09,0.0
1839,2.272229409072679e-07,6.9914751765765e-10,0.0
