year,tes_DET livres_NOUN
1800,3.144164395507687e-08
1801,2.3811826510566902e-08
1802,1.0517848636482086e-07
1803,6.046051725938639e-08
1804,4.943701803483691e-08
1805,3.1271653710973624e-08
1806,4.034336598124355e-08
1807,4.555128185756985e-08
1808,3.17250354875398e-08
1809,2.4849335034105025e-08
1810,2.3401268034461964e-08
1811,1.2535384286138651e-08
1812,3.200649700829672e-08
1813,2.5881674803329702e-08
1814,1.8880061958270744e-08
1815,2.4275011334395913e-08
1816,3.9399266071882266e-08
1817,2.490997452753163e-08
1818,2.861082504246326e-08
1819,4.3474409183730245e-08
1820,2.254631503717519e-08
1821,3.9445952837446896e-08
1822,3.0076847679083585e-08
1823,5.4354779011056564e-08
1824,3.2842339514616015e-08
1825,4.4907759511048084e-08
1826,2.290075862276808e-08
1827,2.3043182806326e-08
1828,2.1096293267852673e-08
1829,1.971830487779158e-08
1830,2.2961037959845498e-08
1831,4.3655377757190195e-08
1832,2.1647950543268735e-08
1833,4.170106149281594e-08
1834,3.9205031665545675e-08
1835,9.605121675804185e-08
1836,4.099657680001201e-08
1837,4.9401026047668495e-08
1838,2.6511080220004146e-08
1839,7.131304990970477e-08
1840,4.5861759889742615e-08
1841,3.531301739911896e-08
1842,7.714504768330244e-08
1843,7.974330112903161e-08
1844,4.3359633439266076e-08
1845,5.970844085823046e-08
1846,5.678866377145653e-08
1847,2.1572894581822766e-08
1848,3.861706332486392e-08
1849,5.027649052635752e-08
1850,4.277067588986938e-08
1851,5.7400006081564925e-08
1852,3.580799945446245e-08
1853,5.195580743411199e-08
1854,4.572184719719985e-08
1855,1.0083180512765466e-07
1856,6.419714426719736e-08
1857,8.981977062116897e-08
1858,3.47450980209274e-08
1859,5.957842819093173e-08
1860,5.172217876214802e-08
1861,5.564837357585617e-08
1862,3.5240294488092516e-08
1863,4.894728261595205e-08
1864,6.424935172777424e-08
1865,6.307171523944888e-08
1866,7.055138617761969e-08
1867,7.618914033002966e-08
1868,4.050696655877317e-08
1869,3.9068151602705825e-08
1870,3.899153133701816e-08
1871,7.647247302067228e-08
1872,5.019291793306735e-08
1873,9.457886934738369e-08
1874,6.452578060756053e-08
1875,8.639506177132716e-08
1876,4.776351825164227e-08
1877,8.596894052192994e-08
1878,5.2540073069984317e-08
1879,5.192926499919537e-08
1880,3.658172298415252e-08
1881,5.578006040396488e-08
1882,4.5256619785050134e-08
1883,5.624211496524367e-08
1884,5.149323545339257e-08
1885,2.836079665557989e-08
1886,7.034275689710157e-08
1887,4.4396688214654034e-08
1888,4.8188671497584323e-08
1889,6.390439533099368e-08
1890,3.9981758626073116e-08
1891,5.035633909855619e-08
1892,5.767031341363804e-08
1893,3.941386600425645e-08
1894,5.482339049400764e-08
1895,3.009307225632085e-08
1896,5.779088430024615e-08
1897,5.1275080958923525e-08
1898,3.1686787083096135e-08
1899,3.814029270188257e-08
1900,5.294874094730062e-08
1901,4.4151037270623306e-08
1902,4.1737411082820586e-08
1903,5.7242334206009104e-08
1904,4.084715321539534e-08
1905,3.5093161820931584e-08
1906,5.247068085578732e-08
1907,7.251408956632233e-08
1908,4.125566688273352e-08
1909,5.721022766635997e-08
1910,7.481810948561929e-08
1911,3.6710580797461034e-08
1912,5.7303631617600104e-08
1913,6.204498054218632e-08
1914,6.227971738326232e-08
1915,5.654765855567234e-08
1916,6.262853347038799e-08
1917,5.702540883945062e-08
1918,6.432370813769239e-08
1919,9.299927117289997e-08
1920,7.496509679683072e-08
1921,1.1056211057791643e-07
1922,1.136202075202597e-07
1923,7.643482824448711e-08
