year,des_DET yeux_NOUN,des_DET lieues_NOUN
1800,1.0602122330283237e-05,1.28910740304633e-07
1801,1.1441582699944775e-05,4.286128785224719e-08
1802,1.090947046122892e-05,4.699464284385613e-08
1803,1.3311065231391694e-05,1.2677205063482688e-07
1804,1.0984905742361661e-05,5.9324420931261557e-08
1805,1.0530019238785826e-05,5.1171799242411e-08
1806,8.708404237722789e-06,2.0171682990621775e-08
1807,7.980015013231423e-06,5.693910054560547e-08
1808,1.0709465982472466e-05,9.29090351320383e-08
1809,7.599378562872516e-06,1.4457795316502597e-07
1810,1.1433859754106379e-05,1.1466621430145096e-07
1811,7.714275000125781e-06,1.2535383575595915e-07
1812,7.158786687000429e-06,8.001624962616916e-08
1813,9.10172251167296e-06,2.5881675469463516e-08
1814,6.548235120362733e-06,1.0698701968792079e-07
1815,6.613592255177991e-06,7.012781111370714e-08
1816,8.468524598015392e-06,1.3905623319487859e-08
1817,1.1369846518505256e-05,9.49692804397273e-08
1818,9.409384986724945e-06,4.530047448270125e-08
1819,9.650284226836447e-06,7.14222423425781e-08
1820,9.022085947663072e-06,2.966620282762733e-08
1821,1.0320047039158453e-05,1.1833785862336299e-07
1822,9.027064294286902e-06,7.819980396561732e-08
1823,8.342964719076917e-06,5.138997138942614e-08
1824,8.29816411851425e-06,4.126345132249298e-08
1825,8.9005417152066e-06,5.723537910284904e-08
1826,7.318554139601474e-06,1.6559010873606894e-07
1827,6.5516374760932194e-06,6.636436467033491e-08
1828,7.668961146123365e-06,6.695779575238703e-08
1829,9.511081429991464e-06,1.028781094203346e-07
1830,9.024731738804803e-06,5.844628248041772e-08
1831,8.941556956187924e-06,1.153749238369528e-07
1832,1.0300365687498925e-05,1.1500473817704915e-07
1833,9.116315631274574e-06,8.571885246055899e-08
1834,8.919143880348201e-06,1.297499778729616e-07
1835,1.071008853159583e-05,1.3613558280667348e-07
1836,8.775955805617741e-06,8.064900214321824e-08
1837,8.410002401149086e-06,9.949783796869838e-08
1838,7.925550661980196e-06,1.1614378170321515e-07
1839,7.313082996063258e-06,1.0137639350205063e-07
1840,7.73216533644927e-06,7.006657787300696e-08
1841,8.010918833178948e-06,8.603535084361624e-08
1842,8.077422386065791e-06,4.829950794871252e-08
1843,8.383087788388366e-06,8.624090241937665e-08
1844,7.862912944744949e-06,8.177956090094085e-08
1845,8.35583313829602e-06,6.584669165476953e-08
1846,7.889526372650835e-06,6.264316709803097e-08
1847,6.610474081014672e-06,5.3932235566378495e-08
1848,6.909236233809679e-06,7.160247050830293e-08
1849,7.121664566511754e-06,6.116972883773997e-08
1850,7.33686792386834e-06,7.400005586077896e-08
1851,6.66871976306993e-06,1.0383596560359365e-07
1852,7.478012506112464e-06,4.687592536356533e-08
1853,8.465213099384528e-06,8.002388418582029e-08
1854,8.018988957303463e-06,5.6113176327698966e-08
1855,8.90769412364989e-06,8.703376863650192e-08
1856,8.179441664424303e-06,9.215396745698712e-08
1857,8.72765006931786e-06,7.371078680762366e-08
1858,9.040087860512358e-06,1.2136316818178727e-07
1859,9.33395415358973e-06,9.471442252717566e-08
1860,9.603389365508974e-06,6.728460666405311e-08
1861,8.792913931188195e-06,7.215424346895816e-08
1862,8.384479215806095e-06,7.725756748233614e-08
1863,9.209081497374427e-06,7.44198521696049e-08
1864,8.835245338900677e-06,7.479775654406495e-08
1865,8.830981826690731e-06,9.319552107811546e-08
1866,8.87779745539774e-06,7.298419291146274e-08
1867,9.06553677282318e-06,6.163070764841905e-08
1868,8.191299386339779e-06,1.1361710572366235e-07
1869,8.984210325024833e-06,1.4552887250829372e-07
1870,8.133748352179282e-06,9.805223699643761e-08
1871,8.069970505175661e-06,1.2320565190293564e-07
1872,8.63015821295221e-06,8.042961308074581e-08
1873,8.457027092845237e-06,8.979006427267677e-08
1874,8.333981874386609e-06,7.587753925175633e-08
1875,8.326538633696146e-06,1.0012672202464046e-07
1876,8.824158669540338e-06,8.766721748543205e-08
1877,8.998907432555825e-06,1.138006124890012e-07
1878,7.89973223902507e-06,1.0870359434811405e-07
1879,8.910450588928143e-06,1.0202573008655236e-07
1880,8.535093812156447e-06,9.04916319655058e-08
1881,8.269393568127725e-06,1.3805565401980857e-07
1882,9.256975374682952e-06,1.0515508264141715e-07
