year,devrions_VERB imiter_VERB,devrions_VERB limiter_VERB
1800,1.5720821977538435e-08,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,5.693910232196231e-09,0.0
1808,1.8128591960930862e-08,0.0
1809,0.0,0.0
1810,4.680253518074551e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,2.6672083208723052e-08,0.0
1813,2.8757416004054903e-08,0.0
1814,3.776012391654149e-08,0.0
1815,2.697223555614414e-09,0.0
1816,4.6352077731626196e-09,0.0
1817,6.227493631882908e-09,0.0
1818,8.344824387052086e-09,0.0
1819,8.280840013696888e-09,0.0
1820,2.4919611263385377e-08,0.0
1821,3.94459531705138e-09,0.0
1822,1.0025615893027862e-09,0.0
1823,4.941343334508019e-09,0.0
1824,1.2631669044083083e-08,0.0
1825,8.805443485471187e-09,0.0
1826,5.284790383086602e-09,0.0
1827,7.373818444733615e-09,0.0
1828,1.2841221419535032e-08,0.0
1829,1.714635211591542e-09,0.0
1830,6.262101504006523e-09,0.0
1831,4.677361609140007e-09,0.0
1832,8.117981842303834e-09,0.0
1833,1.7375443306377747e-08,2.3167257001688313e-09
1834,4.667265685043276e-09,0.0
1835,3.781543966852041e-09,0.0
1836,1.8146025126952736e-08,0.0
1837,4.174734336004349e-09,0.0
1838,1.9567702125300457e-08,0.0
1839,9.088918062616358e-09,0.0
1840,6.369688665408546e-10,0.0
1841,1.4125206782011901e-08,0.0
1842,8.720745015011744e-09,0.0
1843,7.678984559333912e-09,2.3627644285539873e-09
1844,1.3721403568922597e-08,0.0
1845,8.928364714222425e-09,0.0
1846,1.1709002656346001e-08,0.0
1847,8.089835468183537e-09,0.0
1848,1.287235473768078e-08,0.0
1849,1.005529792763582e-08,0.0
1850,1.425689166723032e-08,0.0
1851,1.3543821175687754e-08,0.0
1852,6.510545436100301e-09,0.0
1853,2.9859659189668264e-09,0.0
1854,4.676098175337984e-09,0.0
1855,6.8990182455763716e-09,0.0
1856,8.28350277259915e-09,0.0
1857,2.4407544874094356e-09,0.0
1858,3.9149408159744326e-09,0.0
1859,1.5785737161877478e-08,0.0
1860,8.238931314963338e-09,0.0
1861,7.545541969022906e-09,0.0
1862,1.8071945051545413e-09,2.710791813242963e-09
1863,3.496234635136375e-09,0.0
1864,9.589456340108882e-09,0.0
1865,3.294791106611683e-09,0.0
1866,2.0435575009969398e-08,0.0
1867,6.79393608038481e-09,0.0
1868,6.421836395986702e-09,0.0
1869,1.12320943657096e-08,0.0
1870,2.8670243956696595e-09,0.0
1871,1.3807530230280918e-08,0.0
1872,1.2094679036067646e-08,0.0
1873,9.577607151811662e-09,0.0
1874,1.3144139998644278e-08,5.974609140757536e-10
1875,4.005069165202713e-09,0.0
1876,3.02300739996042e-09,0.0
1877,9.27722432209066e-09,0.0
1878,6.039088784604019e-09,1.2078177347163432e-09
1879,4.887460214320072e-09,0.0
1880,1.9253538763308597e-09,0.0
1881,8.367009307619355e-09,0.0
1882,2.6621540527571597e-09,6.655385131892899e-10
1883,3.159669414998234e-09,0.0
1884,1.5183903911974994e-08,0.0
1885,1.2891271161663553e-08,0.0
1886,3.872078213618124e-09,0.0
1887,3.9173548849191775e-09,0.0
1888,6.340614699951175e-10,0.0
1889,4.385595886446936e-09,0.0
1890,1.3108772956016423e-09,6.554386478008212e-10
1891,1.2748440081367107e-09,0.0
1892,8.149066310636499e-09,0.0
1893,6.774258043407144e-09,0.0
1894,5.041231432301174e-09,0.0
1895,1.5648398132839247e-08,6.018614495673091e-10
1896,4.717623180994224e-09,0.0
1897,2.9133566670225264e-09,0.0
1898,1.2448380992680086e-08,1.6975064687230201e-09
1899,7.185851913504848e-09,1.1055156790007459e-09
1900,7.26747462209687e-09,0.0
1901,2.235495566438317e-09,0.0
1902,3.928227076954727e-09,0.0
1903,5.400220270956879e-09,0.0
1904,8.599400302955473e-09,0.0
1905,1.2385822145688508e-08,1.0321518084666081e-09
1906,4.115347618238729e-09,0.0
1907,3.599990305858114e-09,5.142843373384665e-10
1908,3.437972351250096e-09,0.0
1909,3.850688656825696e-09,5.500983557560346e-10
1910,5.878565634276356e-09,1.6032452032632705e-09
1911,2.128149656499545e-09,0.0
1912,4.167536982180309e-09,2.6047106693738442e-09
1913,1.0605979205990934e-08,0.0
1914,7.366418142140674e-09,1.3393487430235496e-09
1915,2.3561523843085297e-09,1.1780761921542648e-09
1916,6.592477230782379e-09,2.197492410260793e-09
1917,8.773139548168274e-09,0.0
1918,3.44591288836682e-09,2.2972752589112133e-09
1919,1.6574126959767455e-08,2.762354567309444e-09
1920,6.057785384427916e-09,1.514446346106979e-09
