year,plusieurs_DET oies_NOUN,plusieurs_DET lois_NOUN
1800,0.0,6.131120855457084e-07
1801,0.0,5.286225288614332e-07
1802,1.5664880947952042e-08,5.28130271959526e-07
1803,0.0,8.64000298861356e-07
1804,0.0,7.638019567934862e-07
1805,3.1271653710973624e-08,6.225902211554057e-07
1806,0.0,5.07173785635473e-07
1807,5.693910232196231e-09,8.426987179177559e-07
1808,2.039466551195801e-08,8.565759657130911e-07
1809,1.129515236897305e-08,1.0165637434056407e-06
1810,2.3401266702194334e-08,1.2028252065476863e-06
1811,0.0,1.015366080991953e-06
1812,0.0,9.521933606038147e-07
1813,0.0,5.924028059212105e-07
1814,6.293354282149721e-09,1.3656578516929585e-06
1815,0.0,6.770031077962813e-07
1816,4.6352077731626196e-09,5.098728497188176e-07
1817,1.556873407970727e-09,4.919719884810547e-07
1818,0.0,7.081179163037632e-07
1819,0.0,9.95770996325973e-07
1820,4.746592452420373e-09,7.891210174193475e-07
1821,0.0,7.070687324528535e-07
1822,0.0,6.927700582082252e-07
1823,0.0,6.532456033880862e-07
1824,0.0,7.4442636588401e-07
1825,1.7610886082763955e-09,6.331113624469253e-07
1826,0.0,9.116263939290548e-07
1827,3.6869092223668076e-09,8.885451023843416e-07
1828,0.0,8.842098537797938e-07
1829,0.0,8.384566143604388e-07
1830,9.39315203396518e-09,6.303848998356898e-07
1831,0.0,6.969269321643878e-07
1832,1.3529969367098715e-09,6.237315659518572e-07
1833,0.0,6.718504472758013e-07
1834,1.8669061851994684e-09,7.224926861226777e-07
1835,2.2689263801112247e-09,5.899208517234911e-07
1836,2.016224964762614e-09,5.873935506883754e-07
1837,1.3915781860163179e-09,5.427155045367726e-07
1838,1.2624323808552163e-09,5.207533675388731e-07
1839,0.0,6.159489416290853e-07
1840,0.0,5.955658650691475e-07
1841,1.926164561183441e-09,5.53451283025197e-07
1842,0.0,6.050855247963227e-07
1843,6.497602011990011e-09,5.847841890727068e-07
1844,0.0,6.536876746565667e-07
1845,5.580227946389016e-10,6.115929949146448e-07
