year,jeunes_ADJ âmes_NOUN,jeunes_ADJ ames_NOUN,jeunes_ADJ lames_NOUN
1800,1.2576657937302116e-08,3.458580977167003e-08,0.0
1801,1.6668277424969347e-08,9.524730337773235e-09,0.0
1802,0.0,3.8043282302169246e-08,0.0
1803,0.0,3.315576790896557e-08,0.0
1804,4.69651695311768e-08,3.9549615138412264e-08,0.0
1805,5.970043304159844e-08,4.264316544322355e-08,0.0
1806,2.0171682990621775e-08,1.152667650217154e-08,0.0
1807,1.1387820464392462e-08,5.97860605466849e-08,0.0
1808,2.2660739951163578e-09,3.6257183921861724e-08,0.0
1809,4.518061036407062e-09,1.8072244145628247e-08,0.0
1810,4.680253518074551e-09,2.3401266702194334e-08,0.0
1811,0.0,7.521229861140455e-09,0.0
1812,5.3344164641089264e-09,2.1337665856435706e-08,0.0
1813,2.300593315851529e-08,8.627225156487839e-09,0.0
1814,6.293354282149721e-09,5.349351184236184e-08,0.0
1815,2.6972236000233352e-08,2.4275012222574333e-08,0.0
1816,3.0128852301913867e-08,8.57513455798653e-08,0.0
1817,1.5568733857662664e-08,1.5568733857662664e-08,0.0
1818,3.337929754820834e-08,7.867976847819591e-08,0.0
1819,7.14222423425781e-08,3.415846450138815e-08,0.0
1820,4.9839222526770754e-08,2.4919611263385377e-08,0.0
1821,4.043210211079895e-08,1.7750679148775816e-08,0.0
1822,2.4061478143266868e-08,2.2056354964661296e-08,0.0
1823,5.0401702367253165e-08,7.906149512848515e-09,0.0
1824,1.9368560089105813e-08,2.5263338088166165e-08,0.0
1825,6.60408261410339e-08,3.610231757988913e-08,0.0
1826,3.787433300317389e-08,1.8496766784892316e-08,8.807984341885344e-10
1827,3.2260455640198415e-08,1.8434546333878643e-08,9.217273055917019e-10
1828,4.861319524707142e-08,3.3020285172824515e-08,0.0
1829,3.772197487705853e-08,6.172686539684946e-08,0.0
1830,6.992679857376061e-08,5.218418053232199e-08,0.0
1831,5.76874619184764e-08,7.951515357262906e-08,0.0
1832,1.244757186213974e-07,6.088486514954639e-08,0.0
1833,9.498575082034222e-08,1.2973663388038403e-07,0.0
1834,1.213489042584115e-07,8.68111342811062e-08,0.0
1835,4.235329242874286e-08,4.0840674842002045e-08,0.0
1836,7.52724034214225e-08,1.0215540413582858e-07,0.0
1837,7.72325918774186e-08,2.365682938432201e-08,0.0
1838,1.0856918208901334e-07,1.5149188570262595e-08,0.0
1839,1.2235081214839738e-07,5.942753844578874e-08,0.0
1840,1.235719651049294e-07,2.4204817705708592e-08,0.0
1841,1.3290535605392506e-07,3.146068650039524e-08,0.0
1842,1.455693450225226e-07,1.7441490030023488e-08,0.0
1843,1.4767277889404795e-07,4.6073907356003474e-08,0.0
1844,2.1954245710276155e-07,3.787107161201675e-08,0.0
1845,1.9084379232481297e-07,2.287893430263921e-08,0.0
1846,1.3523897735012724e-07,1.7563503984519002e-09,5.854501328173001e-10
1847,1.5424619448367594e-07,9.168480197274675e-09,0.0
1848,1.359642425313723e-07,0.0,8.84974404868899e-09
1849,1.1731180649121598e-07,2.262441967104678e-08,0.0
1850,1.5954140053509036e-07,1.2220192857625989e-08,1.3577992064028876e-09
1851,1.6188091933599935e-07,8.384270167027807e-09,3.2247193804124663e-09
1852,1.6211258468956657e-07,1.6276363368206148e-08,6.510545436100301e-10
1853,1.8632427156717313e-07,2.388772735173461e-09,0.0
1854,1.3248944696897524e-07,5.195664343204953e-09,5.195664454227256e-10
1855,2.2395275323106034e-07,6.368324534378189e-09,0.0
1856,1.9569775133732037e-07,3.6240324075009767e-09,0.0
1857,2.2454942438798753e-07,1.513267733344037e-08,0.0
1858,2.427263439130911e-07,5.872411001917044e-09,0.0
1859,2.0063163219674607e-07,2.036869339860914e-09,0.0
1860,2.3755583811180259e-07,1.8308735638683515e-09,0.0
1861,2.424005458578904e-07,9.903524222920623e-09,0.0
1862,2.4397127162956167e-07,6.776979422085105e-09,0.0
1863,1.5533271380263614e-07,2.9967726078439227e-09,0.0
1864,2.4453112246192177e-07,5.274200631788517e-09,0.0
1865,2.4616795712972817e-07,6.118897832863013e-09,0.0
1866,2.087347894530467e-07,1.4596839292835284e-09,0.0
1867,1.7664234519543243e-07,1.455843445796745e-09,0.0
1868,2.2081236750182143e-07,7.409810987013543e-09,0.0
1869,2.832441055033996e-07,3.4184632902167778e-09,0.0
1870,2.1674703987173416e-07,1.7202146374017957e-09,0.0
1871,1.2745412902859243e-07,3.18635318130589e-09,0.0
1872,2.497551179203583e-07,6.047339295989218e-10,0.0
1873,1.604249177944439e-07,0.0,0.0
1874,1.6489920540152525e-07,0.0,0.0
1875,2.2027879253982974e-07,7.437985338754061e-09,0.0
1876,1.5598718050569005e-07,1.813804439976252e-09,0.0
1877,1.6266065472336777e-07,1.2369631985365004e-09,0.0
1878,1.660749404663875e-07,1.2078177347163432e-09,0.0
