year,aucuns_ADJ livres_NOUN
1800,2.5153315874604232e-08
1801,7.143547975374531e-08
1802,1.3427040812530322e-08
1803,7.801356893821776e-09
1804,1.4831105232815389e-08
1805,5.685755422035754e-09
1806,8.645007376628655e-09
1807,1.992868634559386e-07
1808,4.078933102391602e-08
1809,2.484933525614963e-08
1810,1.4040760554223652e-08
1811,3.008491944456182e-08
1812,1.0668832928217853e-08
1813,8.627225156487839e-09
1814,6.293354282149721e-09
1815,3.506390644503199e-08
1816,9.270415546325239e-09
1817,1.8682481006671026e-08
1818,5.841376982118618e-08
1819,6.210629899250364e-09
1820,1.542642635854463e-08
1821,4.7335144359728076e-08
1822,1.7043547018147365e-07
1823,7.412015357033397e-08
1824,1.0105335235266466e-08
1825,6.692136622632461e-08
1826,1.550205257494497e-07
1827,9.493791414127983e-08
1828,2.348109072736193e-07
1829,2.494794273388834e-07
1830,4.425218271819631e-07
1831,9.354723218280014e-09
1832,7.306183391619925e-08
1833,8.571885246055899e-08
1834,5.2273371409228275e-08
1835,3.327758690829796e-08
1836,9.81229475449652e-08
1837,1.1689256673719228e-07
1838,1.401299938308398e-07
1839,6.082583325905944e-08
1840,3.0574503984137635e-08
1841,6.613164771351876e-08
1842,6.507017413781568e-08
1843,6.379463779460082e-08
1844,2.030767731753258e-08
1845,7.477505192809986e-08
1846,5.620321275046081e-08
1847,9.869599537637441e-08
1848,2.091757650424242e-08
1849,4.524883934209356e-08
1850,5.2275270334689594e-08
1851,7.932809609201286e-08
1852,5.0131199191838505e-08
1853,3.2845626662947325e-08
1854,1.7145692021713899e-07
1855,7.960406023244104e-08
1856,6.73034605824796e-08
1857,1.4400451864293728e-07
1858,8.368186088514307e-08
1859,1.680417203164808e-07
1860,2.9293977021893625e-08
1861,1.655303236702821e-07
1862,5.737842559416784e-08
1863,4.395266151036026e-08
1864,6.13725177345259e-08
1865,1.2237795665726026e-08
1866,3.989802621617855e-08
1867,7.085104591908475e-08
1868,3.6555068971821925e-08
1869,2.0022428159904848e-08
1870,5.5620273275991394e-08
1871,2.1242353653860846e-08
1872,4.172663992108028e-08
1873,2.6338419445437466e-08
1874,3.943242177228967e-08
1875,4.1194995359372655e-08
1876,6.95291717534019e-08
1877,4.4530676035492434e-08
1878,4.166971123709118e-08
1879,4.52090086477952e-08
1880,5.390990875930868e-08
1881,3.6257040147980035e-08
1882,2.1962771157291172e-08
1883,1.1627584051154827e-07
1884,4.885255577846692e-08
1885,8.443782917311182e-08
1886,2.1296431285122708e-08
1887,2.154545164501087e-08
1888,1.5851536305788727e-08
1889,3.5084767091575486e-08
1890,3.146105448381675e-08
1891,1.5298128430707436e-08
1892,2.6327752422616868e-08
1893,2.648119085124634e-08
1894,3.7809236630437226e-08
1895,3.972285500530859e-08
1896,2.712633251356067e-08
1897,2.680288169187861e-08
1898,3.508180146383211e-08
1899,5.251199475253543e-08
1900,1.4379216750626256e-07
1901,3.1855812210324075e-08
1902,2.6515532880466708e-08
1903,2.9161189019077938e-08
1904,1.1824175416563776e-08
1905,2.68359464650203e-08
1906,2.7264178470431943e-08
1907,6.531411234078632e-08
1908,1.6207584385696805e-08
1909,3.355600064480768e-08
1910,5.504475186768332e-08
1911,1.0427933361256692e-07
1912,1.651386538625843e-07
1913,3.712092766505748e-08
1914,1.1384464215780099e-07
1915,1.4136913861761968e-08
1916,1.4283700444650549e-08
1917,3.838248474608008e-08
1918,1.033773866510046e-08
1919,1.3811772170413406e-08
1920,1.3630017114962811e-08
1921,1.5145494858259667e-09
1922,2.877394766898078e-08
1923,2.866305948145964e-08
1924,1.675911198706359e-08
1925,6.598906754362588e-09
1926,1.7833821530643945e-08
1927,1.6723836537835268e-08
1928,1.0283437101854531e-08
1929,2.0052731031228177e-08
1930,3.361153133596417e-08
1931,7.983749661377715e-09
1932,7.6716757391182e-09
1933,2.064719240024715e-08
1934,1.1981580172459871e-08
1935,1.0771455727365264e-08
1936,7.274828739411987e-09
1937,6.295559185076627e-09
1938,9.075650453382877e-09
1939,1.070583532936098e-08
1940,2.2822046474857416e-08
1941,8.854508237732261e-09
1942,6.068423541449874e-09
1943,1.7419411690866582e-08
1944,3.2131861615880553e-09
1945,8.714016175304096e-09
1946,9.744772988540262e-09
1947,1.549713202209091e-08
1948,5.435943917220243e-09
1949,9.817008317369869e-10
1950,3.190608444114673e-09
1951,9.595261696304647e-09
1952,0.0
1953,7.54167928107563e-09
1954,1.563605755983133e-08
1955,1.783265446420046e-08
1956,9.593255745343754e-09
1957,1.236905244894615e-08
1958,1.0753916868111446e-08
1959,1.2401196514133517e-08
1960,1.1765417085030094e-08
1961,2.2928925591525484e-08
1962,4.43936931660005e-09
1963,1.1638896069143811e-08
1964,2.4335873705094713e-08
1965,1.6963333848707407e-08
1966,1.9940669115925402e-08
1967,4.092178590431317e-08
1968,3.143991145204694e-08
1969,3.633406128744632e-08
1970,2.8052222156293993e-08
1971,1.1818314182843181e-07
1972,1.2312352470900123e-08
1973,2.1501494862352644e-08
1974,1.687671546957148e-08
1975,2.227477313709869e-08
1976,1.0284348428424295e-08
1977,1.8218024422367307e-08
1978,1.9009891549792712e-08
1979,3.5697036881998656e-08
1980,1.364436130746327e-08
1981,1.0753434365184944e-08
1982,6.207502289967692e-09
1983,1.38936957494451e-08
1984,2.957494366073732e-08
1985,2.045289804186723e-08
1986,8.392279760016663e-09
1987,1.0999470501094066e-08
1988,1.8589316752581908e-08
1989,1.6464365870660913e-08
1990,1.3076762395147767e-08
1991,1.3481369742773808e-08
1992,7.713922001162388e-09
1993,6.093128224193833e-09
1994,1.1077345929422222e-08
1995,1.3013881527967897e-08
1996,7.473329066698398e-09
1997,5.130537017450365e-08
1998,2.5271085557498907e-08
1999,2.5136107195677937e-08
2000,1.1045078629479121e-08
2001,9.638665643407762e-09
2002,1.0514931148009055e-08
2003,1.7917768602160322e-08
2004,2.4666831605069106e-08
2005,1.7114247796712334e-08
2006,1.1941880373456115e-08
2007,1.3181781888249589e-08
2008,1.1069342858993636e-08
2009,7.629108011997232e-09
2010,3.7790344187271785e-09
2011,3.0591775224131368e-09
2012,2.723402148241405e-08
2013,3.62586255464592e-09
2014,5.197068553286499e-09
2015,1.906254798456075e-08
2016,5.178350193091319e-09
2017,6.037467192854251e-09
2018,3.3559066636712487e-09
2019,2.5509878653906526e-09
