year,cellules_NOUN égales_ADJ
1800,6.288328968651058e-09
1801,5.714838380299625e-08
1802,6.265952379180817e-08
1803,2.9255089017965474e-08
1804,0.0
1805,2.842877711017877e-09
1806,5.76333825108577e-09
1807,0.0
1808,1.8128591960930862e-08
1809,0.0
1810,2.106114038724627e-08
1811,2.0056614147279106e-08
1812,0.0
1813,5.751483289628823e-09
1814,4.405347908686963e-08
1815,0.0
1816,0.0
1817,0.0
1818,1.1921176934492905e-08
1819,3.1053151161586356e-09
1820,0.0
1821,5.9168927535324656e-09
1822,0.0
1823,1.087095569118901e-08
1824,8.421112696055388e-10
1825,0.0
1826,0.0
1827,0.0
1828,9.172301251858528e-10
1829,0.0
1830,6.262101504006523e-09
1831,0.0
1832,0.0
1833,0.0
1834,6.534171426153534e-09
1835,1.5126175867408165e-09
1836,0.0
1837,2.0873671680021744e-09
1838,0.0
1839,3.4957374772659477e-09
1840,3.1848443882154243e-09
1841,1.926164561183441e-09
1842,0.0
1843,1.1813822142769936e-09
1844,5.488561272137815e-10
1845,1.674068439427856e-09
1846,9.952652035849496e-09
1847,3.235934187273415e-09
1848,4.02261068899179e-09
1849,6.703531951757213e-09
1850,1.765138968323754e-08
1851,1.0061124555704737e-07
1852,2.4740073101270355e-08
1853,1.1943863675867306e-09
1854,4.676098175337984e-09
1855,3.1841622671890946e-09
1856,0.0
1857,9.763017949637742e-09
1858,4.404308473482388e-09
1859,5.092173349652285e-10
1860,1.1900677776566226e-08
1861,4.715963730639317e-10
1862,9.035972525772706e-10
1863,4.994620828036034e-10
1864,5.753673537611803e-09
1865,1.882737743486018e-09
1866,1.9462451650298362e-09
1867,4.85281148598915e-09
1868,5.433861360870651e-09
1869,2.441759683335931e-09
1870,0.0
1871,6.37270636261178e-09
1872,3.749350341308855e-08
1873,1.5563610844537834e-08
1874,2.9873046258899194e-09
1875,1.1443054281912168e-09
1876,6.04601479992084e-10
1877,4.9478527941460015e-09
1878,1.8117265909722846e-08
1879,1.0996785704264767e-08
1880,2.6954953824542827e-08
1881,1.5339516323820135e-08
1882,2.0631693686823382e-08
1883,1.7694148368718743e-08
1884,7.922036360241691e-09
1885,1.2891271161663553e-08
1886,7.098810428374236e-09
1887,1.7628096316002484e-08
1888,8.876860135842435e-09
1889,1.1277245803853475e-08
1890,1.0487018364813139e-08
1891,2.5496880162734215e-09
1892,1.8805537127519756e-09
1893,9.23762488724833e-09
1894,2.7096618282484997e-08
1895,6.6204757231957956e-09
1896,6.486732040400511e-09
1897,2.0976168357833558e-08
1898,1.6975064909274806e-08
1899,1.3818945987509323e-08
1900,5.710158568206225e-09
1901,1.0618603774048552e-08
1902,3.5845072687834545e-08
1903,8.964365605379498e-08
1904,2.8485512615361586e-08
1905,1.1353670004154992e-08
1906,4.629765903985117e-09
1907,2.5714217422034835e-09
1908,6.384805573134145e-09
1909,6.0510818578052294e-09
1910,1.0153886620400954e-08
1911,4.788336838146279e-09
1912,2.135862686714063e-08
1913,1.3257474229533273e-08
1914,7.366418142140674e-09
1915,1.0602685840410686e-08
1916,6.592477230782379e-09
1917,1.973956464951243e-08
1918,1.9526840588923733e-08
1919,2.762354567309444e-09
1920,1.514446346106979e-08
1921,4.543648568500203e-09
1922,7.377935595798135e-09
1923,1.0615948120573648e-08
1924,1.4180787211159895e-08
1925,2.1996356736053713e-08
1926,7.802296586589819e-09
1927,3.3447675740205796e-09
1928,1.3711249025050165e-08
1929,1.3368487650211591e-08
1930,1.3654684494213143e-08
1931,1.1405356659111021e-08
1932,3.287861094491973e-09
1933,3.4411986593596566e-09
1934,1.1981580172459871e-09
1935,7.180970484910176e-09
1936,1.091224355320719e-08
1937,1.6368453259474336e-08
1938,1.8151300906765755e-08
1939,6.117620188206274e-09
1940,1.0143131667916805e-08
1941,1.4757512545315876e-08
1942,3.6410540360520827e-08
1943,5.806470415592457e-09
1944,0.0
1945,4.357008087652048e-09
1946,9.744772988540262e-09
1947,1.907339353124371e-08
1948,4.348755133776194e-09
1949,8.835307596655184e-09
1950,6.381216888229346e-09
1951,2.7719645245838365e-08
1952,5.272402070488624e-09
1953,2.0470272588113403e-08
1954,1.8567819282111486e-08
1955,8.447047505910632e-09
1956,7.849027205963921e-09
1957,5.301022731885041e-09
1958,2.4816730892496253e-09
1959,9.300897829689347e-09
1960,5.536666680683311e-09
1961,4.86371165564492e-09
1962,4.43936931660005e-09
1963,5.1728425987107585e-09
1964,4.258777774879263e-09
1965,1.0944086747954884e-09
1966,5.539074976468328e-09
1967,3.451234853457663e-09
1968,5.3896989093971115e-09
1969,1.8167031212712459e-09
1970,5.518470125309705e-09
1971,5.138397485282553e-10
1972,5.643161493651405e-09
1973,1.6539611902288698e-09
1974,0.0
1975,0.0
1976,3.9994687561772935e-09
1977,0.0
1978,4.752473081737207e-09
1979,3.5111840102075575e-09
1980,6.822181042309694e-09
1981,6.325549528618524e-10
1982,3.1037510339615437e-09
1983,0.0
1984,1.739702604197646e-09
1985,0.0
1986,5.994485463567401e-10
1987,3.0554083707556856e-09
1988,0.0
1989,2.7440609784434855e-09
1990,1.089730194969718e-09
1991,1.7584396161396398e-09
1992,2.2039776670368383e-09
1993,5.539207426075166e-10
1994,1.0549853213248639e-09
1995,5.422450821690461e-10
1996,1.067618438099771e-09
1997,1.438468344439059e-09
1998,4.768129224785866e-10
1999,4.570201161957499e-10
2000,8.836062992401139e-10
2001,2.190605918883648e-09
2002,4.38122149670761e-10
2003,4.1669229178253886e-10
2004,1.7619165015858584e-09
2005,9.007499190971657e-10
2006,4.1178899179428186e-10
2007,2.7961355453243186e-09
2008,0.0
2009,4.76819250749827e-10
2010,0.0
2011,1.529588788962144e-09
2012,3.404252713057332e-10
2013,0.0
2014,2.1654451842767486e-10
2015,4.433150790905671e-10
2016,1.86420612280358e-09
2017,0.0
2018,2.5814667070633845e-10
2019,5.1019755087367e-10
