year,valeurs_NOUN égales_ADJ,valeurs_NOUN egales_ADJ,valeurs_NOUN légales_ADJ
1800,6.917161954334006e-08,0.0,0.0
1801,8.096020565062645e-08,0.0,0.0
1802,2.4840025503181096e-07,0.0,0.0
1803,3.705644502360883e-08,0.0,0.0
1804,1.0134588990240445e-07,0.0,0.0
1805,5.1171799242411e-08,0.0,0.0
1806,1.5272846098923765e-07,0.0,0.0
1807,5.124519120158766e-08,0.0,0.0
1808,1.654234011994049e-07,0.0,0.0
1809,1.1295152546608733e-07,0.0,2.259030518203531e-09
1810,2.0125089861267043e-07,0.0,0.0
1811,1.7549537290051376e-07,0.0,0.0
1812,7.734903562095496e-08,0.0,0.0
1813,5.463909147351842e-08,0.0,0.0
1814,9.754699448194515e-08,0.0,0.0
1815,2.1038343334112142e-07,0.0,0.0
1816,9.270415546325239e-08,0.0,0.0
1817,1.1053801074467628e-07,0.0,0.0
1818,2.5034472272977837e-08,0.0,0.0
1819,1.2007218685994303e-07,0.0,5.175524897538253e-09
1820,5.3399165977907614e-08,0.0,9.493184904840746e-09
1821,6.212737702071536e-08,0.0,0.0
1822,9.825103575167304e-08,0.0,2.0051231786055723e-09
1823,5.237824041159911e-08,0.0,0.0
1824,7.747424035642325e-08,0.0,0.0
1825,7.660735690251386e-08,0.0,8.805443041381977e-10
1826,1.6911329225877125e-07,0.0,0.0
1827,8.572063592282575e-08,0.0,0.0
1828,1.0272977135628025e-07,0.0,0.0
1829,3.429270378774163e-08,0.0,0.0
1830,8.245100246995207e-08,1.0436835840010872e-09,1.315041373572967e-07
1831,1.2005229166334175e-07,0.0,0.0
1832,1.27181706943702e-07,2.705993873419743e-09,0.0
1833,6.950177322551099e-08,1.1583628500844156e-09,1.0425265983826648e-08
1834,6.440826183506942e-08,0.0,8.401078055442213e-09
1835,7.411826175030001e-08,0.0,4.5378527602224494e-09
1836,4.435695188931277e-08,0.0,0.0
1837,7.375364674544471e-08,0.0,0.0
1838,6.880256364638626e-08,0.0,6.312161904276081e-10
1839,9.997809513606626e-08,0.0,0.0
1840,1.1975014047038712e-07,6.369688665408546e-10,0.0
1841,1.1428576129901558e-07,0.0,0.0
1842,1.0800306426972384e-07,0.0,2.683306021822318e-09
1843,9.391988697871057e-08,0.0,0.0
1844,8.232841963717874e-08,0.0,0.0
