year,trois_DET âmes_NOUN,trois_DET ames_NOUN,trois_DET lames_NOUN
1800,0.0,6.288328968651058e-09,2.1380318893093886e-07
1801,2.3811825844433088e-09,4.7623650800687756e-08,2.6193009716735105e-07
1802,0.0,1.7902721083373763e-08,2.9315705774024536e-07
1803,3.900678446910888e-09,1.755305234496518e-08,3.003522515143686e-07
1804,1.2359254952798437e-08,3.460591280202152e-08,1.3842365831351344e-07
1805,8.528632911009026e-09,3.695740957709859e-08,2.6154475563089363e-07
1806,6.627838899930794e-08,2.881669125542885e-09,6.339671898558663e-08
1807,0.0,1.4234775136401367e-08,2.2775640928784924e-08
1808,2.2660739062985158e-08,6.571614363792833e-08,7.704651894258063e-08
1809,0.0,9.036122072814123e-09,5.1957702140725814e-08
1810,2.3401267590372754e-09,2.8081521108447305e-08,5.616304221689461e-08
1811,2.0056614147279106e-08,1.0028307073639553e-08,5.264861258069686e-08
1812,5.3344164641089264e-09,4.800974906515876e-08,6.668020802180763e-08
1813,5.751483289628823e-09,2.8757416448144113e-09,1.7254450312975678e-08
1814,0.0,6.293354282149721e-09,8.181360300341112e-08
1815,2.966945977789237e-08,5.394447111228828e-09,6.743059044467259e-08
1816,3.7081662185300956e-08,9.270415546325239e-09,1.62232268507978e-07
1817,1.5568733857662664e-08,1.2454987263765815e-08,2.459860013459547e-07
1818,1.3113295338484932e-08,7.152706427149269e-09,1.645122433835411e-07
1819,3.2088255608186955e-08,2.070209959015301e-08,1.6975721717216175e-07
1820,3.797273961936298e-08,2.1359666035891678e-08,4.50926265216367e-08
1821,5.325203744632745e-08,2.7612166775270452e-08,9.072569184809254e-08
1822,6.015369535816717e-09,9.023054303725075e-09,1.223125138949399e-07
1823,2.4706716672540097e-08,1.3835761869529506e-08,5.929612001409623e-08
1824,3.3684450784221553e-08,2.947389443619386e-08,5.136878655775945e-08
1825,1.1447076175841175e-08,1.4088708644166559e-08,9.50987866232822e-08
1826,1.145037931138404e-08,8.80798456392995e-09,1.4621254296187658e-07
1827,2.3043183361437514e-08,3.226045625082108e-08,9.217273344575005e-08
1828,1.1923991571904935e-08,1.3758451489209733e-08,8.621963348831585e-08
1829,1.971830521085849e-08,3.086343269842473e-08,1.011634787051463e-07
1830,9.39315203396518e-09,1.461157062010443e-08,7.410153290976496e-08
1831,6.080570358335535e-08,3.274153215215847e-08,1.356434995436473e-07
1832,1.0823975604701275e-08,3.247192659205922e-08,1.9077256574462353e-07
1833,3.822597527403104e-08,3.243415847009601e-08,9.266902734061944e-08
1834,2.7070139907436896e-08,1.5868701908061666e-08,1.6428774696208848e-07
1835,1.739510224751939e-08,9.075705520444899e-09,1.4521128122169102e-07
1836,4.906147416106066e-08,1.5457725766054864e-08,1.3979160673471824e-07
1837,2.1569462660409044e-08,1.3915782304252389e-08,2.0038726278315266e-07
1838,3.408567295082321e-08,1.641162095111781e-08,1.514918877010274e-07
1839,1.5381245721535208e-08,6.292327547896548e-09,1.2235081592315566e-07
1840,4.522479102320176e-08,1.0828470564661075e-08,1.3758527045437674e-07
1841,6.934192242624704e-08,7.0626033910059505e-09,1.4510440315973483e-07
1842,4.024958855097793e-08,1.0062397137744483e-08,7.513256861102491e-08
1843,6.3794637128467e-08,1.0632439872981791e-08,1.4471932141546517e-07
1844,6.75093048130293e-08,1.0428266250528395e-08,7.13512968708585e-08
1845,4.296775557577348e-08,3.90615950696116e-09,1.0490828694642573e-07
1846,5.093416177714971e-08,4.6836012845830055e-09,8.723207178817916e-08
1847,3.55952778363644e-08,1.0786447290911383e-09,7.06512315318264e-08
1848,4.103063133698015e-08,9.65426583121598e-09,1.0056527244284297e-07
1849,7.709061833338637e-08,4.1897072478036534e-09,9.13356257292719e-08
1850,1.0522943938440221e-07,2.7155984128057753e-09,1.2288082995581817e-07
1851,5.095056465620473e-08,2.579775504329973e-09,5.997977980953806e-08
