year,quelques_DET livres_NOUN
1800,1.4148739939656707e-06
1801,1.2929821231466576e-06
1802,1.2397634634453425e-06
1803,1.269670782733101e-06
1804,1.6858023474952688e-06
1805,1.179794238304055e-06
1806,8.904357615691083e-07
1807,1.2925175951750134e-06
1808,1.2916622083025686e-06
1809,1.1995452524615757e-06
1810,1.6708504553264447e-06
1811,1.4039629689932553e-06
1812,1.784362343215662e-06
1813,1.5500247485533691e-06
1814,1.0918969710616011e-06
1815,1.1031643829539917e-06
1816,1.2213772464519934e-06
1817,1.6020227704416357e-06
1818,1.3661669662212717e-06
1819,1.2348802549411175e-06
1820,1.4797501783903044e-06
1821,1.5383921192491101e-06
1822,1.3674939651764362e-06
1823,1.406306330054008e-06
1824,1.4054836690036154e-06
1825,1.2186733364671909e-06
1826,1.3044624971314533e-06
1827,9.807178447118758e-07
1828,1.1364481693476591e-06
1829,1.029638465155358e-06
1830,1.1042172318731502e-06
1831,1.3564349359285188e-06
1832,1.3408199386333308e-06
1833,1.2614571099911487e-06
1834,1.1425466190928546e-06
1835,1.0769837643920255e-06
1836,1.058518175778289e-06
1837,9.761920889417297e-07
1838,1.09263523384584e-06
1839,1.1256275440629793e-06
1840,1.0503616767465473e-06
1841,1.1338689134277047e-06
1842,1.1014971414979868e-06
1843,1.217414335119571e-06
1844,1.042826655694995e-06
1845,1.0619173260728587e-06
1846,1.1591912603137189e-06
1847,1.2512278928511478e-06
1848,8.881924742354386e-07
1849,8.924076715377538e-07
1850,9.653952242061337e-07
1851,1.1241371389303367e-06
1852,9.86998667684702e-07
1853,1.1728873612337765e-06
1854,1.1944832665200522e-06
1855,9.525951902844554e-07
1856,1.099634981294173e-06
1857,1.0422021388123426e-06
1858,1.086396109073462e-06
1859,9.191372831729439e-07
1860,1.1150019449956972e-06
1861,1.0615634908894833e-06
1862,1.0603713578305474e-06
1863,1.003419317691101e-06
1864,1.0394970049176777e-06
1865,1.1075205099686514e-06
1866,1.0251846198627845e-06
1867,8.798146975408372e-07
1868,8.407665772480755e-07
1869,8.443604815333572e-07
1870,1.0028851313848008e-06
1871,7.126810093183167e-07
1872,8.726310517515046e-07
1873,7.853637988830542e-07
1874,7.766991927393718e-07
1875,8.210391708729503e-07
1876,9.316908555767611e-07
1877,1.0198761909441245e-06
1878,8.074261805823824e-07
1879,9.32893956751002e-07
1880,9.921990549166537e-07
1881,9.210682515026214e-07
1882,8.785108616127246e-07
1883,8.916587346807781e-07
1884,9.295189187241704e-07
1885,7.496274446183726e-07
1886,8.157178541523535e-07
1887,7.162230524215829e-07
1888,8.712004708755217e-07
1889,8.288776065512593e-07
1890,8.120884714135634e-07
1891,8.15900142114856e-07
1892,7.227594949199556e-07
1893,8.36928800040937e-07
1894,8.374745634753822e-07
1895,8.365874135662921e-07
1896,8.196870302512593e-07
1897,8.5244817604746e-07
1898,7.23137736358126e-07
1899,8.490360556834275e-07
1900,7.822917083011305e-07
1901,6.969157664293846e-07
1902,7.198475941994076e-07
1903,6.771876410738287e-07
1904,7.459979940449557e-07
1905,8.169481580111437e-07
1906,7.325318529538549e-07
1907,7.328551649976589e-07
1908,7.205007710453515e-07
1909,7.882909489609347e-07
1910,8.294121869312221e-07
1911,8.501957982076647e-07
1912,7.871435538930882e-07
1913,8.23554282547434e-07
1914,8.129846960081011e-07
1915,6.997772548089642e-07
1916,7.581349068530585e-07
1917,6.656619575551304e-07
1918,8.798564401502063e-07
1919,7.835878799156148e-07
1920,7.670670960635562e-07
1921,8.595068425876207e-07
1922,8.484625659832545e-07
1923,9.76667212881921e-07
1924,8.933895454532603e-07
1925,9.920356305315181e-07
1926,9.050664360188421e-07
1927,9.811317660535224e-07
1928,8.432418496795435e-07
1929,8.812061622620604e-07
1930,8.938566473659648e-07
1931,8.747908371020685e-07
1932,7.759351703384709e-07
1933,8.76358607015959e-07
1934,7.89586138694176e-07
1935,7.839226370265351e-07
1936,6.886837642383625e-07
1937,7.84426665845217e-07
1938,8.194015492790641e-07
1939,9.252900277090248e-07
1940,6.821256253175534e-07
1941,9.503838569457912e-07
1942,7.737239879901381e-07
1943,9.087126289220038e-07
1944,7.486724005190126e-07
1945,8.125820070148393e-07
1946,8.157767013017292e-07
1947,8.904890531624687e-07
1948,7.555961811789302e-07
1949,6.783552706224327e-07
1950,7.306493525760516e-07
1951,7.782823256974325e-07
1952,6.284702909198359e-07
1953,7.746382069129254e-07
1954,7.827801340454243e-07
1955,6.748252037169777e-07
1956,7.57867224976394e-07
1957,7.174050846714408e-07
1958,7.461563438226904e-07
1959,7.184943235927221e-07
1960,7.55062899315817e-07
1961,7.809730782071256e-07
1962,8.225517493798407e-07
1963,7.31957205957201e-07
1964,7.988250523283114e-07
1965,8.35033812762731e-07
1966,8.075971109633429e-07
1967,8.070959509609565e-07
1968,8.520216052687601e-07
1969,7.344022474597978e-07
1970,7.615488843981666e-07
1971,8.103252557845053e-07
1972,7.115513831479348e-07
1973,7.404232533758659e-07
1974,6.598795643242283e-07
1975,6.756680903663437e-07
1976,7.050492447646661e-07
1977,6.423322314041968e-07
1978,7.443560789965886e-07
1979,7.256446838965758e-07
1980,7.294048560702038e-07
1981,7.084615765151625e-07
1982,7.405550013217521e-07
1983,7.755207871440462e-07
1984,7.011001250667448e-07
1985,7.104374124544677e-07
1986,7.193382320913599e-07
1987,6.697455079418546e-07
1988,7.735554197196848e-07
1989,7.562632626800792e-07
1990,6.718186389420566e-07
1991,7.197879456910528e-07
1992,6.832330932127206e-07
1993,7.25082243580033e-07
1994,7.105326242928811e-07
1995,6.718416449835729e-07
1996,6.886139027884042e-07
1997,6.698467588384105e-07
1998,7.133121484592664e-07
1999,7.358023717540796e-07
2000,7.404620866457989e-07
2001,7.088800897392389e-07
2002,7.21149078675154e-07
2003,6.942093517814385e-07
2004,6.761354619522209e-07
2005,7.624848352705271e-07
2006,8.091653675990074e-07
2007,7.673395167329122e-07
2008,7.207845271750557e-07
2009,7.395466663506767e-07
2010,7.392736199318684e-07
2011,7.785607163413033e-07
2012,8.902120881559838e-07
2013,8.629552903371973e-07
2014,9.287594426865553e-07
2015,8.870734884425246e-07
2016,9.213320442125195e-07
2017,7.931722603160551e-07
2018,8.87508234570511e-07
2019,8.629991772313161e-07
