year,droits_NOUN égaux_ADJ,droits_NOUN egaux_ADJ,droits_NOUN légaux_ADJ
1800,1.1947824418712116e-07,3.144164484325529e-09,1.8864987794131594e-08
1801,1.7620750725200196e-07,2.3811825844433088e-09,1.4287095950749062e-08
1802,2.0588129245879827e-07,0.0,7.832440473976021e-08
1803,3.70564464446943e-07,0.0,4.8758479920252285e-08
1804,2.694317515761213e-07,0.0,7.168367943677367e-08
1805,1.9331568523739406e-07,0.0,9.381496113292087e-08
1806,1.123850950079941e-07,0.0,5.187004603612877e-08
1807,2.0498076480635063e-07,0.0,1.0818429529990681e-07
1808,1.4049658147996524e-07,0.0,8.837688625362716e-08
1809,1.219876537561504e-07,0.0,2.710836710662079e-08
1810,1.0530570193623134e-07,0.0,9.828532654410083e-08
1811,1.7298829391165782e-07,0.0,8.022645658911642e-08
1812,1.9470620316042186e-07,2.6672082320544632e-09,5.067695596494559e-08
1813,2.473137783454149e-07,0.0,5.463909147351842e-08
1814,1.604805390797992e-07,0.0,9.440030979135372e-09
1815,2.589334542335564e-07,2.697223555614414e-09,1.8880564667256294e-08
1816,4.009454812603508e-07,0.0,3.476405652236281e-08
1817,1.977229260319291e-07,0.0,4.3592454090912724e-08
1818,2.8014767394779483e-07,1.1921177378582115e-09,3.2187177367859476e-08
1819,2.6291667154509923e-07,0.0,5.589566853814176e-08
1820,4.153268378104258e-07,1.1866481131050932e-09,5.458581142647745e-08
1821,2.790801261198794e-07,0.0,6.01550809165019e-08
1822,2.5866089004011883e-07,0.0,6.015369535816717e-08
1823,2.697973400245246e-07,9.882686891060644e-10,8.499110748516614e-08
1824,2.652650437084958e-07,8.421112696055388e-10,4.6316120716483056e-08
1825,2.218971673073611e-07,0.0,6.516028028258347e-08
1826,3.1620663776266156e-07,8.807984341885344e-10,6.165588928297439e-08
1827,3.3182183756252925e-07,1.8434546111834038e-09,1.6222401200138847e-07
1828,3.0085146818237263e-07,9.172301251858528e-10,1.2749498523589864e-07
1829,2.932026177404623e-07,1.714635211591542e-09,9.944884027390799e-08
1830,2.9536244028349756e-07,2.0873671680021744e-09,7.410153557430021e-08
1831,2.7908259880859987e-07,0.0,9.354723573551382e-08
1832,2.787173798424192e-07,0.0,9.606278439378002e-08
1833,4.0079353880173585e-07,2.3167257001688313e-09,8.108539617524002e-08
1834,3.061726090436423e-07,1.8669061851994684e-09,9.054494887195119e-08
1835,2.9647304700120003e-07,0.0,4.0840674842002045e-08
1836,3.1990771276468877e-07,6.720750067579218e-10,7.123995260371885e-08
1837,2.2473987826288067e-07,6.957890930081589e-10,6.331680857396549e-08
1838,3.130832340048073e-07,6.312161904276081e-10,7.195864526465812e-08
