year,veux_VERB imiter_VERB,veux_VERB limiter_VERB
1800,2.5153315874604232e-08,0.0
1801,1.904946067554647e-08,0.0
1802,6.489736392722989e-08,0.0
1803,1.3652374342143503e-08,0.0
1804,2.4718509905596875e-08,0.0
1805,4.8328921309348516e-08,0.0
1806,3.7461699520235925e-08,0.0
1807,4.27043254092041e-08,0.0
1808,3.172503681980743e-08,0.0
1809,2.710836710662079e-08,0.0
1810,4.44624070894406e-08,0.0
1811,4.512738271955641e-08,0.0
1812,1.3336041604361526e-08,0.0
1813,1.7254450312975678e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,2.6972236000233352e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,2.0239355080775567e-08,0.0
1818,2.026600220972341e-08,0.0
1819,2.794783426907088e-08,0.0
1820,2.0173018810965004e-08,0.0
1821,4.6348993976153e-08,0.0
1822,4.511527151862538e-08,1.0025615893027862e-09
1823,3.4589405117912975e-08,0.0
1824,3.621078548121659e-08,0.0
1825,1.6730341556581152e-08,0.0
1826,2.290075862276808e-08,0.0
1827,3.410390903013649e-08,0.0
1828,2.659967357487858e-08,9.172301251858528e-10
1829,4.200856196234781e-08,0.0
1830,4.800944353178238e-08,1.0436835840010872e-09
1831,4.2096257146795324e-08,0.0
1832,3.5177919244233635e-08,0.0
1833,2.6642345218874652e-08,0.0
1834,5.600718555598405e-09,0.0
1835,1.9664028627630614e-08,0.0
1836,3.1587525484155776e-08,6.720750067579218e-10
1837,2.6439986200443855e-08,0.0
1838,1.64116205070286e-08,0.0
1839,2.307186797168015e-08,6.9914751765765e-10
1840,2.165694112932215e-08,0.0
1841,1.733548060656176e-08,0.0
1842,1.8783142152756227e-08,0.0
1843,1.2404512972352677e-08,0.0
1844,1.756339607084101e-08,0.0
1845,4.296775557577348e-08,0.0
1846,2.4588905134237393e-08,0.0
1847,1.294373674909366e-08,0.0
1848,1.126331028444838e-08,0.0
1849,1.3407063903514427e-08,1.6758829879393033e-09
1850,1.0183494048021657e-08,6.788996032014438e-10
1851,2.3217978650791338e-08,6.449438760824933e-10
1852,1.4323200403509873e-08,6.510545436100301e-10
1853,3.4040009921909586e-08,1.1943863675867306e-09
1854,1.8704392701351935e-08,5.195664454227256e-10
1855,2.653468555990912e-08,5.306937111981824e-10
1856,1.65670055451983e-08,0.0
1857,8.298565390418844e-09,0.0
1858,1.3702292633865909e-08,0.0
1859,6.619825576592575e-09,0.0
1860,1.4189270203246451e-08,4.577183909670879e-10
1861,9.431927239234028e-09,0.0
1862,3.027050965442868e-08,0.0
1863,3.146611149418277e-08,0.0
1864,1.821996598039277e-08,0.0
1865,1.694463946932956e-08,0.0
1866,2.1408697037372804e-08,0.0
1867,3.396968040192405e-08,1.455843445796745e-09
1868,1.6301584082611953e-08,4.93987406535723e-10
1869,1.4650557211837167e-08,1.4650557433881772e-09
1870,9.747882501187632e-09,3.4404292748035914e-09
1871,1.4869648623516696e-08,0.0
1872,1.5723081503438152e-08,0.0
1873,1.1373408881354408e-08,0.0
1874,1.6131444624534197e-08,5.974609140757536e-10
1875,2.689117728493784e-08,1.2587359599081083e-08
1876,3.688068872520489e-08,1.209202959984168e-09
1877,1.36065949618569e-08,3.710889595609501e-09
1878,2.8383716710322915e-08,6.039088673581716e-10
1879,2.077170613290491e-08,6.10932526790009e-10
1880,2.3746030919369332e-08,0.0
1881,1.1853263259808955e-08,3.4862537301449947e-09
1882,2.728707926280549e-08,1.2645231528551903e-08
1883,6.319338829996468e-09,6.319338829996468e-09
1884,1.5844072720483382e-08,6.601696966868076e-10
1885,1.9981470700258797e-08,1.2891271383708158e-09
1886,1.2906927970846027e-08,6.453463874400711e-10
1887,9.793386546164129e-09,6.528924623161458e-10
1888,1.2047167707862627e-08,1.9021844099853524e-09
1889,1.0650732740202784e-08,8.14467782106476e-09
1890,1.2453334363726754e-08,1.9663159989136147e-09
1891,6.3742202627281586e-09,4.461953917456185e-09
1892,1.2537024751679837e-08,0.0
1893,1.1700991287000306e-08,0.0
1894,1.3863386882917439e-08,6.301539290376468e-10
1895,1.023164486468886e-08,0.0
