year,serions_VERB en_PRON
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,0.0
1804,2.4718509461507665e-09
1805,2.2743021688143017e-08
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,2.5070767684098882e-09
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,1.556873407970727e-09
1818,2.384235475716423e-09
1819,1.035105001712111e-09
1820,0.0
1821,7.88919063410276e-09
1822,2.0051231786055723e-09
1823,2.9648061783404955e-09
1824,0.0
1825,1.7610886082763955e-09
1826,8.80798456392995e-09
1827,1.8434546111834038e-09
1828,9.172301251858528e-10
1829,8.57317605795771e-10
1830,1.0436835840010872e-09
1831,1.5591206103948707e-09
1832,4.058990921151917e-09
1833,4.6334514003376626e-09
1834,1.8669061851994684e-09
1835,7.563087933704082e-10
1836,6.72075017860152e-09
1837,6.957890930081589e-10
1838,3.787297142565649e-09
1839,4.894032734625853e-09
1840,3.1848443882154243e-09
1841,6.420548537278137e-10
1842,1.341653010911159e-09
1843,5.906911071384968e-10
1844,1.097712254427563e-09
1845,0.0
1846,2.3418005312692003e-09
1847,1.6179670936367074e-09
1848,1.6090443422100975e-09
1849,8.379414939696517e-10
1850,1.3577992064028876e-09
1851,2.579775504329973e-09
1852,1.9531636308300904e-09
1853,1.1943863675867306e-09
1854,5.195664454227256e-10
1855,9.552486801567284e-09
1856,1.0354378465748937e-09
1857,9.763018171682347e-10
1858,1.0276719919488642e-08
1859,2.036869339860914e-09
1860,4.577183909670879e-10
1861,2.357981898626349e-08
1862,1.8071945051545413e-09
1863,6.99246927027275e-09
1864,1.4384183844029508e-09
1865,2.3534221238463715e-09
1866,6.3252967308358166e-09
1867,2.91168689159349e-09
1868,0.0
1869,4.395167341186834e-09
1870,1.1468097582678638e-09
1871,2.1242354542039266e-09
1872,4.23313739617015e-09
1873,6.584604861359367e-09
1874,1.0156835372754358e-08
1875,5.721527140956084e-10
1876,3.02300739996042e-09
1877,2.4739263970730008e-09
1878,1.8117265465633636e-09
1879,7.94212251520321e-09
1880,0.0
1881,2.091752326904839e-09
1882,6.655385131892899e-10
1883,6.319338941018771e-10
1884,7.2618666635548834e-09
1885,1.2891271383708158e-09
1886,0.0
1887,5.223139698529167e-09
1888,1.9021844099853524e-09
1889,4.385595886446936e-09
1890,6.554386478008212e-10
1891,1.9122659011827636e-09
1892,5.641661360300532e-09
1893,6.774258043407144e-09
1894,2.520615716150587e-09
1895,6.018614495673091e-09
1896,1.179405795248556e-09
1897,5.2440420894583895e-09
1898,3.960848538042683e-09
1899,0.0
1900,1.038210628578895e-09
1901,0.0
1902,1.9641135384773634e-09
1903,1.6200660812870638e-09
1904,1.6123875568041512e-09
1905,2.580379465655369e-09
1906,5.144184522798412e-10
1907,2.5714217422034835e-09
1908,0.0
1909,5.500983557560346e-10
1910,5.344150677544235e-10
1911,3.1922244847493175e-09
1912,5.209421227725386e-10
1913,5.30298971401777e-10
1914,5.357394972094198e-09
1915,3.534228465440492e-09
1916,1.0987462051303964e-09
1917,4.386569774084137e-09
1918,1.1486376294556067e-09
1919,9.207848372660976e-10
1920,3.028892692213958e-09
1921,7.572747429129834e-10
1922,1.4755870969551665e-09
1923,2.1231896241147297e-09
1924,2.578324886925998e-09
1925,0.0
1926,0.0
1927,0.0
1928,1.1426041224282812e-09
1929,0.0
1930,3.1510811737689437e-09
1931,1.1405356659111021e-09
