year,suites_NOUN égales_ADJ,suites_NOUN légales_ADJ
1800,0.0,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,4.943701892301533e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,1.7081731584767113e-08
1808,0.0,0.0
1809,0.0,2.259030518203531e-09
1810,4.680253518074551e-09,0.0
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,0.0
1815,2.4275012222574333e-08,5.394447111228828e-09
1816,0.0,4.6352077731626196e-09
1817,1.8682481339737933e-08,0.0
1818,0.0,2.384235475716423e-09
1819,0.0,1.2421260464634543e-08
1820,0.0,2.7292905713238724e-08
1821,0.0,9.86148829262845e-10
1822,0.0,3.0076847679083585e-09
1823,1.9765373782121287e-09,9.882686891060644e-10
1824,8.421112696055388e-09,1.9368560089105813e-08
1825,5.283265824829186e-09,7.924898959288385e-09
1826,0.0,5.284790383086602e-09
1827,2.7651818612639545e-09,6.452091128039683e-08
1828,0.0,3.66892045633449e-08
1829,0.0,1.714635211591542e-09
1830,0.0,3.1310507520032616e-09
1831,0.0,3.274153215215847e-08
1832,0.0,2.705993873419743e-09
1833,0.0,8.108539617524002e-09
1834,2.8003592777992026e-09,1.120143711119681e-08
1835,0.0,1.5126175867408165e-09
1836,2.688300027031687e-09,6.72075017860152e-09
1837,0.0,6.262101948095733e-09
1838,1.2624323808552163e-09,1.8936485712828244e-09
1839,0.0,2.7266752411492234e-08
1840,6.369688665408546e-10,5.732719632334238e-09
1841,0.0,3.2102742686390684e-09
1842,6.708265054555795e-10,4.024959032733477e-09
1843,0.0,8.860366662588604e-09
1844,0.0,1.3721403568922597e-08
1845,0.0,5.022205318283568e-09
1846,1.1709002656346001e-09,1.1123552745573306e-08
1847,0.0,2.1033571329098777e-08
1848,0.0,1.448139919091318e-08
1849,0.0,1.1731181359664333e-08
1850,0.0,6.788996032014438e-09
1851,0.0,1.7413483988093503e-08
