year,vraies_ADJ oies_NOUN,vraies_ADJ lois_NOUN
1800,3.144164484325529e-09,3.458580977167003e-08
1801,2.3811825844433088e-09,1.1905912700171939e-08
1802,0.0,4.4756802708434407e-08
1803,0.0,1.950339223455444e-09
1804,2.4718509461507665e-09,3.460591457837836e-08
1805,0.0,1.9900143755080535e-08
1806,0.0,2.305335300434308e-08
1807,0.0,1.7081731584767113e-08
1808,2.2660739951163578e-09,4.985362878073829e-08
1809,0.0,4.518061036407062e-09
1810,0.0,2.574139479349924e-08
1811,0.0,3.5099073869560016e-08
1812,0.0,4.800974906515876e-08
1813,0.0,7.764502640839055e-08
1814,0.0,4.405347908686963e-08
1815,0.0,2.1577788444915313e-08
1816,0.0,1.5759707139295642e-07
1817,0.0,5.293369653713853e-08
1818,0.0,6.079800130009971e-08
1819,2.070210003424222e-09,5.2790355198339967e-08
1820,0.0,6.526564533260171e-08
1821,0.0,4.6348993976153e-08
1822,0.0,2.606660132187244e-08
1823,0.0,2.2730180404550993e-08
1824,0.0,1.6842225392110777e-08
1825,0.0,3.874394849390228e-08
1826,0.0,3.6112734136395375e-08
1827,0.0,7.650336897313537e-08
1828,0.0,3.210305266065916e-08
1829,0.0,4.4580517055692326e-08
1830,1.0436835840010872e-09,1.0436835395921662e-08
1831,0.0,4.677361786775691e-08
1832,0.0,4.8707889277466165e-08
1833,0.0,1.3900354645102198e-08
1834,0.0,2.333632664885954e-08
1835,0.0,5.7479468296151026e-08
1836,0.0,3.091545153210973e-08
1837,0.0,3.061472142462662e-08
1838,0.0,5.7440672662778525e-08
1839,0.0,4.4046291947097416e-08
1840,0.0,5.987507023519356e-08
1841,0.0,1.7977535904378783e-08
1842,0.0,2.2137275124123335e-08
1843,0.0,4.134837894298471e-08
1844,0.0,3.0735943568060975e-08
1845,0.0,3.0691253982695343e-08
1846,0.0,5.854501239355159e-08
1847,0.0,3.9909856752728956e-08
1848,6.43617736884039e-09,5.309846429213394e-08
1849,0.0,2.8490010350878947e-08
1850,0.0,2.3761487000228954e-08
1851,0.0,5.6755062871616246e-08
1852,0.0,4.427170807730363e-08
1853,5.971931837933653e-10,6.449686651421871e-08
1854,1.0391328908454511e-09,3.4291385730966795e-08
1855,5.306937111981824e-10,3.8209947206269135e-08
1856,0.0,3.572260709461261e-08
1857,0.0,4.6862489000432106e-08
1858,0.0,3.572383633354548e-08
1859,0.0,5.8050776630125256e-08
1860,0.0,5.446849016266242e-08
1861,0.0,2.4994607272788016e-08
1862,0.0,2.5752521892741242e-08
1863,0.0,4.195481650981492e-08
1864,0.0,7.479775376850739e-08
1865,0.0,5.0833918407988676e-08
1866,9.731225825149181e-10,3.7465220259491616e-08
1867,4.367530337390235e-09,3.299911810472622e-08
1868,2.9639244392143382e-09,5.4832600682175325e-08
1869,0.0,8.790334504737984e-08
1870,0.0,5.447346396181274e-08
1871,0.0,5.629224020253787e-08
1872,0.0,6.591599799321557e-08
1873,0.0,4.7289436366781956e-08
1874,2.3898436563030145e-09,6.392831863877291e-08
1875,0.0,4.176714796244596e-08
1876,0.0,4.17175023414984e-08
1877,0.0,4.329371350308975e-08
1878,0.0,3.4422804162659304e-08
1879,2.443730107160036e-09,7.02572435784532e-08
1880,0.0,6.867095692086878e-08
1881,0.0,4.044054335849978e-08
1882,0.0,5.124646662579835e-08
1883,0.0,3.349249766415596e-08
1884,0.0,5.0833065756705764e-08
1885,0.0,5.02759576193057e-08
1886,0.0,2.1296431285122708e-08
1887,0.0,5.3537181798901656e-08
1888,0.0,5.2627100899371726e-08
1889,0.0,4.448246926358479e-08
1890,6.554386478008212e-10,7.668631951673888e-08
1891,0.0,3.1871099537283953e-08
1892,0.0,6.644623340434919e-08
1893,0.0,7.698020709767661e-08
1894,0.0,4.159015887239548e-08
1895,0.0,4.754705429377282e-08
1896,0.0,4.009979548413867e-08
1897,0.0,3.437761009195128e-08
1898,0.0,2.7160103499568322e-08
1899,2.2110313580014918e-09,3.979856444402685e-08
1900,0.0,3.9971109089265155e-08
1901,2.235495566438317e-09,4.8622027293276915e-08
1902,2.455141867585553e-09,3.879124221839447e-08
1903,0.0,2.2680925582108102e-08
1904,0.0,5.0521478556220245e-08
1905,0.0,5.005936287716395e-08
1906,0.0,5.19562632916859e-08
1907,0.0,5.348557152728972e-08
1908,0.0,4.862275204686739e-08
1909,5.500983557560346e-10,6.106091632318567e-08
1910,0.0,3.5271394693836555e-08
1911,1.5961122423746588e-09,3.458243114096149e-08
1912,0.0,4.0112542620818203e-08
1913,0.0,6.310557409960893e-08
1914,0.0,4.2859159776753586e-08
1915,0.0,2.1205371680821372e-08
1916,0.0,2.5271162940043723e-08
1917,0.0,4.1672411299487067e-08
1918,0.0,2.2972752589112133e-08
1919,0.0,4.4197673076951105e-08
1920,0.0,3.48322650722821e-08
1921,0.0,2.7261890522822796e-08
1922,0.0,3.32007097370024e-08
1923,0.0,2.866305948145964e-08
1924,0.0,4.383152329978657e-08
1925,0.0,3.299453510408057e-08
1926,0.0,2.452150482668003e-08
1927,0.0,5.2401357919507063e-08
1928,0.0,3.427812345080383e-08
1929,0.0,2.2280811862174232e-08
1930,0.0,3.466189113510154e-08
1931,0.0,2.6232321204133768e-08
1932,0.0,1.6439305028370654e-08
1933,0.0,1.9500125958415992e-08
