year,êtes_VERB à_ADP,êtes_VERB là_ADV,etes_VERB à_ADP,etes_VERB là_ADV
1800,6.225445758900605e-07,1.2576657582030748e-07,6.288328968651058e-09,0.0
1801,1.1620171562753967e-06,9.762848662830947e-08,4.7623651688866175e-09,0.0
1802,5.99741156293021e-07,1.0741632650024258e-07,0.0,0.0
1803,7.859866855142172e-07,5.460949736857401e-08,1.950339223455444e-09,0.0
1804,1.344686893389735e-06,1.3100809326260787e-07,0.0,0.0
1805,1.1570512015168788e-06,5.970043304159844e-08,0.0,0.0
1806,1.3976094805911998e-06,8.35684019762084e-08,2.881669125542885e-09,0.0
1807,5.89319711252756e-07,9.394951661079176e-08,0.0,0.0
1808,5.733166972277104e-07,4.5321478125970316e-08,0.0,0.0
1809,8.44877433792135e-07,8.358412628695078e-08,0.0,0.0
1810,1.3291919458424672e-06,8.424456154898508e-08,2.3401267590372754e-09,0.0
1811,9.351396101919818e-07,7.019814773912003e-08,0.0,0.0
1812,7.414839160446718e-07,8.801787032552966e-08,2.6672082320544632e-09,0.0
1813,7.822017096259515e-07,8.91479885467561e-08,2.8757416448144113e-09,0.0
1814,6.545088240272889e-07,6.293354459785405e-08,0.0,0.0
1815,6.635169711444178e-07,1.3216394734172354e-07,0.0,0.0
1816,1.0545097666181391e-06,5.0987285504788815e-08,0.0,0.0
1817,1.312444283030345e-06,1.5413046128287533e-07,0.0,0.0
1818,1.2231128039275063e-06,1.0133000927226021e-07,0.0,0.0
1819,7.721883434896881e-07,6.624672010957511e-08,1.035105001712111e-09,1.035105001712111e-09
1820,1.1795282262028195e-06,1.0561168295453172e-07,1.1866481131050932e-09,0.0
1821,1.7316773437414668e-06,1.7060374091215635e-07,9.86148829262845e-10,0.0
1822,1.4035862250239006e-06,1.303330066093622e-07,2.0051231786055723e-09,0.0
1823,1.1068609637732152e-06,1.5614645576533803e-07,1.9765373782121287e-09,0.0
1824,1.024849439090758e-06,1.381062446625947e-07,8.421112696055388e-10,0.0
1825,1.0628169775372953e-06,1.1359021812040737e-07,0.0,0.0
1826,9.389311230734165e-07,8.543744911548856e-08,8.807984341885344e-10,0.0
1827,9.438487609259028e-07,9.678137047330893e-08,0.0,0.0
1828,1.0428906307424768e-06,1.6877034170192928e-07,0.0,0.0
1829,8.264541975222528e-07,9.173298565201549e-08,0.0,0.0
1830,1.0729066843850887e-06,1.7429515253297723e-07,0.0,0.0
1831,1.1771360277634813e-06,1.340843738262265e-07,0.0,0.0
1832,1.527533527223568e-06,1.610066391322107e-07,1.3529969367098715e-09,0.0
1833,1.1606796306296019e-06,2.3746439126171026e-07,1.1583628500844156e-09,0.0
1834,1.0267983725498198e-06,1.9042443000216736e-07,0.0,0.0
1835,1.0732021564763272e-06,2.518508210869186e-07,7.563087933704082e-10,0.0
1836,1.0188657597609563e-06,2.406028443147079e-07,0.0,1.3441500135158435e-09
1837,9.142668773165497e-07,1.9134199646941852e-07,1.3915781860163179e-09,0.0
1838,8.893836138668121e-07,1.4517972601879592e-07,1.2624323808552163e-09,0.0
