year,colonnes_NOUN égales_ADJ
1800,6.288328968651058e-09
1801,5.476719877606229e-08
1802,1.5664880947952042e-08
1803,1.3652374342143503e-08
1804,1.730295728918918e-08
1805,5.685755422035754e-09
1806,2.881669125542885e-08
1807,5.693910054560547e-08
1808,2.2660739062985158e-08
1809,1.129515236897305e-08
1810,2.574139479349924e-08
1811,5.0141535368197765e-09
1812,2.6672082320544632e-09
1813,5.176335093892703e-08
1814,6.293354282149721e-09
1815,0.0
1816,3.9399267848239106e-08
1817,2.1796227045456362e-08
1818,2.384235475716423e-09
1819,1.5526575580793178e-08
1820,2.1359666035891678e-08
1821,7.88919063410276e-09
1822,3.208197085768916e-08
1823,1.9765373782121287e-09
1824,9.263223965660927e-09
1825,1.584979791857677e-08
1826,1.2331177856594877e-08
1827,1.1982455028203276e-08
1828,8.255071293206129e-09
1829,1.1145129263923081e-08
1830,1.5655253093882493e-08
1831,4.677361609140007e-09
1832,1.8941957335982806e-08
1833,2.4325620628928846e-08
1834,1.3068342852307069e-08
1835,1.5882484660778573e-08
1836,1.747394939854985e-08
1837,7.653680356156656e-09
1838,4.418513555037862e-09
1839,7.690622361167243e-09
1840,3.1848443882154243e-09
1841,2.5682194149112547e-09
1842,8.720745015011744e-09
1843,1.7130041385371442e-08
1844,8.232841963717874e-09
1845,9.48638767539478e-09
1846,4.6836010625384006e-09
1847,9.168480197274675e-09
1848,1.528592186161859e-08
1849,6.703531951757213e-09
1850,2.2403686017469226e-08
1851,2.0638204034639784e-08
1852,1.4323200403509873e-08
1853,7.763511611358354e-09
1854,5.7152309551611324e-09
1855,2.1227748447927297e-09
1856,3.1063134287023786e-09
1857,8.298565390418844e-09
1858,7.829881631948865e-09
1859,4.073738679721828e-09
1860,1.2358396972445007e-08
1861,1.8863854922557266e-09
1862,5.421583626485926e-09
1863,6.493007020935693e-09
1864,1.102787461348953e-08
1865,6.589582213223366e-09
1866,2.432806400776144e-09
1867,7.279217228983725e-09
1868,2.1241458370013788e-08
1869,1.70923168951731e-08
1870,1.204150201772336e-08
1871,6.37270636261178e-09
1872,1.2094678591978436e-09
1873,1.1972008939764578e-09
1874,3.5847653734322193e-09
1875,9.7265964171811e-09
1876,9.069021977836655e-09
1877,5.566334504436554e-09
1878,1.8117265465633636e-09
1879,6.10932526790009e-10
1880,4.492492600149944e-09
1881,7.669758161910067e-09
1882,1.3310770263785798e-09
1883,9.479008689083912e-09
1884,5.281357573494461e-09
1885,7.090199094506033e-09
1886,3.2267319927115068e-09
1887,1.1752064210668323e-08
1888,6.974675947901687e-09
1889,5.6386229019267375e-09
1890,3.9326319978272295e-09
1891,3.1871101313640793e-09
1892,5.014809900671935e-09
1893,1.3548516086814288e-08
1894,1.8904617871129403e-09
1895,1.8055843487019274e-09
1896,2.948514543632541e-09
1897,2.9133566670225264e-09
1898,5.092519295146758e-09
1899,5.527578395003729e-09
1900,2.595526460424935e-09
1901,5.588738916095792e-10
1902,3.437198747846537e-09
1903,7.560307935250421e-09
1904,2.6873125946735854e-09
1905,3.096455536422127e-09
1906,5.144184522798412e-10
1907,5.65712765521198e-09
1908,2.4556945366072114e-09
1909,5.5009836685826485e-09
1910,5.34415089958884e-09
1911,2.128149656499545e-09
1912,1.5628263128064646e-09
1913,3.71209285532359e-09
1914,4.68772043404897e-09
1915,1.1780761921542648e-09
1916,4.394984820521586e-09
1917,0.0
1918,1.1486376294556067e-09
1919,4.603924352863942e-09
1920,2.2716695191604686e-09
1921,7.572747429129834e-10
1922,0.0
1923,4.246379248229459e-09
1924,2.578324886925998e-09
1925,3.299453377181294e-09
1926,0.0
1927,2.2298449753321847e-09
1928,1.1426041224282812e-09
1929,5.570202965543558e-09
1930,0.0
1931,1.596749932275543e-08
1932,8.767629289252454e-09
1933,0.0
1934,5.990790086229936e-09
1935,4.787313656606784e-09
1936,0.0
1937,2.5182236296217297e-09
1938,1.2965214457594243e-09
1939,3.058810094103137e-09
1940,1.2678914806940611e-08
1941,8.854508237732261e-09
1942,3.034211770724937e-09
1943,2.9032352077962287e-09
1944,6.4263723231761105e-09
1945,0.0
1946,6.960552134671616e-09
1947,5.960435700558264e-09
1948,2.174377566888097e-09
1949,1.0798709482173763e-08
1950,3.190608444114673e-09
1951,8.529121409139861e-09
1952,2.1089607837865287e-09
1953,2.1547654771580937e-09
1954,9.772536113672459e-10
1955,2.815682353940474e-09
1956,1.744228317335228e-09
1957,3.534015080575159e-09
1958,8.272243445794913e-10
1959,5.425523585955716e-09
1960,2.7683333403416555e-09
1961,1.3896318540318475e-09
1962,3.805173953708163e-09
1963,8.405868889838075e-09
1964,7.300761772910391e-09
1965,8.755269398363907e-09
1966,2.769537488234164e-09
1967,9.367637332502454e-09
1968,4.042274071025531e-09
1969,3.6334062425424918e-09
1970,3.6789800095249348e-09
1971,3.083038491169532e-09
1972,5.130146973897354e-09
1973,2.7566018356850464e-09
1974,3.3753431161187564e-09
1975,2.2845920710778955e-09
1976,2.285410749536254e-09
1977,1.1753563677885381e-09
1978,5.940591352171509e-10
1979,2.925986564150662e-09
1980,1.7055452605774235e-09
1981,3.795329828193417e-09
1982,3.1037510339615437e-09
1983,6.315316047889041e-10
1984,2.3196033982486597e-09
1985,1.8046674155058895e-09
1986,3.5966913891627428e-09
1987,4.888653482026939e-09
1988,0.0
1989,8.232182935330457e-09
1990,2.724325431913144e-09
1991,2.344586080837985e-09
1992,1.1019888335184191e-09
1993,6.093128224193833e-09
1994,5.274926606624319e-10
1995,2.1689803286761844e-09
1996,1.067618438099771e-09
1997,3.3564262480467733e-09
1998,1.43043876743576e-09
1999,9.140402323914998e-10
2000,8.836062992401139e-10
2001,2.6287270138425356e-09
2002,1.752488598683044e-09
2003,3.333538334260311e-09
