year,vos_DET armes_NOUN,vos_DET larmes_NOUN
1800,4.370388744234788e-07,8.866543801389071e-07
1801,8.619880809135338e-07,1.2239278390779873e-06
1802,5.39319501058344e-07,9.130388036737713e-07
1803,4.700317575156987e-07,1.1370477395189482e-06
1804,5.883005194107227e-07,1.0455929526642649e-06
1805,7.391481986473991e-07,9.751070528807304e-07
1806,6.022688374685004e-07,8.414473882112361e-07
1807,7.288205097211176e-07,9.338012816328956e-07
1808,6.322346361997688e-07,8.021902146992943e-07
1809,7.996968136581017e-07,7.319258736870893e-07
1810,8.073437314237708e-07,1.5187422519602478e-06
1811,5.565710523569578e-07,6.693895215903467e-07
1812,5.227727939427496e-07,5.867858057229114e-07
1813,6.41290363034841e-07,1.0841545901030258e-06
1814,8.590428883792356e-07,6.796822802357383e-07
1815,6.743058715841244e-07,7.03975350901942e-07
1816,4.4266234056067333e-07,8.482430189360457e-07
1817,6.320905967527324e-07,9.403515370820514e-07
1818,6.973888622141544e-07,1.1897335241428664e-06
1819,8.684530783398259e-07,8.187680720084245e-07
1820,1.1000227857493883e-06,9.07785803860861e-07
1821,1.6705360863511487e-06,1.2691735662428982e-06
1822,1.223125195792818e-06,1.4747681120752532e-06
1823,8.232278077002775e-07,9.685033326434223e-07
1824,1.0661128406752596e-06,1.0821129450278022e-06
1825,8.541279719054273e-07,9.113633296919943e-07
1826,7.522018492522875e-07,8.34116100634219e-07
1827,6.793130178373019e-07,6.61800193313411e-07
1828,6.56736777848721e-07,7.677215876356058e-07
1829,4.3637466395907154e-07,5.358234957952845e-07
1830,6.919622199674791e-07,7.170106144371857e-07
1831,6.439167954397362e-07,5.597243220023529e-07
1832,7.468542868593886e-07,6.413205717592518e-07
1833,5.490640102578936e-07,8.259127106668984e-07
1834,6.011437641006978e-07,8.195718095294069e-07
1835,7.510146318168154e-07,7.979057912166354e-07
1836,6.794678197863391e-07,6.324226085041573e-07
1837,7.208375150113966e-07,5.96291281240724e-07
1838,8.04169410173472e-07,6.236416130178668e-07
1839,7.257151084516522e-07,5.334495654096827e-07
1840,8.038547232303017e-07,5.917440866198831e-07
1841,4.937402060534168e-07,5.27127015814699e-07
1842,6.909513086128527e-07,6.406393051605619e-07
1843,5.582030837558705e-07,5.564310381345194e-07
1844,5.878249123014712e-07,6.520410593680026e-07
1845,5.474203730315708e-07,7.231975276411617e-07
1846,5.327596426241143e-07,4.718728039421194e-07
1847,5.188281084755886e-07,3.969412736282152e-07
1848,7.932588710346522e-07,4.2720128590190143e-07
1849,6.40187327149988e-07,3.837771966885839e-07
1850,5.960738427290835e-07,3.9376178051497845e-07
1851,5.249843111343466e-07,4.4630117201904795e-07
1852,3.8737745011729885e-07,5.481879128410583e-07
1853,5.440430035363875e-07,6.270528167817702e-07
1854,5.211251714598575e-07,1.1960419747936157e-06
1855,4.643569866402686e-07,6.883097540821836e-07
1856,4.0640936482816414e-07,8.708032002147092e-07
1857,5.779706846453792e-07,4.876627706096315e-07
1858,5.936028877329136e-07,6.014328004511071e-07
1859,4.812103719942229e-07,5.051435785219383e-07
1860,5.863372667391786e-07,5.025748066600499e-07
1861,5.418642059495937e-07,5.536541429762565e-07
1862,5.801094378199423e-07,6.537525898409058e-07
1863,5.144459285233438e-07,6.128399938631901e-07
1864,4.0179819205121703e-07,5.849568083249324e-07
1865,4.796274337692807e-07,6.72137367985215e-07
1866,4.452035717861236e-07,5.848466866353874e-07
1867,3.6347558562965787e-07,5.876754762823566e-07
1868,3.7641839867319504e-07,4.5298644479885297e-07
1869,4.2681958412060794e-07,5.249783328054036e-07
1870,3.801674282044587e-07,4.105578916835384e-07
1871,6.308979187963359e-07,3.6430637351259065e-07
1872,5.636120388174959e-07,3.985196599387564e-07
1873,3.84301492850625e-07,4.0465389439248156e-07
